"SampleID"	"Totalgenes_1M"	"Totalgenes_10M"	"TotalKEGG_10M"	"GCount"
"117"	"Sample_021"	247103	710120	5276	"HGC"
"118"	"Sample_006"	243813	723402	5059	"HGC"
"119"	"Sample_084"	183284	487427	4649	"LGC"
"120"	"Sample_100"	103337	215335	3511	"LGC"
"121"	"Sample_055"	170955	445263	4100	"LGC"
"122"	"Sample_031"	182527	574754	4616	"LGC"
"123"	"Sample_186"	264904	846760	5241	"HGC"
"124"	"Sample_168"	131300	343522	4084	"LGC"
"125"	"Sample_130"	175877	493172	4147	"LGC"
"126"	"Sample_148"	85687	236504	3770	"LGC"
"127"	"Sample_169"	234831	780649	5179	"HGC"
"128"	"Sample_115"	173660	558093	4601	"LGC"
"129"	"Sample_023"	232827	647079	4332	"HGC"
"130"	"Sample_182"	252839	803256	4954	"HGC"
"131"	"Sample_119"	170848	497736	4365	"LGC"
"132"	"Sample_164"	194808	558647	4331	"LGC"
"133"	"Sample_047"	174622	441850	3960	"LGC"
"134"	"Sample_106"	237202	748752	5156	"HGC"
"135"	"Sample_059"	90333	226377	4433	"LGC"
"136"	"Sample_088"	257305	711070	4843	"HGC"
"137"	"Sample_070"	204016	554693	4941	"LGC"
"138"	"Sample_046"	170037	517882	4870	"LGC"
"139"	"Sample_104"	223976	617347	5098	"LGC"
"140"	"Sample_009"	258397	732330	5098	"HGC"
"141"	"Sample_058"	232930	606607	4633	"LGC"
"142"	"Sample_024"	101902	224138	4255	"LGC"
"143"	"Sample_011"	75533	163558	3806	"LGC"
"144"	"Sample_057"	168078	382952	3940	"LGC"
"145"	"Sample_109"	220649	657766	4731	"HGC"
"146"	"Sample_026"	220757	585225	4315	"LGC"
"147"	"Sample_025"	143217	389698	4850	"LGC"
"148"	"Sample_090"	100740	314101	4546	"LGC"
"149"	"Sample_072"	227392	681772	4890	"HGC"
"150"	"Sample_048"	174299	464327	4049	"LGC"
"151"	"Sample_036"	256105	674180	4522	"HGC"
"152"	"Sample_093"	234498	677819	5521	"HGC"
"153"	"Sample_075"	179351	504013	4321	"LGC"
"154"	"Sample_027"	185110	483599	4259	"LGC"
"155"	"Sample_015"	206203	534114	4315	"LGC"
"156"	"Sample_063"	280213	854122	4737	"HGC"
