      3 VFG000077(gb|NP_465991)
     10 VFG000079(gb|NP_463763)
     60 VFG000080(gb|NP_464522)
      6 VFG000182(gb|NP_251793)
      1 VFG001248(gb|NP_249788)
      5 VFG001269(gb|WP_010929996)
      7 VFG001348(gb|WP_000659580)
      2 VFG001360(gb|WP_001042179)
      2 VFG001373(gb|WP_000758382)
      1 VFG001855(gb|WP_197535493)
      2 VFG001943(gb|YP_002344535)
      2 VFG001964(gb|YP_002344819)
     49 VFG001967(gb|YP_002344822)
      7 VFG001969(gb|YP_002344824)
      2 VFG002182(gb|WP_002376666)
      2 VFG002966(gb|WP_011274717)
      2 VFG005065
      1 VFG005186(gb|YP_001198858)
      1 VFG005246
      3 VFG005253(gb|WP_011285200)
      1 VFG005314(gb|WP_000458116)
     22 VFG005352(gb|WP_002986042)
      1 VFG005353(gb|WP_000260656)
      8 VFG005359(gb|WP_002899102)
     10 VFG005360(gb|WP_002262489)
      4 VFG005392(gb|WP_011836622)
      2 VFG005485(gb|WP_000417171)
      4 VFG005486(gb|WP_000417180)
      1 VFG005490(gb|WP_000472995)
      1 VFG005552(gb|WP_011837486)
      2 VFG005862(gb|WP_009659423)
      1 VFG005937(gb|WP_002261978)
      5 VFG005940(gb|WP_011681171)
      1 VFG005952(gb|WP_011681172)
      4 VFG005992(gb|WP_000685095)
      2 VFG006041(gb|WP_011681286)
      1 VFG006102(gb|WP_010951417)
      1 VFG006142(gb|WP_002247096)
      1 VFG006152(gb|WP_002220064)
      2 VFG006269(gb|WP_003705045)
     19 VFG006334(gb|WP_002236579)
      2 VFG006496(gb|WP_011115254)
      1 VFG006520(gb|WP_011116204)
      4 VFG006595(gb|WP_011115987)
      2 VFG006610(gb|WP_138091884)
      3 VFG006650(gb|WP_011115027)
      1 VFG006660(gb|WP_011115716)
      1 VFG006704(gb|WP_011115921)
      1 VFG006720(gb|WP_011702434)
      1 VFG006769(gb|WP_010958719)
      3 VFG007373(gb|WP_011078343)
      4 VFG007456(gb|WP_005457757)
      1 VFG007457(gb|WP_026130674)
      2 VFG007459(gb|WP_005420355)
      6 VFG007489(gb|WP_011262361)
      3 VFG007499(gb|WP_011079830)
      1 VFG007552(gb|WP_005479477)
      1 VFG007656(gb|WP_011078838)
      1 VFG007661(gb|WP_011261023)
      1 VFG007910
      1 VFG007911(gb|WP_010908851)
      2 VFG009119(gb|WP_015307141)
      4 VFG009161(gb|WP_005067995)
      3 VFG009230(gb|WP_041307902)
      1 VFG009303(gb|WP_011782503)
      4 VFG009331(gb|WP_003897243)
      1 VFG009578(gb|WP_011731355)
      1 VFG009715(gb|WP_023861150)
      9 VFG009718(gb|WP_011728563)
      5 VFG009719(gb|WP_011894790)
      3 VFG009818(gb|WP_014878477)
      1 VFG009835(gb|WP_011782153)
      1 VFG009849(gb|WP_011892634)
      1 VFG009863(gb|WP_014878347)
      1 VFG009930(gb|WP_011779804)
      1 VFG010485(gb|WP_197535493)
      1 VFG010928(gb|WP_041936401)
      2 VFG011674(gb|YP_002344802)
      2 VFG012006(gb|YP_002344684)
      1 VFG012030(gb|WP_002867658)
      7 VFG012095(gb|WP_003435012)
     16 VFG012096(gb|WP_011722916)
      1 VFG012097(gb|WP_003462314)
     40 VFG012099(gb|WP_011100542)
     11 VFG012101(gb|WP_010965990)
     23 VFG012102(gb|WP_011967678)
     51 VFG012103(gb|WP_003514589)
      4 VFG013155(gb|WP_012341780)
      1 VFG013261(gb|WP_011271948)
      1 VFG013291(gb|WP_011608942)
      2 VFG013334(gb|WP_187145735)
      1 VFG013369(gb|WP_011272256)
      3 VFG013434(gb|WP_010945082)
      1 VFG013530(gb|WP_010869249)
      1 VFG013534(gb|WP_010944436)
      4 VFG013580(gb|WP_012054533)
      1 VFG013682(gb|WP_010935678)
      2 VFG013733(gb|WP_003854229)
     29 VFG013734(gb|WP_011013698)
      1 VFG013900(gb|WP_003404551)
      1 VFG013901(gb|WP_004654396)
      1 VFG013905(gb|WP_011064011)
      3 VFG013907(gb|WP_004373763)
      1 VFG013975(gb|WP_011267157)
      1 VFG013993(gb|WP_026006503)
      2 VFG014135(gb|WP_025297832)
      1 VFG014387(gb|WP_004664453)
      6 VFG014389(gb|WP_012051624)
      3 VFG014602(gb|WP_017243981)
      1 VFG014690(gb|WP_011058929)
      1 VFG014725(gb|WP_004664478)
      1 VFG014851(gb|WP_011535591)
      1 VFG014853(gb|WP_011332552)
      6 VFG014854(gb|WP_011921099)
      1 VFG014951(gb|WP_012077033)
      1 VFG014952(gb|WP_003140933)
      1 VFG014956(gb|WP_049587369)
      1 VFG014957(gb|WP_012053604)
      5 VFG014961(gb|WP_003245464)
      1 VFG014984(gb|NP_253136)
      1 VFG014985(gb|WP_012077206)
      8 VFG014987(gb|WP_003377590)
      3 VFG014992(gb|WP_011535570)
      2 VFG014995(gb|WP_011921011)
      1 VFG014996(gb|WP_011912236)
      1 VFG015068(gb|WP_003156446)
      1 VFG015071(gb|WP_011268595)
      1 VFG015494(gb|WP_011167352)
     26 VFG015495(gb|WP_049586082)
      2 VFG015498(gb|WP_012018669)
      1 VFG015676(gb|WP_012273513)
      1 VFG015805(gb|WP_012272402)
      1 VFG015806(gb|WP_012314365)
      1 VFG015908(gb|WP_164920478)
      2 VFG016029(gb|WP_011062372)
      3 VFG016184(gb|WP_005762826)
      1 VFG016186(gb|WP_005762824)
      1 VFG016377(gb|WP_000286451)
      3 VFG016380(gb|WP_000609547)
     12 VFG016387(gb|WP_000996578)
      1 VFG016391(gb|WP_000276545)
      1 VFG016401(gb|WP_000122128)
      1 VFG016416(gb|WP_000060578)
     59 VFG016483(gb|WP_010875022)
     39 VFG016484(gb|WP_009885583)
    259 VFG016485(gb|WP_011113468)
      2 VFG016486(gb|WP_011206373)
     20 VFG016489(gb|WP_011264744)
     24 VFG016490(gb|NP_975163)
    144 VFG016491(gb|WP_011076858)
     39 VFG016492(gb|WP_010925206)
    131 VFG016493(gb|WP_011283803)
     85 VFG016494(gb|WP_004024476)
     22 VFG016495(gb|WP_011166362)
      6 VFG016865(gb|WP_011097078)
      1 VFG016866(gb|WP_011006421)
      1 VFG016867(gb|WP_011458100)
      1 VFG017780(gb|WP_011989470)
      2 VFG017790(gb|WP_002880492)
      4 VFG017810(gb|WP_011990790)
      2 VFG017829(gb|WP_011989707)
      1 VFG017987(gb|WP_012006774)
      1 VFG018001(gb|WP_002866148)
      3 VFG018002(gb|WP_002866149)
      1 VFG018018(gb|WP_002877116)
     13 VFG018652(gb|WP_006154814)
     15 VFG018662(gb|WP_012130507)
      1 VFG018664(gb|WP_012000426)
      2 VFG019126(gb|WP_000389894)
      1 VFG019127(gb|WP_000723325)
      9 VFG019132(gb|WP_012343546)
     18 VFG019134(gb|WP_012422966)
      1 VFG019264(gb|WP_006073205)
      2 VFG019692(gb|WP_003688950)
      2 VFG019714
      1 VFG019824(gb|WP_015885197)
      6 VFG020019(gb|WP_015886561)
      2 VFG022631(gb|WP_013830506)
      2 VFG022781(gb|YP_001702997)
      1 VFG022786(gb|WP_013828471)
      3 VFG022860(gb|YP_001703741)
      8 VFG022866(gb|WP_013829374)
      2 VFG022910(gb|WP_013830539)
      1 VFG022933(gb|WP_013827764)
      1 VFG022941(gb|WP_013827874)
      1 VFG022971(gb|WP_041319925)
      2 VFG023850(gb|WP_043955033)
      1 VFG024127(gb|WP_011894790)
      1 VFG024850(gb|WP_025987421)
      2 VFG025019(gb|WP_009896156)
      9 VFG025294(gb|WP_009896189)
      1 VFG026291(gb|WP_011694187)
      1 VFG026305(gb|WP_009889305)
      2 VFG026964(gb|WP_015290883)
      2 VFG026971(gb|YP_007962576)
      1 VFG026985(gb|WP_051073897)
      1 VFG029506(gb|WP_011891286)
      2 VFG029516(gb|WP_015292076)
      2 VFG029734(gb|WP_015304390)
      1 VFG030673(gb|WP_010908121)
     18 VFG030679(gb|WP_011730288)
      3 VFG030684(gb|WP_011781637)
      8 VFG030686(gb|YP_001702115)
      1 VFG030692(gb|WP_013828150)
      2 VFG030694(gb|WP_013471930)
     22 VFG030724(gb|WP_015308640)
      1 VFG030989(gb|WP_011892407)
      1 VFG031037(gb|WP_010908991)
      2 VFG031048(gb|WP_011777508)
      1 VFG031056(gb|WP_193374435)
      2 VFG031061(gb|WP_009952664)
      1 VFG031084(gb|WP_041312930)
      1 VFG031145(gb|WP_003895355)
      5 VFG031400(gb|WP_085979799)
      1 VFG031403(gb|WP_014711794)
      1 VFG031730(gb|WP_014876914)
      1 VFG031736(gb|WP_011778105)
      1 VFG031961(gb|WP_012985768)
      1 VFG032387(gb|WP_003748418)
      1 VFG032599(gb|WP_014093098)
      4 VFG033288(gb|WP_000120918)
      2 VFG034364(gb|WP_000910402)
      1 VFG035186(gb|WP_000147336)
      2 VFG036033(gb|WP_000554170)
      3 VFG036556(gb|WP_014581848)
      2 VFG036797(gb|WP_003688094)
      2 VFG037726(gb|WP_001027059)
      1 VFG037895(gb|WP_001175098)
      1 VFG037908(gb|WP_000487070)
      1 VFG037911(gb|WP_000721147)
      3 VFG037943(gb|YP_001083152)
      4 VFG038396(gb|WP_005310704)
      1 VFG038684(gb|WP_011898508)
      1 VFG038698(gb|WP_010634617)
      1 VFG038845(gb|WP_016351249)
      4 VFG038916(gb|WP_011705263)
      3 VFG038918(gb|WP_164927583)
      1 VFG040442(gb|WP_011190825)
      2 VFG040878(gb|NP_249377)
     10 VFG040920(gb|WP_004533498)
     31 VFG041043(gb|NP_251061)
      1 VFG041078(gb|WP_002210475)
      1 VFG041163(gb|WP_000614300)
      1 VFG041222(gb|WP_012907484)
      1 VFG041722(gb|WP_006489706)
      3 VFG041746(gb|WP_004528905)
      1 VFG041821(gb|WP_011147908)
      3 VFG042338(gb|WP_000037412)
      1 VFG042749(gb|NP_252992)
      1 VFG043018(gb|NP_252039)
      1 VFG043066(gb|NP_460932)
      2 VFG043084(gb|WP_001212790)
      6 VFG043148(gb|WP_005478291)
      1 VFG043282(gb|WP_011860686)
      3 VFG043297(gb|WP_011860700)
     23 VFG043309(gb|WP_011860706)
      1 VFG043373(gb|WP_000342347)
      5 VFG043385(gb|WP_001064464)
      1 VFG043469(gb|YP_001201070)
     67 VFG043550(gb|NP_214954)
      3 VFG043573(gb|NP_219906)
      1 VFG043609(gb|AAG18638)
      1 VFG044091(gb|NP_252096)
      1 VFG044100(gb|NP_253394)
      2 VFG044110(gb|WP_010929751)
      5 VFG044131(gb|WP_005874564)
      2 VFG044225(gb|WP_011533698)
      3 VFG044228(gb|WP_044488032)
      2 VFG044229(gb|WP_011533702)
      1 VFG044304(gb|WP_000588838)
      1 VFG044315(gb|WP_012492605)
      7 VFG045692(gb|WP_197532029)
      9 VFG046458(gb|WP_003024794)
     20 VFG046459(gb|WP_004287053)
     35 VFG046467(gb|WP_014548920)
     22 VFG046470(gb|WP_014548920)
     18 VFG046474(gb|WP_014714676)
    139 VFG046475(gb|WP_013922406)
      2 VFG046654(gb|WP_014715512)
      1 VFG046726(gb|WP_012280810)
      2 VFG047032(gb|WP_013922615)
      1 VFG047037(gb|WP_012429802)
      1 VFG047198(gb|WP_012280617)
      1 VFG047223(gb|WP_014548781)
      6 VFG047250(gb|WP_012279861)
      2 VFG047718(gb|WP_013921812)
      4 VFG048790(gb|WP_014230056)
      3 VFG048796(gb|WP_015958696)
      2 VFG048822(gb|WP_004122480)
      1 VFG048823(gb|WP_014230059)
      1 VFG048829(gb|WP_004175258)
      1 VFG048845(gb|WP_004122486)
      1 VFG048885(gb|WP_014907227)
      1 VFG049107(gb|WP_015958694)
      1 VFG049189(gb|WP_014226431)
      1 VFG050120(gb|WP_078030487)
      1 VFG050185(gb|WP_001971583)
      1 VFG050194(gb|WP_000996524)
      1 VFG050200(gb|WP_001024122)
      5 VFG050201(gb|WP_000471738)
