      1 VFG000077(gb|NP_465991)
     45 VFG000079(gb|NP_463763)
      4 VFG000080(gb|NP_464522)
      1 VFG000330(gb|WP_005694491)
      5 VFG000331(gb|WP_005693548)
      5 VFG000332(gb|WP_005632797)
      9 VFG000335(gb|WP_010869142)
      1 VFG000431(gb|WP_000466893)
      4 VFG000685(gb|AAP42178)
      6 VFG000686(gb|AAP42179)
      8 VFG000687(gb|AAP42180)
      1 VFG000692(gb|AAP42185)
      5 VFG000694(gb|AAP42187)
      1 VFG000704(gb|AAP42196)
      6 VFG001269(gb|WP_010929996)
      3 VFG001344(gb|WP_000612460)
      5 VFG001373(gb|WP_000758382)
      2 VFG001374(gb|WP_000077424)
      2 VFG001376(gb|WP_000695335)
      3 VFG001855(gb|WP_197535493)
      2 VFG001967(gb|YP_002344822)
      7 VFG001969(gb|YP_002344824)
      7 VFG002182(gb|WP_002376666)
      3 VFG002270(gb|WP_011180104)
      1 VFG002280(gb|WP_011010361)
      5 VFG002965(gb|WP_011302064)
      3 VFG004508(gb|WP_001109390)
      1 VFG005031(gb|WP_011274719)
      3 VFG005042(gb|WP_011274720)
      1 VFG005065
      4 VFG005191(gb|WP_011681101)
      4 VFG005324(gb|WP_082302295)
      3 VFG005352(gb|WP_002986042)
     14 VFG005353(gb|WP_000260656)
     18 VFG005359(gb|WP_002899102)
      2 VFG005360(gb|WP_002262489)
      4 VFG005362(gb|WP_011836421)
      4 VFG005363(gb|WP_011836823)
      2 VFG005378(gb|WP_011836996)
      5 VFG005384(gb|WP_011836784)
      2 VFG005385(gb|WP_011836785)
      1 VFG005389(gb|WP_011836739)
      2 VFG005392(gb|WP_011836622)
      6 VFG005488(gb|WP_011836924)
      2 VFG005513(gb|WP_011836439)
      4 VFG005810(gb|WP_011836396)
      2 VFG005862(gb|WP_009659423)
      2 VFG005874(gb|WP_002986125)
      2 VFG005964(gb|WP_011681173)
      2 VFG005970(gb|WP_011837187)
      1 VFG005976(gb|WP_011681174)
      1 VFG005986(gb|WP_196767671)
      2 VFG005987(gb|WP_011226041)
     16 VFG005992(gb|WP_000685095)
      1 VFG005994(gb|WP_011837189)
      1 VFG005999(gb|WP_011226042)
      3 VFG006004(gb|WP_001819836)
      4 VFG006011(gb|WP_011681177)
      5 VFG006022(gb|WP_002947383)
      1 VFG006028(gb|YP_001197944)
      7 VFG006031(gb|WP_011226045)
      1 VFG006041(gb|WP_011681286)
      2 VFG006048(gb|WP_011681434)
      2 VFG006053(gb|WP_011226048)
      2 VFG006057(gb|WP_011227426)
      2 VFG006058(gb|WP_011226049)
      1 VFG006063(gb|WP_011681437)
      7 VFG006067(gb|WP_011681438)
      2 VFG006071(gb|WP_011681439)
      2 VFG006073(gb|WP_011227430)
