      5 VFG000077(gb|NP_465991)
     17 VFG000079(gb|NP_463763)
      7 VFG000080(gb|NP_464522)
     17 VFG000477(gb|NP_461845)
      2 VFG000478(gb|NP_459678)
      2 VFG000923(gb|WP_001034892)
      1 VFG000924(gb|WP_001234311)
      2 VFG000926(gb|WP_001443194)
      1 VFG000927(gb|WP_000096764)
      2 VFG001269(gb|WP_010929996)
      2 VFG001360(gb|WP_001042179)
      3 VFG001374(gb|WP_000077424)
      2 VFG001376(gb|WP_000695335)
      6 VFG001444(gb|AAG10151)
      2 VFG002055(gb|WP_000097229)
      2 VFG002084(gb|WP_000619136)
      1 VFG002966(gb|WP_011274717)
      1 VFG004288(gb|WP_000705499)
      6 VFG005042(gb|WP_011274720)
      1 VFG005097(gb|WP_011274725)
      2 VFG005322(gb|WP_011226733)
      1 VFG005351(gb|WP_002986042)
      2 VFG005353(gb|WP_000260656)
      2 VFG005359(gb|WP_002899102)
     10 VFG005360(gb|WP_002262489)
      2 VFG005388
      2 VFG005533(gb|WP_002262650)
      1 VFG005552(gb|WP_011837486)
      1 VFG005582(gb|WP_002897814)
      2 VFG005844(gb|WP_011681165)
      7 VFG005862(gb|WP_009659423)
      1 VFG005865(gb|WP_002262524)
      5 VFG005868(gb|WP_011681166)
      1 VFG005927(gb|WP_011226034)
      1 VFG005952(gb|WP_011681172)
      1 VFG005964(gb|WP_011681173)
      1 VFG005974(gb|WP_041827042)
      8 VFG005992(gb|WP_000685095)
      5 VFG006011(gb|WP_011681177)
      1 VFG006015(gb|WP_000676152)
      1 VFG006027(gb|WP_002916998)
      2 VFG006031(gb|WP_011226045)
      4 VFG006074(gb|WP_011226325)
      2 VFG006081(gb|WP_014621820)
      2 VFG006084(gb|WP_002948020)
      2 VFG006088(gb|WP_041828290)
      4 VFG006091(gb|WP_011226331)
      3 VFG006476(gb|WP_011115250)
      2 VFG006496(gb|WP_011115254)
      2 VFG006610(gb|WP_138091884)
      1 VFG006655(gb|WP_011115026)
      2 VFG006720(gb|WP_011702434)
      1 VFG006902(gb|WP_000957200)
      2 VFG007373(gb|WP_011078343)
      2 VFG007416(gb|WP_011079844)
      5 VFG007457(gb|WP_026130674)
      5 VFG007458(gb|WP_043877279)
      1 VFG007489(gb|WP_011262361)
      3 VFG007552(gb|WP_005479477)
      1 VFG007594(gb|WP_005481069)
      1 VFG007640(gb|WP_043877039)
      5 VFG007647(gb|WP_000236728)
      1 VFG007654(gb|WP_011149337)
      1 VFG007656(gb|WP_011078838)
      1 VFG007661(gb|WP_011261023)
      2 VFG007874(gb|WP_011780330)
      2 VFG009119(gb|WP_015307141)
      2 VFG009303(gb|WP_011782503)
      2 VFG009331(gb|WP_003897243)
      3 VFG009718(gb|WP_011728563)
      3 VFG009720(gb|WP_011779686)
      1 VFG009806(gb|WP_036377334)
      2 VFG009818(gb|WP_014878477)
      1 VFG009833(gb|WP_168189073)
      2 VFG009835(gb|WP_011782153)
      2 VFG009928(gb|WP_003894345)
      1 VFG012039(gb|WP_011732293)
     14 VFG012095(gb|WP_003435012)
     17 VFG012096(gb|WP_011722916)
     10 VFG012099(gb|WP_011100542)
      1 VFG012100(gb|WP_003357641)
     18 VFG012101(gb|WP_010965990)
      4 VFG012102(gb|WP_011967678)
    106 VFG012103(gb|WP_003514589)
      2 VFG012105(gb|WP_011722031)
      2 VFG012135(gb|WP_011590415)
      2 VFG012351(gb|WP_000397940)
      1 VFG012906(gb|WP_000820139)
      2 VFG012971(gb|WP_011378643)
      1 VFG013156(gb|WP_012341779)
      1 VFG013178(gb|WP_012341378)
      2 VFG013252(gb|WP_010945439)
      2 VFG013260(gb|WP_010868968)
      1 VFG013287(gb|WP_005688951)
      2 VFG013341(gb|WP_011608795)
      1 VFG013365(gb|WP_010869077)
      2 VFG013369(gb|WP_011272256)
     11 VFG013434(gb|WP_010945082)
      7 VFG013464(gb|WP_011609611)
      2 VFG013901(gb|WP_004654396)
      1 VFG013905(gb|WP_011064011)
      1 VFG014129(gb|WP_003150889)
      2 VFG014131(gb|WP_025297833)
      1 VFG014359(gb|WP_003382141)
      1 VFG014360(gb|WP_003316803)
      2 VFG014361(gb|WP_011169094)
      1 VFG014367(gb|WP_012019027)
      2 VFG014368(gb|WP_014597048)
      1 VFG014852(gb|WP_011059369)
      1 VFG014854(gb|WP_011921099)
      1 VFG014889(gb|WP_011059366)
      1 VFG014953(gb|WP_005764764)
      2 VFG014956(gb|WP_049587369)
      1 VFG014962(gb|WP_011912408)
      2 VFG014984(gb|NP_253136)
      1 VFG014987(gb|WP_003377590)
      1 VFG014992(gb|WP_011535570)
      1 VFG014995(gb|WP_011921011)
      3 VFG014996(gb|WP_011912236)
      3 VFG015076(gb|WP_011062714)
      1 VFG015077(gb|WP_041475601)
      1 VFG015235(gb|WP_004666085)
      1 VFG015497(gb|WP_011064261)
      4 VFG015711(gb|WP_012315508)
      1 VFG015753(gb|WP_012312809)
      2 VFG015783(gb|WP_012313127)
      2 VFG015805(gb|WP_012272402)
      1 VFG015826(gb|WP_012273396)
      1 VFG015992(gb|WP_011062368)
      2 VFG016025(gb|WP_005753277)
      1 VFG016380(gb|WP_000609547)
      2 VFG016394(gb|WP_000608671)
      2 VFG016400(gb|WP_000502776)
      1 VFG016417(gb|WP_000757774)
      2 VFG016470(gb|WP_011290436)
     12 VFG016483(gb|WP_010875022)
     17 VFG016484(gb|WP_009885583)
     75 VFG016485(gb|WP_011113468)
     17 VFG016489(gb|WP_011264744)
     27 VFG016490(gb|NP_975163)
     41 VFG016491(gb|WP_011076858)
     58 VFG016492(gb|WP_010925206)
     57 VFG016493(gb|WP_011283803)
     68 VFG016494(gb|WP_004024476)
      9 VFG016495(gb|WP_011166362)
      4 VFG016860(gb|WP_010230254)
      1 VFG016861(gb|WP_010882971)
      4 VFG017987(gb|WP_012006774)
      2 VFG018001(gb|WP_002866148)
      4 VFG018002(gb|WP_002866149)
      1 VFG018203(gb|WP_000095070)
      1 VFG018246(gb|WP_011261308)
     17 VFG018652(gb|WP_006154814)
      1 VFG018661(gb|WP_011999924)
     29 VFG018662(gb|WP_012130507)
      5 VFG018664(gb|WP_012000426)
      8 VFG019077(gb|WP_000260685)
      1 VFG019078(gb|WP_000260667)
      2 VFG019118(gb|WP_000861662)
      4 VFG019119(gb|WP_001076780)
      2 VFG019132(gb|WP_012343546)
     13 VFG019134(gb|WP_012422966)
      2 VFG019760(gb|WP_012722471)
      3 VFG019824(gb|WP_015885197)
      1 VFG022573(gb|WP_013828959)
      2 VFG022866(gb|WP_013829374)
      2 VFG023546(gb|YP_001703132)
      1 VFG024082(gb|WP_008254502)
      1 VFG024212(gb|WP_009954371)
      4 VFG025294(gb|WP_009896189)
      2 VFG025654(gb|WP_009893444)
      1 VFG026291(gb|WP_011694187)
      1 VFG026325(gb|WP_009889299)
      1 VFG026439(gb|WP_015307764)
      1 VFG026961(gb|WP_074360147)
      1 VFG026964(gb|WP_015290883)
      3 VFG026985(gb|WP_051073897)
      2 VFG029506(gb|WP_011891286)
      1 VFG030675(gb|WP_003875535)
      2 VFG030676(gb|WP_011724098)
      1 VFG030679(gb|WP_011730288)
      3 VFG030684(gb|WP_011781637)
      1 VFG030692(gb|WP_013828150)
      1 VFG030694(gb|WP_013471930)
      4 VFG030724(gb|WP_015308640)
      1 VFG031039(gb|WP_011726364)
      2 VFG031056(gb|WP_193374435)
      1 VFG031093(gb|WP_011729397)
      1 VFG031353(gb|WP_011725961)
      2 VFG031364(gb|WP_081465670)
      1 VFG031402(gb|WP_008257346)
      1 VFG031642(gb|WP_015305063)
      1 VFG031736(gb|WP_011778105)
      2 VFG033271(gb|WP_000120907)
      2 VFG033284(gb|WP_000123650)
      1 VFG033304(gb|WP_001244826)
      2 VFG033335(gb|WP_000825461)
      2 VFG034300(gb|WP_001095625)
      2 VFG034360(gb|WP_000910405)
      2 VFG034501(gb|WP_001265646)
      2 VFG034563(gb|WP_000092552)
      1 VFG034670(gb|WP_000074194)
      2 VFG035135(gb|WP_000686687)
      2 VFG035146(gb|WP_000712316)
      2 VFG035194(gb|WP_000147344)
      2 VFG035246(gb|WP_015674982)
      1 VFG035276(gb|WP_000342476)
      2 VFG035305(gb|WP_000484009)
      2 VFG035321(gb|WP_000106968)
      1 VFG035457(gb|WP_000013181)
      2 VFG035560(gb|WP_000614311)
      2 VFG035712(gb|WP_000863399)
      2 VFG035762(gb|WP_000111582)
      2 VFG035835(gb|WP_000053624)
      6 VFG035960(gb|WP_001033262)
      8 VFG035973(gb|WP_001080129)
      3 VFG036001(gb|WP_000556535)
      1 VFG037726(gb|WP_001027059)
      1 VFG037928(gb|YP_001083151)
      2 VFG037938(gb|WP_000104825)
      4 VFG038102(gb|WP_015011143)
      1 VFG038104(gb|WP_001062923)
      1 VFG038466(gb|WP_005340354)
      1 VFG038533(gb|WP_016350152)
      1 VFG038535(gb|WP_013723952)
      6 VFG038916(gb|WP_011705263)
      1 VFG038917(gb|WP_011705262)
      3 VFG040878(gb|NP_249377)
      1 VFG040891(gb|WP_019237945)
      1 VFG040912(gb|WP_011094630)
      4 VFG040920(gb|WP_004533498)
      1 VFG040947(gb|WP_000094974)
      2 VFG040949(gb|WP_001255040)
      2 VFG041020(gb|NP_250353)
      4 VFG041043(gb|NP_251061)
     14 VFG041078(gb|WP_002210475)
      1 VFG041098(gb|NP_459271)
      2 VFG041304(gb|WP_010947678)
      2 VFG042585(gb|WP_000795033)
     18 VFG042679(gb|CAD56970)
      6 VFG042680(gb|CAD56971)
