     20 VFG000077(gb|NP_465991)
     98 VFG000079(gb|NP_463763)
     27 VFG000080(gb|NP_464522)
      1 VFG000182(gb|NP_251793)
      2 VFG000330(gb|WP_005694491)
      8 VFG000477(gb|NP_461845)
      2 VFG000478(gb|NP_459678)
      2 VFG000617(gb|NP_709456)
      2 VFG000618(gb|NP_709457)
      5 VFG000876(gb|WP_000120946)
      9 VFG000923(gb|WP_001034892)
      1 VFG000924(gb|WP_001234311)
      1 VFG000925(gb|WP_000140634)
     10 VFG000927(gb|WP_000096764)
      1 VFG000928(gb|WP_000640938)
      2 VFG000929(gb|WP_001375021)
      3 VFG000930(gb|WP_000077767)
      6 VFG000932(gb|WP_000026784)
      1 VFG000933(gb|WP_001007140)
      2 VFG000934(gb|WP_000348393)
      8 VFG001269(gb|WP_010929996)
      1 VFG001301(gb|WP_000459062)
     11 VFG001348(gb|WP_000659580)
      4 VFG001366(gb|WP_000565352)
      4 VFG001373(gb|WP_000758382)
      9 VFG001374(gb|WP_000077424)
      2 VFG001375(gb|WP_000594468)
      8 VFG001376(gb|WP_000695335)
     10 VFG001444(gb|AAG10151)
     22 VFG001731(gb|WP_001223352)
      5 VFG001855(gb|WP_197535493)
      1 VFG001945(gb|YP_002344537)
     20 VFG001967(gb|YP_002344822)
      2 VFG002046(gb|WP_000135089)
      4 VFG002047(gb|WP_000498818)
      1 VFG002053(gb|WP_001250462)
      7 VFG002054(gb|WP_000633233)
      5 VFG002182(gb|WP_002376666)
      7 VFG002280(gb|WP_011010361)
      1 VFG002365(gb|WP_005167740)
     16 VFG002965(gb|WP_011302064)
      3 VFG002966(gb|WP_011274717)
      4 VFG005020(gb|WP_011274718)
     20 VFG005042(gb|WP_011274720)
      3 VFG005065
     12 VFG005191(gb|WP_011681101)
      2 VFG005242(gb|WP_011837269)
      2 VFG005323(gb|WP_011225268)
      5 VFG005324(gb|WP_082302295)
     10 VFG005325(gb|WP_011680595)
      2 VFG005347(gb|WP_002986042)
      6 VFG005352(gb|WP_002986042)
     11 VFG005353(gb|WP_000260656)
     11 VFG005359(gb|WP_002899102)
     38 VFG005360(gb|WP_002262489)
      2 VFG005361(gb|WP_002352221)
      1 VFG005364(gb|WP_000208378)
      8 VFG005382(gb|WP_011681303)
      1 VFG005385(gb|WP_011836785)
      5 VFG005386
     12 VFG005388
      2 VFG005392(gb|WP_011836622)
      5 VFG005393(gb|WP_002352262)
      1 VFG005490(gb|WP_000472995)
      1 VFG005547(gb|WP_000107749)
      2 VFG005552(gb|WP_011837486)
      6 VFG005556(gb|WP_011680653)
      1 VFG005576(gb|WP_000022832)
      2 VFG005579(gb|WP_000022815)
      4 VFG005580(gb|WP_000022813)
      8 VFG005582(gb|WP_002897814)
      2 VFG005649(gb|WP_001193721)
      2 VFG005844(gb|WP_011681165)
      2 VFG005862(gb|WP_009659423)
      5 VFG005898(gb|WP_002904719)
      5 VFG005901(gb|WP_002261975)
      2 VFG005912(gb|YP_001200129)
      2 VFG005922(gb|WP_011837183)
      1 VFG005924(gb|YP_001200130)
      2 VFG005934(gb|WP_011837184)
     17 VFG005940(gb|WP_011681171)
     12 VFG005952(gb|WP_011681172)
     16 VFG005964(gb|WP_011681173)
      1 VFG005973(gb|WP_002263087)
      2 VFG005976(gb|WP_011681174)
      1 VFG005985(gb|WP_002263085)
      1 VFG005988(gb|WP_011681175)
     39 VFG005992(gb|WP_000685095)
      4 VFG005994(gb|WP_011837189)
      5 VFG005997(gb|WP_002263084)
      5 VFG006000(gb|WP_011681176)
      4 VFG006004(gb|WP_001819836)
      2 VFG006009(gb|WP_011227247)
      3 VFG006010
     10 VFG006011(gb|WP_011681177)
     10 VFG006022(gb|WP_002947383)
      2 VFG006027(gb|WP_002916998)
      2 VFG006028(gb|YP_001197944)
      4 VFG006031(gb|WP_011226045)
      4 VFG006040(gb|WP_011226046)
      6 VFG006047(gb|WP_011226047)
