      6 VFG000077(gb|NP_465991)
     48 VFG000079(gb|NP_463763)
      2 VFG000080(gb|NP_464522)
      1 VFG000182(gb|NP_251793)
      2 VFG000690(gb|AAP42183)
      5 VFG001269(gb|WP_010929996)
      9 VFG001348(gb|WP_000659580)
      1 VFG001373(gb|WP_000758382)
      4 VFG001374(gb|WP_000077424)
     15 VFG001855(gb|WP_197535493)
     12 VFG001967(gb|YP_002344822)
      5 VFG001969(gb|YP_002344824)
      3 VFG002084(gb|WP_000619136)
      3 VFG002182(gb|WP_002376666)
      2 VFG002277(gb|WP_011009663)
      1 VFG005021(gb|WP_011302065)
      3 VFG005065
      1 VFG005087(gb|WP_011302071)
      2 VFG005186(gb|YP_001198858)
      1 VFG005188(gb|WP_002263095)
      4 VFG005347(gb|WP_002986042)
      2 VFG005352(gb|WP_002986042)
      6 VFG005359(gb|WP_002899102)
      6 VFG005360(gb|WP_002262489)
      4 VFG005388
      2 VFG005392(gb|WP_011836622)
      1 VFG005553(gb|WP_002263425)
      3 VFG005582(gb|WP_002897814)
      4 VFG005850(gb|WP_002990653)
      1 VFG005862(gb|WP_009659423)
      1 VFG005898(gb|WP_002904719)
      1 VFG005924(gb|YP_001200130)
      1 VFG005928(gb|WP_202964935)
      2 VFG005952(gb|WP_011681172)
      1 VFG005964(gb|WP_011681173)
      1 VFG005969(gb|WP_000902274)
      1 VFG005990(gb|WP_000659582)
      5 VFG005992(gb|WP_000685095)
      5 VFG005997(gb|WP_002263084)
      1 VFG006015(gb|WP_000676152)
      1 VFG006027(gb|WP_002916998)
      1 VFG006068(gb|WP_002902061)
      1 VFG006072(gb|WP_002902060)
      2 VFG006076(gb|WP_011837623)
      2 VFG006081(gb|WP_014621820)
      2 VFG006089(gb|WP_011681446)
      2 VFG006198(gb|WP_010981144)
      2 VFG006476(gb|WP_011115250)
      2 VFG006496(gb|WP_011115254)
      1 VFG006579(gb|WP_011578013)
      1 VFG006655(gb|WP_011115026)
      6 VFG006720(gb|WP_011702434)
      5 VFG006906(gb|WP_011151129)
      3 VFG006914(gb|WP_000418747)
      1 VFG006964(gb|WP_005456306)
      4 VFG007373(gb|WP_011078343)
      5 VFG007456(gb|WP_005457757)
      2 VFG007457(gb|WP_026130674)
      2 VFG007458(gb|WP_043877279)
      1 VFG007489(gb|WP_011262361)
      2 VFG007495(gb|WP_011262362)
      2 VFG007499(gb|WP_011079830)
      4 VFG007552(gb|WP_005479477)
      2 VFG007640(gb|WP_043877039)
      1 VFG007657(gb|WP_043877045)
      1 VFG007659(gb|WP_011261022)
      3 VFG007661(gb|WP_011261023)
      1 VFG007793(gb|WP_014000413)
      1 VFG007813(gb|WP_015309406)
      1 VFG007911(gb|WP_010908851)
      1 VFG008277(gb|WP_011777397)
      1 VFG009161(gb|WP_005067995)
      1 VFG009230(gb|WP_041307902)
      1 VFG009244(gb|WP_011893656)
      1 VFG009332(gb|WP_011892513)
      1 VFG009477(gb|WP_011729885)
      1 VFG009575(gb|WP_003873186)
      1 VFG009576(gb|WP_024637120)
      1 VFG009676(gb|WP_003876555)
      5 VFG009718(gb|WP_011728563)
      4 VFG009720(gb|WP_011779686)
      1 VFG009721(gb|WP_083044596)
      1 VFG009805(gb|WP_011892478)
      1 VFG009818(gb|WP_014878477)
      1 VFG009849(gb|WP_011892634)
      1 VFG009861(gb|WP_010907575)
      1 VFG009930(gb|WP_011779804)
      1 VFG010485(gb|WP_197535493)
      1 VFG010923(gb|WP_011213743)
      2 VFG011124
      1 VFG011169(gb|WP_012415800)
     18 VFG012095(gb|WP_003435012)
     32 VFG012096(gb|WP_011722916)
      3 VFG012097(gb|WP_003462314)
      7 VFG012099(gb|WP_011100542)
     31 VFG012101(gb|WP_010965990)
     14 VFG012102(gb|WP_011967678)
    112 VFG012103(gb|WP_003514589)
      2 VFG012104(gb|WP_011861612)
      2 VFG012121(gb|WP_011591220)
      5 VFG012865
      1 VFG013155(gb|WP_012341780)
      9 VFG013156(gb|WP_012341779)
      2 VFG013178(gb|WP_012341378)
      1 VFG013212(gb|WP_074039657)
      2 VFG013252(gb|WP_010945439)
      1 VFG013287(gb|WP_005688951)
      2 VFG013368(gb|WP_005693225)
      1 VFG013376(gb|WP_012054551)
      2 VFG013416(gb|WP_010944765)
     10 VFG013421(gb|WP_005630454)
      1 VFG013530(gb|WP_010869249)
      2 VFG013532(gb|WP_012054417)
      6 VFG013534(gb|WP_010944436)
      1 VFG013581
      1 VFG013672(gb|WP_010934130)
      2 VFG013733(gb|WP_003854229)
      4 VFG013734(gb|WP_011013698)
      2 VFG013775(gb|WP_003141354)
      1 VFG013792(gb|WP_011335980)
      2 VFG013818(gb|WP_011335996)
      1 VFG013897(gb|WP_003084552)
      1 VFG013901(gb|WP_004654396)
      1 VFG013905(gb|WP_011064011)
      1 VFG013907(gb|WP_004373763)
      1 VFG013914(gb|WP_011168499)
      2 VFG014129(gb|WP_003150889)
      1 VFG014135(gb|WP_025297832)
      1 VFG014357(gb|WP_003152329)
      1 VFG014364(gb|WP_011534913)
      2 VFG014368(gb|WP_014597048)
      3 VFG014386(gb|WP_011268444)
      1 VFG014389(gb|WP_012051624)
      2 VFG014392(gb|WP_011333047)
      1 VFG014440(gb|WP_010955089)
      1 VFG014455(gb|WP_011534906)
      1 VFG014520(gb|WP_011534898)
      4 VFG014602(gb|WP_017243981)
      1 VFG014780(gb|WP_011332558)
      1 VFG014844(gb|WP_012074763)
      2 VFG014851(gb|WP_011535591)
      2 VFG014854(gb|WP_011921099)
      2 VFG014905(gb|WP_196240458)
      3 VFG014952(gb|WP_003140933)
      3 VFG014961(gb|WP_003245464)
      1 VFG014984(gb|NP_253136)
      2 VFG014985(gb|WP_012077206)
      8 VFG014987(gb|WP_003377590)
      1 VFG014993(gb|WP_011059287)
      1 VFG015076(gb|WP_011062714)
      4 VFG015077(gb|WP_041475601)
      1 VFG015235(gb|WP_004666085)
      1 VFG015493(gb|WP_011269330)
      8 VFG015495(gb|WP_049586082)
      1 VFG015496(gb|WP_012052412)
      1 VFG015497(gb|WP_011064261)
      2 VFG015498(gb|WP_012018669)
      2 VFG015753(gb|WP_012312809)
      5 VFG015806(gb|WP_012314365)
      1 VFG016025(gb|WP_005753277)
      1 VFG016110(gb|WP_012074239)
      1 VFG016167(gb|WP_004665393)
      3 VFG016184(gb|WP_005762826)
     11 VFG016192(gb|WP_011107026)
      1 VFG016377(gb|WP_000286451)
      1 VFG016380(gb|WP_000609547)
      2 VFG016381(gb|WP_033685340)
     12 VFG016387(gb|WP_000996578)
      1 VFG016400(gb|WP_000502776)
      2 VFG016401(gb|WP_000122128)
      4 VFG016470(gb|WP_011290436)
     22 VFG016483(gb|WP_010875022)
     18 VFG016484(gb|WP_009885583)
     95 VFG016485(gb|WP_011113468)
      3 VFG016489(gb|WP_011264744)
     42 VFG016490(gb|NP_975163)
     83 VFG016491(gb|WP_011076858)
     38 VFG016492(gb|WP_010925206)
     44 VFG016493(gb|WP_011283803)
     79 VFG016494(gb|WP_004024476)
     12 VFG016495(gb|WP_011166362)
      1 VFG016532(gb|NP_975942)
      2 VFG016784(gb|WP_005767817)
      3 VFG016861(gb|WP_010882971)
      5 VFG016967(gb|WP_011458515)
     16 VFG017987(gb|WP_012006774)
      4 VFG018001(gb|WP_002866148)
     30 VFG018652(gb|WP_006154814)
      1 VFG018654(gb|WP_011999748)
     18 VFG018662(gb|WP_012130507)
      1 VFG018678(gb|WP_012131000)
      1 VFG019078(gb|WP_000260667)
      5 VFG019126(gb|WP_000389894)
      1 VFG019127(gb|WP_000723325)
      4 VFG019132(gb|WP_012343546)
     39 VFG019134(gb|WP_012422966)
      1 VFG019760(gb|WP_012722471)
      1 VFG019942(gb|WP_012724914)
      1 VFG022631(gb|WP_013830506)
      1 VFG022781(gb|YP_001702997)
      4 VFG022786(gb|WP_013828471)
      1 VFG022859(gb|WP_012393794)
     17 VFG022866(gb|WP_013829374)
      1 VFG023611(gb|WP_005165119)
      1 VFG023940(gb|WP_013470807)
      1 VFG024127(gb|WP_011894790)
      1 VFG024212(gb|WP_009954371)
      2 VFG024680(gb|WP_085978051)
      1 VFG024850(gb|WP_025987421)
     16 VFG025294(gb|WP_009896189)
      1 VFG025498(gb|WP_009893510)
      1 VFG026439(gb|WP_015307764)
      1 VFG026700(gb|YP_007957699)
      4 VFG026964(gb|WP_015290883)
      1 VFG026965(gb|WP_015293867)
      2 VFG026985(gb|WP_051073897)
      1 VFG027131(gb|WP_015309447)
      1 VFG029490(gb|WP_011726901)
      1 VFG030673(gb|WP_010908121)
      4 VFG030679(gb|WP_011730288)
      7 VFG030684(gb|WP_011781637)
      1 VFG030686(gb|YP_001702115)
      5 VFG030692(gb|WP_013828150)
      1 VFG030694(gb|WP_013471930)
      1 VFG030700(gb|WP_005098896)
      9 VFG030724(gb|WP_015308640)
      1 VFG031037(gb|WP_010908991)
      2 VFG031043(gb|WP_085976227)
      1 VFG031084(gb|WP_041312930)
      1 VFG031364(gb|WP_081465670)
      1 VFG031368(gb|WP_014383193)
      1 VFG031400(gb|WP_085979799)
      2 VFG031404(gb|WP_085981087)
      1 VFG031736(gb|WP_011778105)
     10 VFG031960(gb|WP_014092990)
      1 VFG031961(gb|WP_012985768)
      1 VFG032467(gb|WP_003753737)
      1 VFG036437(gb|WP_014582361)
      2 VFG036738(gb|WP_014581703)
      1 VFG037874(gb|WP_001062924)
      2 VFG037938(gb|WP_000104825)
      3 VFG037943(gb|YP_001083152)
      1 VFG038279(gb|WP_005338295)
      1 VFG038395(gb|WP_011705721)
      1 VFG038396(gb|WP_005310704)
      1 VFG038398(gb|WP_005310706)
      2 VFG038466(gb|WP_005340354)
      1 VFG038589(gb|WP_011704368)
      2 VFG038681(gb|WP_005334720)
      1 VFG038684(gb|WP_011898508)
      7 VFG038685(gb|WP_013723549)
      1 VFG038686(gb|WP_011705286)
      1 VFG038687(gb|WP_016350057)
      1 VFG038701(gb|WP_013723552)
      1 VFG038731(gb|WP_016350347)
      1 VFG038758(gb|WP_005350684)
      1 VFG038763(gb|WP_017409846)
      1 VFG038789(gb|WP_005320202)
      2 VFG038916(gb|WP_011705263)
      3 VFG038918(gb|WP_164927583)
      1 VFG039836(gb|WP_011477919)
      2 VFG040878(gb|NP_249377)
      4 VFG040891(gb|WP_019237945)
      1 VFG040920(gb|WP_004533498)
      1 VFG040985(gb|WP_004083688)
      3 VFG041020(gb|NP_250353)
      3 VFG041031(gb|NP_251049)
      6 VFG041043(gb|NP_251061)
     17 VFG041078(gb|WP_002210475)
      1 VFG041098(gb|NP_459271)
      3 VFG041152(gb|WP_006484392)
      1 VFG041222(gb|WP_012907484)
      2 VFG041304(gb|WP_010947678)
      1 VFG041691(gb|WP_015888351)
      4 VFG041718(gb|WP_006487564)
      2 VFG041722(gb|WP_006489706)
      1 VFG041770(gb|WP_004551828)
      7 VFG041785(gb|WP_011176697)
      1 VFG042749(gb|NP_252992)
      2 VFG042830(gb|WP_003451114)
      1 VFG042879(gb|WP_011079462)
     11 VFG042915(gb|WP_012030773)
      4 VFG042918(gb|WP_012031009)
      1 VFG042927(gb|WP_012031398)
      2 VFG043037(gb|NP_460873)
      1 VFG043152(gb|WP_005462793)
      8 VFG043285(gb|WP_011860690)
      1 VFG043319(gb|WP_010946589)
      9 VFG043378(gb|WP_000467802)
      1 VFG043394(gb|YP_002343725)
     84 VFG043550(gb|NP_214954)
      2 VFG043556(gb|WP_009885879)
      8 VFG043573(gb|NP_219906)
      2 VFG043593(gb|WP_000078946)
      1 VFG043603(gb|WP_078064065)
      3 VFG043609(gb|AAG18638)
      1 VFG043634(gb|WP_011081076)
      1 VFG043648(gb|NP_252312)
      1 VFG044091(gb|NP_252096)
      2 VFG044110(gb|WP_010929751)
     12 VFG044130(gb|WP_005874678)
     11 VFG044131(gb|WP_005874564)
      5 VFG044153(gb|WP_011063599)
      1 VFG044213(gb|WP_000403742)
      2 VFG044229(gb|WP_011533702)
      1 VFG044295(gb|WP_004243181)
      1 VFG044310(gb|WP_006486076)
      1 VFG044315(gb|WP_012492605)
      6 VFG044336(gb|WP_050767835)
     12 VFG045692(gb|WP_197532029)
      1 VFG045705(gb|WP_003636663)
      1 VFG046216(gb|WP_012280393)
     12 VFG046458(gb|WP_003024794)
     10 VFG046459(gb|WP_004287053)
     52 VFG046467(gb|WP_014548920)
     43 VFG046470(gb|WP_014548920)
     12 VFG046474(gb|WP_014714676)
    156 VFG046475(gb|WP_013922406)
      1 VFG046622(gb|WP_012280805)
      4 VFG046655(gb|WP_013922873)
      1 VFG047169(gb|WP_013922530)
      3 VFG047198(gb|WP_012280617)
      2 VFG047710(gb|WP_014547360)
      2 VFG047717(gb|WP_014714141)
      1 VFG047718(gb|WP_013921812)
      2 VFG048350(gb|WP_012967268)
      3 VFG048789(gb|WP_014838943)
      3 VFG048790(gb|WP_014230056)
      1 VFG048822(gb|WP_004122480)
      5 VFG048823(gb|WP_014230059)
      2 VFG048826(gb|YP_005227857)
      1 VFG048840(gb|WP_015958698)
      2 VFG048844(gb|WP_014838945)
      1 VFG048845(gb|WP_004122486)
      2 VFG048851(gb|WP_015958700)
      2 VFG048953(gb|WP_012967596)
      2 VFG049103(gb|WP_004175258)
      2 VFG049107(gb|WP_015958694)
      3 VFG050194(gb|WP_000996524)
      3 VFG050199(gb|WP_000734425)
      2 VFG050201(gb|WP_000471738)
      6 VFG050205(gb|WP_000122126)
      1 VFG050441(gb|WP_000993729.1)
