     19 VFG000079(gb|NP_463763)
      6 VFG000080(gb|NP_464522)
      2 VFG000321(gb|WP_000659810)
     16 VFG001269(gb|WP_010929996)
      1 VFG001344(gb|WP_000612460)
      2 VFG001360(gb|WP_001042179)
      4 VFG001373(gb|WP_000758382)
      5 VFG001374(gb|WP_000077424)
     10 VFG001375(gb|WP_000594468)
      2 VFG001376(gb|WP_000695335)
      1 VFG001443(gb|AAF37887)
      1 VFG001855(gb|WP_197535493)
      3 VFG001967(gb|YP_002344822)
     11 VFG001969(gb|YP_002344824)
      2 VFG002377(gb|WP_005167721)
      2 VFG002966(gb|WP_011274717)
      1 VFG005041(gb|WP_001216898)
      3 VFG005042(gb|WP_011274720)
      4 VFG005065
      1 VFG005193(gb|WP_000006720)
      3 VFG005352(gb|WP_002986042)
     24 VFG005359(gb|WP_002899102)
      8 VFG005360(gb|WP_002262489)
      4 VFG005486(gb|WP_000417180)
      2 VFG005513(gb|WP_011836439)
      1 VFG005862(gb|WP_009659423)
      2 VFG005898(gb|WP_002904719)
     11 VFG005940(gb|WP_011681171)
     15 VFG005952(gb|WP_011681172)
      1 VFG005986(gb|WP_196767671)
     17 VFG005992(gb|WP_000685095)
      5 VFG005997(gb|WP_002263084)
      7 VFG006004(gb|WP_001819836)
      1 VFG006015(gb|WP_000676152)
      4 VFG006027(gb|WP_002916998)
      2 VFG006275(gb|WP_002248524)
      2 VFG006334(gb|WP_002236579)
      2 VFG006472(gb|WP_000724295)
      5 VFG006720(gb|WP_011702434)
      1 VFG006809(gb|WP_011703166)
      2 VFG007639(gb|WP_043920918)
      4 VFG007656(gb|WP_011078838)
      5 VFG007657(gb|WP_043877045)
     12 VFG007658(gb|WP_011149273)
      7 VFG007659(gb|WP_011261022)
      1 VFG007909(gb|WP_003876146)
      1 VFG007910
      1 VFG008277(gb|WP_011777397)
      2 VFG009119(gb|WP_015307141)
     12 VFG009161(gb|WP_005067995)
     16 VFG009228(gb|WP_011729234)
      3 VFG009331(gb|WP_003897243)
      1 VFG009575(gb|WP_003873186)
      1 VFG009576(gb|WP_024637120)
      2 VFG009578(gb|WP_011731355)
      4 VFG009718(gb|WP_011728563)
      6 VFG009720(gb|WP_011779686)
      1 VFG009805(gb|WP_011892478)
      3 VFG009818(gb|WP_014878477)
      1 VFG009820(gb|WP_036377494)
      1 VFG009865(gb|WP_041307013)
      2 VFG010758(gb|WP_025520099)
      2 VFG011124
      1 VFG011139(gb|WP_012415794)
      1 VFG011684(gb|WP_002860371)
      2 VFG011705(gb|WP_011049980)
      5 VFG011721(gb|WP_002860361)
      8 VFG012095(gb|WP_003435012)
     20 VFG012096(gb|WP_011722916)
      2 VFG012097(gb|WP_003462314)
      4 VFG012098(gb|WP_003454479)
      2 VFG012099(gb|WP_011100542)
      1 VFG012100(gb|WP_003357641)
     22 VFG012101(gb|WP_010965990)
     11 VFG012102(gb|WP_011967678)
     52 VFG012103(gb|WP_003514589)
      1 VFG012105(gb|WP_011722031)
      2 VFG012486(gb|WP_001142370)
      4 VFG013155(gb|WP_012341780)
      9 VFG013260(gb|WP_010868968)
      4 VFG013291(gb|WP_011608942)
      1 VFG013335
      1 VFG013368(gb|WP_005693225)
      1 VFG013464(gb|WP_011609611)
      4 VFG013475
      2 VFG013717(gb|WP_006769628)
      1 VFG013732(gb|WP_006769637)
      1 VFG013733(gb|WP_003854229)
      1 VFG013778(gb|WP_011167728)
      1 VFG013781(gb|WP_011912243)
      1 VFG013908(gb|WP_011914970)
     31 VFG014129(gb|WP_003150889)
      1 VFG014131(gb|WP_025297833)
      2 VFG014135(gb|WP_025297832)
      1 VFG014357(gb|WP_003152329)
      3 VFG014360(gb|WP_003316803)
      2 VFG014361(gb|WP_011169094)
      1 VFG014368(gb|WP_014597048)
