      4 VFG000077(gb|NP_465991)
      9 VFG000079(gb|NP_463763)
     18 VFG000080(gb|NP_464522)
      2 VFG001269(gb|WP_010929996)
      1 VFG001348(gb|WP_000659580)
      1 VFG001359(gb|WP_000733059)
      9 VFG001375(gb|WP_000594468)
      1 VFG001924(gb|YP_002344727)
      1 VFG001959(gb|YP_002344814)
      1 VFG001967(gb|YP_002344822)
      2 VFG002966(gb|WP_011274717)
      1 VFG005065
      2 VFG005191(gb|WP_011681101)
      1 VFG005253(gb|WP_011285200)
      2 VFG005309(gb|WP_011837256)
      4 VFG005323(gb|WP_011225268)
      3 VFG005324(gb|WP_082302295)
      1 VFG005352(gb|WP_002986042)
      1 VFG005357(gb|WP_000260666)
     13 VFG005359(gb|WP_002899102)
      5 VFG005360(gb|WP_002262489)
      3 VFG005362(gb|WP_011836421)
      3 VFG005363(gb|WP_011836823)
      1 VFG005389(gb|WP_011836739)
      3 VFG005393(gb|WP_002352262)
      2 VFG005485(gb|WP_000417171)
      4 VFG005579(gb|WP_000022815)
      6 VFG005582(gb|WP_002897814)
      2 VFG005838(gb|WP_011836759)
      1 VFG005922(gb|WP_011837183)
      1 VFG005940(gb|WP_011681171)
      1 VFG005949(gb|WP_002261979)
      2 VFG005952(gb|WP_011681172)
      2 VFG005992(gb|WP_000685095)
      3 VFG005997(gb|WP_002263084)
      4 VFG006004(gb|WP_001819836)
      2 VFG006011(gb|WP_011681177)
      2 VFG006015(gb|WP_000676152)
      4 VFG006048(gb|WP_011681434)
      2 VFG006052(gb|WP_011226150)
      4 VFG006053(gb|WP_011226048)
      2 VFG006057(gb|WP_011227426)
      2 VFG006058(gb|WP_011226049)
      2 VFG006062(gb|WP_002947383)
      4 VFG006072(gb|WP_002902060)
      2 VFG006074(gb|WP_011226325)
      4 VFG006075(gb|WP_011681440)
      4 VFG006079(gb|WP_011681442)
      2 VFG006081(gb|WP_014621820)
      4 VFG006082(gb|WP_011226326)
      3 VFG006086(gb|WP_011226328)
      2 VFG006087(gb|WP_011681445)
      2 VFG006089(gb|WP_011681446)
      4 VFG006526(gb|WP_011116635)
      2 VFG006635(gb|WP_011115343)
      1 VFG006674(gb|WP_011577083)
      1 VFG007496(gb|WP_001190986)
      1 VFG007642(gb|WP_011149334)
      2 VFG007656(gb|WP_011078838)
      2 VFG007658(gb|WP_011149273)
      1 VFG007911(gb|WP_010908851)
      1 VFG007914(gb|WP_011780329)
      2 VFG009244(gb|WP_011893656)
      2 VFG009407(gb|WP_011893806)
      1 VFG009576(gb|WP_024637120)
      2 VFG009608(gb|WP_011730341)
      4 VFG009718(gb|WP_011728563)
      1 VFG011666
      1 VFG011687(gb|WP_002867272)
      1 VFG011800(gb|WP_002869018)
      1 VFG011829(gb|WP_011731675)
      2 VFG011845(gb|WP_002850515)
      1 VFG011937(gb|WP_002849696)
      2 VFG011978(gb|WP_002851290)
      4 VFG012004(gb|WP_002869093)
      4 VFG012060(gb|WP_011732168)
      1 VFG012067(gb|WP_002853498)
