      6 VFG000079(gb|NP_463763)
      1 VFG000080(gb|NP_464522)
      5 VFG000182(gb|NP_251793)
      2 VFG000335(gb|WP_010869142)
      2 VFG000801(gb|WP_001273445)
      2 VFG000927(gb|WP_000096764)
      2 VFG000929(gb|WP_001375021)
      4 VFG000930(gb|WP_000077767)
      1 VFG000933(gb|WP_001007140)
      1 VFG000934(gb|WP_000348393)
      1 VFG001317(gb|WP_001041586)
      1 VFG001344(gb|WP_000612460)
      8 VFG001348(gb|WP_000659580)
      2 VFG001373(gb|WP_000758382)
      1 VFG001374(gb|WP_000077424)
      2 VFG001731(gb|WP_001223352)
      1 VFG001827(gb|WP_001020414)
      1 VFG001887(gb|WP_010947186)
      4 VFG002182(gb|WP_002376666)
      1 VFG002184(gb|WP_002359685)
      2 VFG004508(gb|WP_001109390)
      2 VFG005020(gb|WP_011274718)
     27 VFG005042(gb|WP_011274720)
      1 VFG005065
      1 VFG005232(gb|WP_002913975)
      6 VFG005353(gb|WP_000260656)
      5 VFG005359(gb|WP_002899102)
      3 VFG005360(gb|WP_002262489)
      4 VFG005392(gb|WP_011836622)
      2 VFG005486(gb|WP_000417180)
      2 VFG005649(gb|WP_001193721)
      1 VFG005898(gb|WP_002904719)
      4 VFG005992(gb|WP_000685095)
      1 VFG005997(gb|WP_002263084)
      3 VFG006041(gb|WP_011681286)
      2 VFG006061(gb|WP_041827077)
      2 VFG006088(gb|WP_041828290)
      3 VFG006720(gb|WP_011702434)
      1 VFG007373(gb|WP_011078343)
      1 VFG007394(gb|WP_000840982)
      1 VFG007457(gb|WP_026130674)
      2 VFG007489(gb|WP_011262361)
      1 VFG007552(gb|WP_005479477)
      2 VFG007656(gb|WP_011078838)
      1 VFG007657(gb|WP_043877045)
      6 VFG009718(gb|WP_011728563)
      1 VFG009720(gb|WP_011779686)
      1 VFG009849(gb|WP_011892634)
      1 VFG011933(gb|WP_011731940)
      2 VFG012095(gb|WP_003435012)
      4 VFG012096(gb|WP_011722916)
      3 VFG012099(gb|WP_011100542)
      1 VFG012101(gb|WP_010965990)
      5 VFG012102(gb|WP_011967678)
     18 VFG012103(gb|WP_003514589)
      1 VFG012105(gb|WP_011722031)
      6 VFG012865
      1 VFG013104(gb|WP_010945036)
      2 VFG013260(gb|WP_010868968)
      1 VFG013262
      4 VFG013368(gb|WP_005693225)
      1 VFG013407(gb|WP_005690709)
      8 VFG013434(gb|WP_010945082)
      1 VFG013530(gb|WP_010869249)
      1 VFG013580(gb|WP_012054533)
      2 VFG013775(gb|WP_003141354)
      1 VFG013899(gb|WP_003377212)
      1 VFG013900(gb|WP_003404551)
     14 VFG013907(gb|WP_004373763)
      4 VFG014129(gb|WP_003150889)
      1 VFG014135(gb|WP_025297832)
      1 VFG014137(gb|WP_003138472)
      1 VFG014361(gb|WP_011169094)
      2 VFG014386(gb|WP_011268444)
      2 VFG014439(gb|WP_011169091)
      1 VFG014848(gb|WP_005746022)
      1 VFG014854(gb|WP_011921099)
      3 VFG014956(gb|WP_049587369)
      2 VFG014961(gb|WP_003245464)
      1 VFG014987(gb|WP_003377590)
      4 VFG014992(gb|WP_011535570)
      1 VFG015077(gb|WP_041475601)
      1 VFG015434(gb|WP_011064253)
      2 VFG015495(gb|WP_049586082)
      4 VFG015498(gb|WP_012018669)
      1 VFG015677(gb|WP_012315528)
      1 VFG015805(gb|WP_012272402)
      2 VFG015806(gb|WP_012314365)
      3 VFG016387(gb|WP_000996578)
      1 VFG016394(gb|WP_000608671)
     27 VFG016483(gb|WP_010875022)
      7 VFG016484(gb|WP_009885583)
     49 VFG016485(gb|WP_011113468)
      6 VFG016489(gb|WP_011264744)
      7 VFG016490(gb|NP_975163)
     30 VFG016491(gb|WP_011076858)
      4 VFG016492(gb|WP_010925206)
     43 VFG016493(gb|WP_011283803)
     20 VFG016494(gb|WP_004024476)
      5 VFG016495(gb|WP_011166362)
      1 VFG016861(gb|WP_010882971)
      1 VFG017986(gb|WP_012006773)
      4 VFG018001(gb|WP_002866148)
      1 VFG018002(gb|WP_002866149)
      2 VFG018191(gb|NP_414828)
      1 VFG018203(gb|WP_000095070)
