      6 VFG000079(gb|NP_463763)
      2 VFG000477(gb|NP_461845)
      1 VFG000478(gb|NP_459678)
      5 VFG000871(gb|WP_000790574)
      1 VFG000875(gb|WP_000066579)
      3 VFG000876(gb|WP_000120946)
      4 VFG000903(gb|WP_001045652)
      4 VFG000905(gb|WP_001546261)
      2 VFG000906(gb|WP_001142375)
      2 VFG000907(gb|WP_000376545)
      2 VFG000912(gb|WP_001443207)
      2 VFG000913(gb|WP_000237770)
      2 VFG000914(gb|WP_000767894)
      2 VFG000915(gb|WP_001234179)
      2 VFG000921(gb|WP_000189356)
      4 VFG000923(gb|WP_001034892)
      2 VFG000924(gb|WP_001234311)
      4 VFG000929(gb|WP_001375021)
      2 VFG000930(gb|WP_000077767)
      4 VFG000932(gb|WP_000026784)
      3 VFG001269(gb|WP_010929996)
     18 VFG001348(gb|WP_000659580)
      1 VFG001374(gb|WP_000077424)
      3 VFG001444(gb|AAG10151)
      3 VFG001731(gb|WP_001223352)
      4 VFG002029(gb|WP_010874666)
      1 VFG002053(gb|WP_001250462)
      2 VFG002178(gb|AAM75254)
      3 VFG002180(gb|WP_002362627)
      1 VFG002181(gb|WP_002387127)
      5 VFG002182(gb|WP_002376666)
      7 VFG002184(gb|WP_002359685)
      1 VFG002185(gb|WP_002367100)
      6 VFG002376(gb|WP_005167723)
      4 VFG002965(gb|WP_011302064)
      3 VFG005188(gb|WP_002263095)
      1 VFG005324(gb|WP_082302295)
      5 VFG005352(gb|WP_002986042)
      2 VFG005353(gb|WP_000260656)
      3 VFG005359(gb|WP_002899102)
      3 VFG005360(gb|WP_002262489)
     77 VFG005365(gb|WP_000167699)
      2 VFG005382(gb|WP_011681303)
      2 VFG005388
      1 VFG005548(gb|WP_000107750)
      2 VFG005576(gb|WP_000022832)
      2 VFG005579(gb|WP_000022815)
      2 VFG005582(gb|WP_002897814)
      4 VFG005865(gb|WP_002262524)
      7 VFG005889(gb|WP_002261974)
      4 VFG005937(gb|WP_002261978)
      2 VFG005985(gb|WP_002263085)
      3 VFG005992(gb|WP_000685095)
      2 VFG005997(gb|WP_002263084)
      1 VFG005999(gb|WP_011226042)
      2 VFG006004(gb|WP_001819836)
      2 VFG006011(gb|WP_011681177)
      1 VFG006022(gb|WP_002947383)
      2 VFG006053(gb|WP_011226048)
      2 VFG006071(gb|WP_011681439)
      1 VFG006072(gb|WP_002902060)
      2 VFG006074(gb|WP_011226325)
      2 VFG006075(gb|WP_011681440)
      1 VFG006078(gb|WP_002948022)
      2 VFG006081(gb|WP_014621820)
      2 VFG006088(gb|WP_041828290)
      1 VFG006884(gb|WP_000591846)
      4 VFG007373(gb|WP_011078343)
      2 VFG007489(gb|WP_011262361)
      1 VFG007532(gb|WP_000290371)
      4 VFG007552(gb|WP_005479477)
      1 VFG007656(gb|WP_011078838)
      1 VFG007657(gb|WP_043877045)
      1 VFG007661(gb|WP_011261023)
      6 VFG007911(gb|WP_010908851)
      3 VFG008181(gb|WP_011780268)
      4 VFG008277(gb|WP_011777397)
      1 VFG008278(gb|WP_011854170)
      4 VFG009244(gb|WP_011893656)
      3 VFG009406(gb|WP_003895686)
      1 VFG009479(gb|WP_011781012)
      1 VFG009576(gb|WP_024637120)
      1 VFG009714(gb|WP_010949738)
     11 VFG009718(gb|WP_011728563)
      1 VFG009720(gb|WP_011779686)
      2 VFG009805(gb|WP_011892478)
      1 VFG009849(gb|WP_011892634)
      1 VFG009928(gb|WP_003894345)
      2 VFG009930(gb|WP_011779804)
      1 VFG010485(gb|WP_197535493)
      2 VFG011124
      2 VFG011169(gb|WP_012415800)
      1 VFG012095(gb|WP_003435012)
      4 VFG012096(gb|WP_011722916)
     10 VFG012097(gb|WP_003462314)
      1 VFG012099(gb|WP_011100542)
      2 VFG012100(gb|WP_003357641)
     14 VFG012101(gb|WP_010965990)
      8 VFG012102(gb|WP_011967678)
     40 VFG012103(gb|WP_003514589)
      2 VFG012302(gb|WP_000120951)
      2 VFG012459(gb|WP_000820423)
      2 VFG012460(gb|WP_000820396)
      1 VFG012474(gb|WP_000860473)
      2 VFG012501(gb|WP_000271272)
      3 VFG012505(gb|WP_000933673)
      1 VFG012906(gb|WP_000820139)
      2 VFG012990(gb|WP_000026810)
      2 VFG013014(gb|WP_001034921)
      5 VFG013260(gb|WP_010868968)
      1 VFG013287(gb|WP_005688951)
      1 VFG013372(gb|WP_010944658)
     12 VFG013434(gb|WP_010945082)
      2 VFG013464(gb|WP_011609611)
     60 VFG013734(gb|WP_011013698)
      1 VFG013774(gb|WP_033998207)
      1 VFG013775(gb|WP_003141354)
      1 VFG013780(gb|WP_011920938)
      1 VFG013901(gb|WP_004654396)
      9 VFG013907(gb|WP_004373763)
      1 VFG014195(gb|WP_011534931)
      2 VFG014366(gb|WP_003222863)
      1 VFG014383(gb|WP_012076712)
      1 VFG014386(gb|WP_011268444)
      1 VFG014439(gb|WP_011169091)
      1 VFG014589(gb|WP_011913685)
      1 VFG014844(gb|WP_012074763)
      1 VFG014851(gb|WP_011535591)
      4 VFG014854(gb|WP_011921099)
      1 VFG014984(gb|NP_253136)
      4 VFG014987(gb|WP_003377590)
      1 VFG014992(gb|WP_011535570)
      1 VFG014993(gb|WP_011059287)
      1 VFG014994(gb|WP_011332484)
      1 VFG015075(gb|WP_011532652)
      5 VFG015076(gb|WP_011062714)
      1 VFG015077(gb|WP_041475601)
      1 VFG015235(gb|WP_004666085)
      1 VFG015494(gb|WP_011167352)
     42 VFG015495(gb|WP_049586082)
      2 VFG015497(gb|WP_011064261)
      2 VFG015498(gb|WP_012018669)
      1 VFG015681(gb|WP_012315526)
      5 VFG015769(gb|WP_012312989)
      4 VFG015805(gb|WP_012272402)
      3 VFG015806(gb|WP_012314365)
      2 VFG016184(gb|WP_005762826)
      1 VFG016187(gb|WP_011168850)
      1 VFG016377(gb|WP_000286451)
      4 VFG016380(gb|WP_000609547)
     27 VFG016387(gb|WP_000996578)
      1 VFG016390(gb|WP_001109538)
      1 VFG016394(gb|WP_000608671)
      1 VFG016401(gb|WP_000122128)
      2 VFG016470(gb|WP_011290436)
      3 VFG016483(gb|WP_010875022)
      6 VFG016484(gb|WP_009885583)
     75 VFG016485(gb|WP_011113468)
      7 VFG016489(gb|WP_011264744)
     28 VFG016490(gb|NP_975163)
     17 VFG016491(gb|WP_011076858)
      7 VFG016492(gb|WP_010925206)
     18 VFG016493(gb|WP_011283803)
     28 VFG016494(gb|WP_004024476)
      6 VFG016495(gb|WP_011166362)
      1 VFG016866(gb|WP_011006421)
      1 VFG018001(gb|WP_002866148)
      1 VFG018203(gb|WP_000095070)
      2 VFG018207(gb|WP_000716404)
      2 VFG018221(gb|WP_001265646)
      9 VFG018652(gb|WP_006154814)
     17 VFG018662(gb|WP_012130507)
      4 VFG018666(gb|WP_012000428)
      4 VFG019077(gb|WP_000260685)
      5 VFG019116(gb|WP_000358336)
      4 VFG019132(gb|WP_012343546)
      1 VFG019134(gb|WP_012422966)
