     13 VFG000077(gb|NP_465991)
     14 VFG000079(gb|NP_463763)
      2 VFG000080(gb|NP_464522)
      2 VFG000331(gb|WP_005693548)
      1 VFG000332(gb|WP_005632797)
      2 VFG000477(gb|NP_461845)
      4 VFG000694(gb|AAP42187)
      2 VFG000929(gb|WP_001375021)
     11 VFG001269(gb|WP_010929996)
      5 VFG001348(gb|WP_000659580)
      2 VFG001359(gb|WP_000733059)
      5 VFG001374(gb|WP_000077424)
      2 VFG001376(gb|WP_000695335)
      2 VFG001444(gb|AAG10151)
      4 VFG001731(gb|WP_001223352)
      3 VFG001855(gb|WP_197535493)
      2 VFG001888(gb|WP_010947629)
      5 VFG001942(gb|YP_002344534)
      5 VFG001967(gb|YP_002344822)
      2 VFG002046(gb|WP_000135089)
      1 VFG002049(gb|WP_001173470)
      5 VFG002084(gb|WP_000619136)
      2 VFG002173(gb|WP_010785625)
      4 VFG002179(gb|AAD09858)
     11 VFG002182(gb|WP_002376666)
      1 VFG002277(gb|WP_011009663)
      4 VFG002279(gb|WP_003467250)
      6 VFG002281(gb|WP_003468301)
      2 VFG002284(gb|WP_011009886)
      3 VFG002965(gb|WP_011302064)
      2 VFG002966(gb|WP_011274717)
      1 VFG005020(gb|WP_011274718)
      6 VFG005065
      2 VFG005188(gb|WP_002263095)
      2 VFG005190(gb|WP_002952952)
      4 VFG005191(gb|WP_011681101)
      1 VFG005323(gb|WP_011225268)
     26 VFG005324(gb|WP_082302295)
      1 VFG005352(gb|WP_002986042)
     30 VFG005359(gb|WP_002899102)
      1 VFG005361(gb|WP_002352221)
      2 VFG005362(gb|WP_011836421)
      2 VFG005365(gb|WP_000167699)
      1 VFG005369(gb|WP_002262418)
      3 VFG005382(gb|WP_011681303)
      5 VFG005385(gb|WP_011836785)
      5 VFG005386
     25 VFG005388
      6 VFG005392(gb|WP_011836622)
      1 VFG005393(gb|WP_002352262)
      2 VFG005488(gb|WP_011836924)
      4 VFG005533(gb|WP_002262650)
      3 VFG005552(gb|WP_011837486)
      2 VFG005554(gb|WP_011225339)
      7 VFG005556(gb|WP_011680653)
      2 VFG005576(gb|WP_000022832)
      8 VFG005579(gb|WP_000022815)
      1 VFG005582(gb|WP_002897814)
      1 VFG005810(gb|WP_011836396)
      2 VFG005811(gb|WP_002262031)
      2 VFG005841(gb|WP_002262748)
      3 VFG005842(gb|WP_157822584)
     10 VFG005844(gb|WP_011681165)
      2 VFG005860(gb|WP_000567603)
      6 VFG005862(gb|WP_009659423)
      5 VFG005865(gb|WP_002262524)
      8 VFG005866(gb|WP_011227236)
      2 VFG005874(gb|WP_002986125)
      1 VFG005886(gb|WP_009443641)
      2 VFG005890(gb|WP_011227237)
      2 VFG005892(gb|WP_011681167)
      2 VFG005914(gb|WP_011227239)
      2 VFG005916(gb|WP_011681169)
      2 VFG005924(gb|YP_001200130)
      2 VFG005928(gb|WP_202964935)
     10 VFG005937(gb|WP_002261978)
      2 VFG005938(gb|WP_041827041)
     12 VFG005939(gb|WP_041828375)
      2 VFG005940(gb|WP_011681171)
      6 VFG005950(gb|WP_148148887)
     12 VFG005964(gb|WP_011681173)
      4 VFG005974(gb|WP_041827042)
      3 VFG005976(gb|WP_011681174)
