      1 VFG000077(gb|NP_465991)
     11 VFG000079(gb|NP_463763)
      1 VFG000080(gb|NP_464522)
      8 VFG001348(gb|WP_000659580)
      3 VFG001360(gb|WP_001042179)
      2 VFG001373(gb|WP_000758382)
      4 VFG001374(gb|WP_000077424)
      3 VFG001376(gb|WP_000695335)
      2 VFG001855(gb|WP_197535493)
      1 VFG001887(gb|WP_010947186)
      1 VFG001952(gb|YP_002344807)
     28 VFG001967(gb|YP_002344822)
      6 VFG002182(gb|WP_002376666)
      1 VFG002965(gb|WP_011302064)
      1 VFG002966(gb|WP_011274717)
      2 VFG005020(gb|WP_011274718)
      7 VFG005065
      2 VFG005232(gb|WP_002913975)
      2 VFG005324(gb|WP_082302295)
      8 VFG005352(gb|WP_002986042)
      4 VFG005353(gb|WP_000260656)
      7 VFG005359(gb|WP_002899102)
      3 VFG005360(gb|WP_002262489)
      4 VFG005384(gb|WP_011836784)
      1 VFG005393(gb|WP_002352262)
      2 VFG005485(gb|WP_000417171)
      1 VFG005579(gb|WP_000022815)
      2 VFG005580(gb|WP_000022813)
      1 VFG005582(gb|WP_002897814)
     10 VFG005898(gb|WP_002904719)
      2 VFG005910(gb|WP_011837182)
      1 VFG005920(gb|WP_000750328)
      1 VFG005952(gb|WP_011681172)
      3 VFG005964(gb|WP_011681173)
     29 VFG005992(gb|WP_000685095)
      2 VFG006031(gb|WP_011226045)
      2 VFG006065(gb|WP_011227428)
      2 VFG006075(gb|WP_011681440)
      1 VFG006080(gb|WP_002894051)
      5 VFG006081(gb|WP_014621820)
      5 VFG006083(gb|WP_011681443)
      1 VFG006085(gb|WP_011681444)
      1 VFG006087(gb|WP_011681445)
      1 VFG006089(gb|WP_011681446)
      2 VFG006720(gb|WP_011702434)
      2 VFG006884(gb|WP_000591846)
      1 VFG007333(gb|WP_011262374)
      1 VFG007373(gb|WP_011078343)
      6 VFG007457(gb|WP_026130674)
      2 VFG007489(gb|WP_011262361)
      1 VFG007528(gb|WP_005457770)
      4 VFG007552(gb|WP_005479477)
      2 VFG007656(gb|WP_011078838)
      1 VFG007660(gb|WP_011149274)
      1 VFG007661(gb|WP_011261023)
      1 VFG007665(gb|WP_001889848)
      1 VFG007911(gb|WP_010908851)
      1 VFG007914(gb|WP_011780329)
      1 VFG008277(gb|WP_011777397)
      1 VFG009361
      2 VFG009407(gb|WP_011893806)
      2 VFG009595(gb|WP_014878246)
      1 VFG009715(gb|WP_023861150)
      1 VFG009718(gb|WP_011728563)
      1 VFG009928(gb|WP_003894345)
      1 VFG010485(gb|WP_197535493)
      1 VFG010939(gb|WP_148265616)
      6 VFG011933(gb|WP_011731940)
      1 VFG011937(gb|WP_002849696)
      1 VFG012068(gb|WP_002850222)
      5 VFG012095(gb|WP_003435012)
     12 VFG012096(gb|WP_011722916)
      1 VFG012099(gb|WP_011100542)
      6 VFG012101(gb|WP_010965990)
     15 VFG012102(gb|WP_011967678)
     26 VFG012103(gb|WP_003514589)
      2 VFG012120(gb|WP_011590041)
      2 VFG013178(gb|WP_012341378)
      1 VFG013260(gb|WP_010868968)
      1 VFG013368(gb|WP_005693225)
     19 VFG013434(gb|WP_010945082)
      2 VFG013672(gb|WP_010934130)
      3 VFG013733(gb|WP_003854229)
      1 VFG013734(gb|WP_011013698)
      2 VFG013899(gb|WP_003377212)
      1 VFG013901(gb|WP_004654396)
      2 VFG014015(gb|WP_003282729)
      1 VFG014054(gb|WP_011914956)
      7 VFG014129(gb|WP_003150889)
      1 VFG014135(gb|WP_025297832)
      2 VFG014360(gb|WP_003316803)
      4 VFG014366(gb|WP_003222863)
      2 VFG014386(gb|WP_011268444)
      1 VFG014455(gb|WP_011534906)
      1 VFG014586(gb|WP_011059990)
      3 VFG014951(gb|WP_012077033)
      1 VFG014952(gb|WP_003140933)
      1 VFG014953(gb|WP_005764764)
      1 VFG014956(gb|WP_049587369)
      1 VFG014962(gb|WP_011912408)
      3 VFG014984(gb|NP_253136)
      1 VFG014985(gb|WP_012077206)
      4 VFG014987(gb|WP_003377590)
      2 VFG015076(gb|WP_011062714)
      1 VFG015077(gb|WP_041475601)
      1 VFG015383(gb|WP_011064245)
      3 VFG015494(gb|WP_011167352)
      1 VFG015752(gb|WP_012274108)
      1 VFG015753(gb|WP_012312809)
      1 VFG015782(gb|WP_012270935)
      1 VFG015806(gb|WP_012314365)
      1 VFG016119(gb|WP_011061772)
      1 VFG016186(gb|WP_005762824)
      1 VFG016381(gb|WP_033685340)
     18 VFG016387(gb|WP_000996578)
      3 VFG016391(gb|WP_000276545)
      1 VFG016401(gb|WP_000122128)
      4 VFG016470(gb|WP_011290436)
     10 VFG016483(gb|WP_010875022)
      9 VFG016484(gb|WP_009885583)
     62 VFG016485(gb|WP_011113468)
      3 VFG016489(gb|WP_011264744)
      6 VFG016490(gb|NP_975163)
     54 VFG016491(gb|WP_011076858)
     17 VFG016492(gb|WP_010925206)
     19 VFG016493(gb|WP_011283803)
     42 VFG016494(gb|WP_004024476)
      4 VFG016789(gb|WP_011179056)
      5 VFG016861(gb|WP_010882971)
      2 VFG018000(gb|WP_002877056)
      1 VFG018001(gb|WP_002866148)
      2 VFG018020(gb|WP_002877119)
      1 VFG018246(gb|WP_011261308)
     10 VFG018652(gb|WP_006154814)
     48 VFG018662(gb|WP_012130507)
      1 VFG018664(gb|WP_012000426)
      4 VFG018666(gb|WP_012000428)
      1 VFG019085(gb|WP_000472977)
      2 VFG019093(gb|WP_000022813)
      2 VFG019116(gb|WP_000358336)
      4 VFG019118(gb|WP_000861662)
      1 VFG019132(gb|WP_012343546)
      6 VFG019134(gb|WP_012422966)
      1 VFG019138(gb|WP_012342778)
      3 VFG019140(gb|WP_012423869)
      1 VFG019648(gb|WP_000480093)
      1 VFG019900(gb|WP_012722328)
      3 VFG020019(gb|WP_015886561)
      2 VFG021695(gb|WP_001186620)
      2 VFG021705(gb|WP_000466117)
      2 VFG022670(gb|WP_013831099)
      2 VFG022866(gb|WP_013829374)
      3 VFG023781(gb|WP_020283357)
      1 VFG023850(gb|WP_043955033)
      1 VFG023940(gb|WP_013470807)
      1 VFG024850(gb|WP_025987421)
      2 VFG025294(gb|WP_009896189)
      1 VFG026439(gb|WP_015307764)
      1 VFG027302(gb|WP_005057565)
