      1 VFG000077(gb|NP_465991)
     12 VFG000079(gb|NP_463763)
     41 VFG000080(gb|NP_464522)
      8 VFG000143(gb|NP_253699)
    101 VFG000477(gb|NP_461845)
     16 VFG000478(gb|NP_459678)
      5 VFG000615(gb|NP_709454)
      2 VFG000710(gb|AAC38364)
      1 VFG000796(gb|WP_001053840)
     27 VFG000801(gb|WP_001273445)
      7 VFG000802(gb|WP_000953255)
      7 VFG000807(gb|WP_001003065)
      3 VFG000808(gb|WP_001302249)
      2 VFG000810(gb|WP_001303723)
      2 VFG000815(gb|WP_000386949)
     11 VFG000816(gb|WP_001302733)
      4 VFG000820(gb|WP_000087467)
     26 VFG000923(gb|WP_001034892)
     10 VFG000924(gb|WP_001234311)
      2 VFG000925(gb|WP_000140634)
      4 VFG000926(gb|WP_001443194)
     92 VFG000927(gb|WP_000096764)
      8 VFG000928(gb|WP_000640938)
     12 VFG000930(gb|WP_000077767)
     27 VFG000932(gb|WP_000026784)
      2 VFG000933(gb|WP_001007140)
      1 VFG000934(gb|WP_000348393)
     16 VFG001269(gb|WP_010929996)
      1 VFG001348(gb|WP_000659580)
      1 VFG001355(gb|WP_000698569)
      2 VFG001364(gb|WP_001193686)
      3 VFG001373(gb|WP_000758382)
      4 VFG001374(gb|WP_000077424)
      6 VFG001375(gb|WP_000594468)
     15 VFG001443(gb|AAF37887)
     35 VFG001444(gb|AAG10151)
     55 VFG001445(gb|AAA92657)
      2 VFG001887(gb|WP_010947186)
      2 VFG001888(gb|WP_010947629)
     11 VFG001967(gb|YP_002344822)
      1 VFG001969(gb|YP_002344824)
      1 VFG002046(gb|WP_000135089)
     11 VFG002047(gb|WP_000498818)
     10 VFG002048(gb|WP_000249362)
     15 VFG002049(gb|WP_001173470)
      1 VFG002050(gb|WP_001087302)
      4 VFG002053(gb|WP_001250462)
     15 VFG002054(gb|WP_000633233)
      4 VFG002055(gb|WP_000097229)
     14 VFG002084(gb|WP_000619136)
      9 VFG002121(gb|WP_001025672)
      1 VFG002174(gb|WP_002369251)
     11 VFG002180(gb|WP_002362627)
     33 VFG002181(gb|WP_002387127)
      9 VFG002182(gb|WP_002376666)
      4 VFG002183(gb|WP_002387128)
     26 VFG002184(gb|WP_002359685)
      9 VFG002185(gb|WP_002367100)
     17 VFG002186(gb|WP_002387129)
     13 VFG002187(gb|WP_002370472)
      3 VFG002188(gb|WP_002362618)
      3 VFG002189(gb|WP_002359680)
      7 VFG002194(gb|WP_011109506)
     10 VFG002195(gb|WP_002399773)
      6 VFG002197(gb|WP_002387027)
      2 VFG002277(gb|WP_011009663)
      3 VFG002287(gb|WP_011860904)
      2 VFG002377(gb|WP_005167721)
      2 VFG002412(gb|WP_000716386)
    111 VFG002965(gb|WP_011302064)
      3 VFG002966(gb|WP_011274717)
      4 VFG004231(gb|WP_000967611)
      4 VFG005020(gb|WP_011274718)
      3 VFG005042(gb|WP_011274720)
      3 VFG005065
      1 VFG005186(gb|YP_001198858)
     28 VFG005188(gb|WP_002263095)
     33 VFG005191(gb|WP_011681101)
      2 VFG005322(gb|WP_011226733)
      6 VFG005323(gb|WP_011225268)
    101 VFG005324(gb|WP_082302295)
     16 VFG005325(gb|WP_011680595)
      2 VFG005329(gb|WP_000728289)
      2 VFG005347(gb|WP_002986042)
      3 VFG005352(gb|WP_002986042)
      1 VFG005356(gb|WP_000260666)
     21 VFG005359(gb|WP_002899102)
     49 VFG005360(gb|WP_002262489)
    165 VFG005361(gb|WP_002352221)
      2 VFG005362(gb|WP_011836421)
      1 VFG005364(gb|WP_000208378)
     12 VFG005368(gb|WP_002262850)
      2 VFG005370(gb|WP_002262719)
     24 VFG005371(gb|WP_002261926)
      1 VFG005378(gb|WP_011836996)
     11 VFG005379(gb|WP_002262230)
      4 VFG005381
     51 VFG005382(gb|WP_011681303)
     75 VFG005386
    135 VFG005388
     54 VFG005390(gb|WP_002352268)
     78 VFG005391(gb|WP_002352269)
      5 VFG005392(gb|WP_011836622)
     88 VFG005393(gb|WP_002352262)
      2 VFG005486(gb|WP_000417180)
      2 VFG005488(gb|WP_011836924)
      3 VFG005489(gb|WP_000473008)
      8 VFG005514(gb|WP_002262622)
      1 VFG005521(gb|WP_002981947)
     23 VFG005533(gb|WP_002262650)
      2 VFG005552(gb|WP_011837486)
     22 VFG005553(gb|WP_002263425)
      2 VFG005554(gb|WP_011225339)
     26 VFG005556(gb|WP_011680653)
      8 VFG005576(gb|WP_000022832)
      7 VFG005579(gb|WP_000022815)
     14 VFG005580(gb|WP_000022813)
     24 VFG005582(gb|WP_002897814)
      2 VFG005810(gb|WP_011836396)
     21 VFG005811(gb|WP_002262031)
      4 VFG005812(gb|WP_000858246)
      5 VFG005838(gb|WP_011836759)
     19 VFG005841(gb|WP_002262748)
     16 VFG005844(gb|WP_011681165)
      2 VFG005862(gb|WP_009659423)
     22 VFG005865(gb|WP_002262524)
      1 VFG005866(gb|WP_011227236)
      2 VFG005868(gb|WP_011681166)
     10 VFG005874(gb|WP_002986125)
     23 VFG005889(gb|WP_002261974)
      1 VFG005890(gb|WP_011227237)
      3 VFG005898(gb|WP_002904719)
     12 VFG005901(gb|WP_002261975)
     23 VFG005913(gb|WP_002261976)
      2 VFG005914(gb|WP_011227239)
      1 VFG005915(gb|WP_179970486)
     10 VFG005920(gb|WP_000750328)
      2 VFG005922(gb|WP_011837183)
     22 VFG005925(gb|WP_002261977)
     38 VFG005937(gb|WP_002261978)
      1 VFG005938(gb|WP_041827041)
     29 VFG005949(gb|WP_002261979)
      1 VFG005952(gb|WP_011681172)
      1 VFG005958(gb|WP_011837186)
     24 VFG005961(gb|WP_002261980)
     56 VFG005964(gb|WP_011681173)
     21 VFG005973(gb|WP_002263087)
      7 VFG005974(gb|WP_041827042)
     23 VFG005976(gb|WP_011681174)
      7 VFG005985(gb|WP_002263085)
      4 VFG005986(gb|WP_196767671)
      7 VFG005988(gb|WP_011681175)
      1 VFG005990(gb|WP_000659582)
     25 VFG005992(gb|WP_000685095)
     10 VFG005997(gb|WP_002263084)
      2 VFG005998(gb|WP_011227246)
      4 VFG005999(gb|WP_011226042)
     27 VFG006000(gb|WP_011681176)
     21 VFG006004(gb|WP_001819836)
      6 VFG006009(gb|WP_011227247)
     45 VFG006011(gb|WP_011681177)
      3 VFG006015(gb|WP_000676152)
     11 VFG006020(gb|WP_011227248)
