     47 VFG000079(gb|NP_463763)
      3 VFG000080(gb|NP_464522)
      9 VFG000182(gb|NP_251793)
      1 VFG000332(gb|WP_005632797)
      5 VFG001269(gb|WP_010929996)
      2 VFG001314(gb|WP_001225025)
      2 VFG001317(gb|WP_001041586)
      1 VFG001348(gb|WP_000659580)
      7 VFG001374(gb|WP_000077424)
      1 VFG001375(gb|WP_000594468)
      2 VFG001855(gb|WP_197535493)
      1 VFG001887(gb|WP_010947186)
      2 VFG001888(gb|WP_010947629)
      3 VFG001967(gb|YP_002344822)
      3 VFG001969(gb|YP_002344824)
      3 VFG002182(gb|WP_002376666)
      8 VFG002965(gb|WP_011302064)
      1 VFG002966(gb|WP_011274717)
      2 VFG004503
      4 VFG004611(gb|WP_001039406)
      2 VFG004720(gb|WP_001088785)
      2 VFG004733(gb|WP_011382230)
      2 VFG004769(gb|WP_000842040)
      2 VFG004779(gb|WP_000676575)
      4 VFG004834(gb|WP_000239604)
     15 VFG005042(gb|WP_011274720)
      1 VFG005186(gb|YP_001198858)
     11 VFG005347(gb|WP_002986042)
      6 VFG005352(gb|WP_002986042)
     12 VFG005353(gb|WP_000260656)
      8 VFG005360(gb|WP_002262489)
      2 VFG005580(gb|WP_000022813)
      3 VFG005582(gb|WP_002897814)
      1 VFG005874(gb|WP_002986125)
      2 VFG005924(gb|YP_001200130)
      9 VFG005940(gb|WP_011681171)
      6 VFG005952(gb|WP_011681172)
     12 VFG005992(gb|WP_000685095)
      4 VFG005997(gb|WP_002263084)
      1 VFG006010
     12 VFG006015(gb|WP_000676152)
      2 VFG006086(gb|WP_011226328)
      1 VFG006579(gb|WP_011578013)
      9 VFG006610(gb|WP_138091884)
      4 VFG006720(gb|WP_011702434)
      1 VFG006848(gb|WP_003721812)
      2 VFG007394(gb|WP_000840982)
      2 VFG007457(gb|WP_026130674)
      1 VFG007552(gb|WP_005479477)
      1 VFG007640(gb|WP_043877039)
      5 VFG007642(gb|WP_011149334)
      3 VFG007659(gb|WP_011261022)
      2 VFG007793(gb|WP_014000413)
      1 VFG007910
      7 VFG008277(gb|WP_011777397)
      1 VFG009045(gb|WP_015304571)
      3 VFG009119(gb|WP_015307141)
      3 VFG009230(gb|WP_041307902)
      5 VFG009303(gb|WP_011782503)
      3 VFG009479(gb|WP_011781012)
      1 VFG009547(gb|WP_029104139)
      7 VFG009718(gb|WP_011728563)
      6 VFG009720(gb|WP_011779686)
      1 VFG009818(gb|WP_014878477)
      1 VFG009820(gb|WP_036377494)
      1 VFG009835(gb|WP_011782153)
      1 VFG009931(gb|WP_011855501)
      2 VFG010758(gb|WP_025520099)
      1 VFG011124
      1 VFG011139(gb|WP_012415794)
      1 VFG011933(gb|WP_011731940)
      7 VFG012095(gb|WP_003435012)
     28 VFG012096(gb|WP_011722916)
      1 VFG012097(gb|WP_003462314)
      6 VFG012099(gb|WP_011100542)
     10 VFG012101(gb|WP_010965990)
     11 VFG012102(gb|WP_011967678)
    126 VFG012103(gb|WP_003514589)
      1 VFG012105(gb|WP_011722031)
      1 VFG013154(gb|WP_012340419)
      1 VFG013260(gb|WP_010868968)
      1 VFG013331(gb|WP_010945346)
      1 VFG013335
      9 VFG013434(gb|WP_010945082)
      1 VFG013668(gb|WP_010935503)
      3 VFG013682(gb|WP_010935678)
      1 VFG013732(gb|WP_006769637)
      2 VFG013734(gb|WP_011013698)
      1 VFG013818(gb|WP_011335996)
      1 VFG013899(gb|WP_003377212)
      1 VFG013900(gb|WP_003404551)
     13 VFG013907(gb|WP_004373763)
      1 VFG013908(gb|WP_011914970)
      1 VFG013985(gb|WP_012077306)
      2 VFG014061(gb|WP_012074001)
      2 VFG014129(gb|WP_003150889)
      3 VFG014135(gb|WP_025297832)
      2 VFG014357(gb|WP_003152329)
      2 VFG014360(gb|WP_003316803)
      2 VFG014361(gb|WP_011169094)
      3 VFG014364(gb|WP_011534913)
      1 VFG014366(gb|WP_003222863)
      4 VFG014368(gb|WP_014597048)
      2 VFG014383(gb|WP_012076712)
      2 VFG014386(gb|WP_011268444)
      3 VFG014439(gb|WP_011169091)
      3 VFG014440(gb|WP_010955089)
      1 VFG014455(gb|WP_011534906)
      1 VFG014543(gb|WP_004664470)
      2 VFG014550(gb|WP_041755569)
      1 VFG014780(gb|WP_011332558)
      3 VFG014849(gb|WP_010952409)
      8 VFG014851(gb|WP_011535591)
      3 VFG014852(gb|WP_011059369)
      2 VFG014854(gb|WP_011921099)
      2 VFG014952(gb|WP_003140933)
      1 VFG014953(gb|WP_005764764)
      3 VFG014956(gb|WP_049587369)
      2 VFG014958(gb|WP_011535351)
      5 VFG014961(gb|WP_003245464)
      2 VFG014984(gb|NP_253136)
      2 VFG014987(gb|WP_003377590)
      2 VFG014989(gb|WP_004656566)
      1 VFG014994(gb|WP_011332484)
      1 VFG014995(gb|WP_011921011)
      1 VFG014996(gb|WP_011912236)
      4 VFG015068(gb|WP_003156446)
     10 VFG015071(gb|WP_011268595)
      2 VFG015072(gb|WP_011169248)
