      2 VFG000077(gb|NP_465991)
     46 VFG000079(gb|NP_463763)
      3 VFG000080(gb|NP_464522)
      1 VFG000180(gb|NP_251791)
      1 VFG000321(gb|WP_000659810)
     11 VFG001269(gb|WP_010929996)
     12 VFG001348(gb|WP_000659580)
      2 VFG001360(gb|WP_001042179)
      1 VFG001373(gb|WP_000758382)
     10 VFG001374(gb|WP_000077424)
      2 VFG001376(gb|WP_000695335)
      3 VFG001969(gb|YP_002344824)
      1 VFG002377(gb|WP_005167721)
      4 VFG002966(gb|WP_011274717)
      5 VFG003525(gb|WP_005173762)
      2 VFG005042(gb|WP_011274720)
      2 VFG005065
      2 VFG005186(gb|YP_001198858)
      1 VFG005275(gb|WP_148180005)
      3 VFG005352(gb|WP_002986042)
      6 VFG005353(gb|WP_000260656)
      9 VFG005359(gb|WP_002899102)
     16 VFG005360(gb|WP_002262489)
      2 VFG005385(gb|WP_011836785)
      4 VFG005485(gb|WP_000417171)
      3 VFG005582(gb|WP_002897814)
      2 VFG005862(gb|WP_009659423)
      2 VFG005898(gb|WP_002904719)
      1 VFG005940(gb|WP_011681171)
      5 VFG005952(gb|WP_011681172)
      2 VFG005964(gb|WP_011681173)
     43 VFG005992(gb|WP_000685095)
      3 VFG005997(gb|WP_002263084)
      2 VFG006004(gb|WP_001819836)
      2 VFG006015(gb|WP_000676152)
      2 VFG006476(gb|WP_011115250)
      4 VFG006496(gb|WP_011115254)
      1 VFG006655(gb|WP_011115026)
      5 VFG006720(gb|WP_011702434)
      1 VFG006884(gb|WP_000591846)
      1 VFG006902(gb|WP_000957200)
      8 VFG007373(gb|WP_011078343)
      1 VFG007456(gb|WP_005457757)
     10 VFG007457(gb|WP_026130674)
      1 VFG007458(gb|WP_043877279)
      3 VFG007484(gb|WP_000079330)
      5 VFG007489(gb|WP_011262361)
      1 VFG007499(gb|WP_011079830)
     17 VFG007552(gb|WP_005479477)
      7 VFG007642(gb|WP_011149334)
      1 VFG007647(gb|WP_000236728)
      1 VFG007655(gb|WP_011261053)
      4 VFG007656(gb|WP_011078838)
      7 VFG007657(gb|WP_043877045)
      9 VFG007658(gb|WP_011149273)
      1 VFG007661(gb|WP_011261023)
      3 VFG007793(gb|WP_014000413)
      3 VFG007911(gb|WP_010908851)
      2 VFG007914(gb|WP_011780329)
      1 VFG008277(gb|WP_011777397)
      1 VFG009230(gb|WP_041307902)
      1 VFG009676(gb|WP_003876555)
      4 VFG009718(gb|WP_011728563)
      2 VFG009720(gb|WP_011779686)
      1 VFG009805(gb|WP_011892478)
      4 VFG009818(gb|WP_014878477)
      1 VFG009849(gb|WP_011892634)
      1 VFG009859(gb|WP_003872811)
      1 VFG009865(gb|WP_041307013)
      1 VFG009928(gb|WP_003894345)
      1 VFG010485(gb|WP_197535493)
      1 VFG011028(gb|WP_010928433)
      1 VFG011124
      1 VFG011260(gb|WP_012417352)
      9 VFG011933(gb|WP_011731940)
     12 VFG012095(gb|WP_003435012)
     38 VFG012096(gb|WP_011722916)
      2 VFG012097(gb|WP_003462314)
      2 VFG012099(gb|WP_011100542)
      2 VFG012100(gb|WP_003357641)
     24 VFG012101(gb|WP_010965990)
     12 VFG012102(gb|WP_011967678)
    163 VFG012103(gb|WP_003514589)
      2 VFG012113(gb|WP_003520265)
      2 VFG013155(gb|WP_012341780)
      8 VFG013260(gb|WP_010868968)
      2 VFG013287(gb|WP_005688951)
      1 VFG013291(gb|WP_011608942)
     61 VFG013434(gb|WP_010945082)
      1 VFG013464(gb|WP_011609611)
      2 VFG013530(gb|WP_010869249)
      2 VFG013532(gb|WP_012054417)
      2 VFG013534(gb|WP_010944436)
      1 VFG013676(gb|WP_010934133)
      1 VFG013732(gb|WP_006769637)
      1 VFG013733(gb|WP_003854229)
      1 VFG013734(gb|WP_011013698)
      1 VFG013980(gb|WP_041774140)
      1 VFG014135(gb|WP_025297832)
      2 VFG014357(gb|WP_003152329)
      3 VFG014359(gb|WP_003382141)
      3 VFG014360(gb|WP_003316803)
      1 VFG014361(gb|WP_011169094)
      1 VFG014366(gb|WP_003222863)
      1 VFG014385(gb|WP_011103783)
      6 VFG014439(gb|WP_011169091)
      3 VFG014456(gb|WP_011059977)
      1 VFG014549(gb|WP_003243214)
      1 VFG014628(gb|WP_011913681)
      3 VFG014844(gb|WP_012074763)
      3 VFG014851(gb|WP_011535591)
      1 VFG014852(gb|WP_011059369)
      1 VFG014892(gb|WP_011912351)
      1 VFG014905(gb|WP_196240458)
      3 VFG014953(gb|WP_005764764)
      3 VFG014956(gb|WP_049587369)
      1 VFG014958(gb|WP_011535351)
      4 VFG014961(gb|WP_003245464)
      1 VFG014987(gb|WP_003377590)
      3 VFG014996(gb|WP_011912236)
      1 VFG015068(gb|WP_003156446)
      1 VFG015074(gb|WP_012053464)
      7 VFG015077(gb|WP_041475601)
      1 VFG015078(gb|WP_012018243)
      3 VFG015369(gb|WP_011064243)
     11 VFG015494(gb|WP_011167352)
      2 VFG015495(gb|WP_049586082)
      1 VFG015496(gb|WP_012052412)
      1 VFG015497(gb|WP_011064261)
      2 VFG015498(gb|WP_012018669)
      1 VFG015677(gb|WP_012315528)
      4 VFG015753(gb|WP_012312809)
      1 VFG015783(gb|WP_012313127)
      1 VFG015784
      2 VFG015805(gb|WP_012272402)
      3 VFG015806(gb|WP_012314365)
      1 VFG015822(gb|WP_190273339)
      1 VFG016025(gb|WP_005753277)
      1 VFG016057(gb|WP_012019057)
      1 VFG016106(gb|WP_012074240)
      3 VFG016166(gb|WP_003372869)
      1 VFG016184(gb|WP_005762826)
      2 VFG016381(gb|WP_033685340)
     40 VFG016387(gb|WP_000996578)
     10 VFG016391(gb|WP_000276545)
      2 VFG016450(gb|WP_011076982)
      3 VFG016470(gb|WP_011290436)
     34 VFG016483(gb|WP_010875022)
     30 VFG016484(gb|WP_009885583)
    180 VFG016485(gb|WP_011113468)
     13 VFG016489(gb|WP_011264744)
     52 VFG016490(gb|NP_975163)
     42 VFG016491(gb|WP_011076858)
     33 VFG016492(gb|WP_010925206)
     18 VFG016493(gb|WP_011283803)
    113 VFG016494(gb|WP_004024476)
      3 VFG016495(gb|WP_011166362)
      1 VFG016598(gb|WP_011113852)
      1 VFG016860(gb|WP_010230254)
      5 VFG016861(gb|WP_010882971)
      1 VFG016866(gb|WP_011006421)
      3 VFG016966(gb|WP_011006008)
      9 VFG017987(gb|WP_012006774)
      3 VFG018001(gb|WP_002866148)
      2 VFG018649(gb|WP_012000310)
      4 VFG018651(gb|WP_012130562)
     34 VFG018652(gb|WP_006154814)
      8 VFG018653(gb|WP_011999747)
      5 VFG018654(gb|WP_011999748)
      2 VFG018655(gb|WP_012000309)
      2 VFG018661(gb|WP_011999924)
     71 VFG018662(gb|WP_012130507)
      2 VFG018664(gb|WP_012000426)
      2 VFG018670(gb|WP_012000440)
      3 VFG018674(gb|WP_008809635)
      3 VFG018675(gb|WP_041789920)
      1 VFG019077(gb|WP_000260685)
      4 VFG019132(gb|WP_012343546)
     16 VFG019134(gb|WP_012422966)
      1 VFG019520(gb|WP_000724308)
      1 VFG019582(gb|WP_001262896)
      3 VFG019760(gb|WP_012722471)
      1 VFG019908(gb|WP_015886531)
      2 VFG019942(gb|WP_012724914)
      1 VFG020019(gb|WP_015886561)
      4 VFG022631(gb|WP_013830506)
      1 VFG022786(gb|WP_013828471)
      1 VFG022860(gb|YP_001703741)
     18 VFG022866(gb|WP_013829374)
      1 VFG022910(gb|WP_013830539)
      1 VFG022927(gb|YP_001701701)
      3 VFG022933(gb|WP_013827764)
      2 VFG022965(gb|YP_001703609)
      1 VFG023546(gb|YP_001703132)
      2 VFG023850(gb|WP_043955033)
      2 VFG024128(gb|WP_026071295)
      3 VFG024130(gb|WP_026071295)
      1 VFG024680(gb|WP_085978051)
      1 VFG024838(gb|WP_041489152)
     15 VFG025294(gb|WP_009896189)
      1 VFG026964(gb|WP_015290883)
      2 VFG026967(gb|WP_071997904)
      2 VFG026971(gb|YP_007962576)
      1 VFG026984(gb|WP_003878615)
      1 VFG026985(gb|WP_051073897)
      1 VFG027180(gb|WP_198345124)
      1 VFG027322(gb|WP_015306641)
      1 VFG029506(gb|WP_011891286)
      1 VFG030400(gb|WP_081465621)
      2 VFG030673(gb|WP_010908121)
      1 VFG030675(gb|WP_003875535)
      1 VFG030676(gb|WP_011724098)
      6 VFG030679(gb|WP_011730288)
      7 VFG030692(gb|WP_013828150)
      3 VFG030694(gb|WP_013471930)
     19 VFG030724(gb|WP_015308640)
      1 VFG030989(gb|WP_011892407)
      4 VFG031037(gb|WP_010908991)
      7 VFG031039(gb|WP_011726364)
      1 VFG031048(gb|WP_011777508)
      1 VFG031056(gb|WP_193374435)
      4 VFG031084(gb|WP_041312930)
      3 VFG031352(gb|WP_010949941)
     10 VFG031364(gb|WP_081465670)
      1 VFG031366(gb|WP_014383193)
      1 VFG031400(gb|WP_085979799)
      2 VFG031642(gb|WP_015305063)
      1 VFG031677(gb|WP_014876913)
      2 VFG031732(gb|WP_011558087)
      1 VFG031736(gb|WP_011778105)
      1 VFG032961(gb|WP_003723735)
     14 VFG036295(gb|WP_003710978)
     20 VFG037008(gb|WP_013448560)
      1 VFG037041(gb|WP_014581728)
      1 VFG037898(gb|YP_001083149)
      1 VFG037934(gb|WP_000977704)
      1 VFG037938(gb|WP_000104825)
      1 VFG037943(gb|YP_001083152)
      2 VFG037993(gb|WP_000471755)
      4 VFG037998(gb|WP_000612008)
      1 VFG038279(gb|WP_005338295)
      1 VFG038395(gb|WP_011705721)
      2 VFG038396(gb|WP_005310704)
      1 VFG038468(gb|WP_016351972)
     10 VFG038633(gb|WP_005334749)
     15 VFG038681(gb|WP_005334720)
      1 VFG038686(gb|WP_011705286)
      3 VFG038687(gb|WP_016350057)
      5 VFG038698(gb|WP_010634617)
      2 VFG038731(gb|WP_016350347)
      1 VFG038756(gb|WP_011706626)
      1 VFG038818(gb|WP_005334174)
      1 VFG038845(gb|WP_016351249)
      3 VFG038916(gb|WP_011705263)
      2 VFG038918(gb|WP_164927583)
      2 VFG039836(gb|WP_011477919)
      2 VFG040878(gb|NP_249377)
      1 VFG040920(gb|WP_004533498)
      1 VFG040971(gb|WP_008807384)
      1 VFG040976(gb|WP_011003001)
      3 VFG040985(gb|WP_004083688)
      9 VFG041020(gb|NP_250353)
      1 VFG041031(gb|NP_251049)
      3 VFG041043(gb|NP_251061)
      5 VFG041152(gb|WP_006484392)
      2 VFG041472(gb|WP_004155873)
      9 VFG041785(gb|WP_011176697)
      5 VFG041786(gb|WP_011176695)
      3 VFG041796(gb|WP_014524683)
      2 VFG041855(gb|WP_011136170)
      1 VFG041863(gb|WP_011136154)
      1 VFG041993(gb|WP_011004167)
