      3 VFG000077(gb|NP_465991)
     40 VFG000079(gb|NP_463763)
      2 VFG000080(gb|NP_464522)
      1 VFG000141(gb|NP_253675)
      4 VFG000142(gb|NP_253698)
      2 VFG000143(gb|NP_253699)
      1 VFG000335(gb|WP_010869142)
     39 VFG000477(gb|NP_461845)
     17 VFG000478(gb|NP_459678)
      2 VFG000927(gb|WP_000096764)
      2 VFG000930(gb|WP_000077767)
      1 VFG000931(gb|WP_001336900)
      2 VFG000933(gb|WP_001007140)
      1 VFG001248(gb|NP_249788)
      5 VFG001269(gb|WP_010929996)
     25 VFG001348(gb|WP_000659580)
     79 VFG001373(gb|WP_000758382)
      5 VFG001374(gb|WP_000077424)
      2 VFG001376(gb|WP_000695335)
      3 VFG001443(gb|AAF37887)
      2 VFG001444(gb|AAG10151)
      2 VFG001952(gb|YP_002344807)
      2 VFG001967(gb|YP_002344822)
      1 VFG002049(gb|WP_001173470)
      6 VFG002182(gb|WP_002376666)
      1 VFG002480(gb|WP_011205629)
      1 VFG002901(gb|WP_002209736)
      4 VFG002965(gb|WP_011302064)
     11 VFG002966(gb|WP_011274717)
      2 VFG003418(gb|WP_011192179)
      3 VFG003500(gb|WP_005168666)
      2 VFG004384(gb|WP_001186617)
      8 VFG005020(gb|WP_011274718)
     12 VFG005065
      4 VFG005191(gb|WP_011681101)
     10 VFG005324(gb|WP_082302295)
      6 VFG005325(gb|WP_011680595)
      1 VFG005346(gb|WP_002986042)
      4 VFG005347(gb|WP_002986042)
      3 VFG005352(gb|WP_002986042)
      5 VFG005353(gb|WP_000260656)
     12 VFG005359(gb|WP_002899102)
     22 VFG005360(gb|WP_002262489)
      4 VFG005382(gb|WP_011681303)
      9 VFG005386
     10 VFG005388
      1 VFG005392(gb|WP_011836622)
      1 VFG005862(gb|WP_009659423)
      3 VFG005874(gb|WP_002986125)
     12 VFG005940(gb|WP_011681171)
      5 VFG005952(gb|WP_011681172)
      7 VFG005964(gb|WP_011681173)
      2 VFG005976(gb|WP_011681174)
      4 VFG005988(gb|WP_011681175)
      8 VFG005992(gb|WP_000685095)
      1 VFG005997(gb|WP_002263084)
      1 VFG006004(gb|WP_001819836)
      6 VFG006011(gb|WP_011681177)
      6 VFG006020(gb|WP_011227248)
      7 VFG006022(gb|WP_002947383)
      1 VFG006027(gb|WP_002916998)
      8 VFG006031(gb|WP_011226045)
      6 VFG006040(gb|WP_011226046)
      1 VFG006048(gb|WP_011681434)
      4 VFG006053(gb|WP_011226048)
      4 VFG006054(gb|WP_041827753)
     11 VFG006057(gb|WP_011227426)
      6 VFG006058(gb|WP_011226049)
      6 VFG006059(gb|WP_011681436)
      6 VFG006061(gb|WP_041827077)
      7 VFG006063(gb|WP_011681437)
      5 VFG006065(gb|WP_011227428)
      1 VFG006067(gb|WP_011681438)
      8 VFG006071(gb|WP_011681439)
      2 VFG006072(gb|WP_002902060)
     10 VFG006074(gb|WP_011226325)
      6 VFG006075(gb|WP_011681440)
      1 VFG006077(gb|WP_011227431)
     13 VFG006079(gb|WP_011681442)
     15 VFG006081(gb|WP_014621820)
      1 VFG006083(gb|WP_011681443)
      3 VFG006085(gb|WP_011681444)
      8 VFG006086(gb|WP_011226328)
      5 VFG006087(gb|WP_011681445)
      2 VFG006089(gb|WP_011681446)
      1 VFG006674(gb|WP_011577083)
     11 VFG006720(gb|WP_011702434)
      2 VFG006797(gb|WP_011702610)
      1 VFG007496(gb|WP_001190986)
      1 VFG007639(gb|WP_043920918)
      4 VFG007656(gb|WP_011078838)
      8 VFG007657(gb|WP_043877045)
      1 VFG007658(gb|WP_011149273)
      1 VFG007910
      2 VFG008277(gb|WP_011777397)
      3 VFG009267(gb|WP_011891109)
      1 VFG009314(gb|WP_010907615)
      1 VFG009373(gb|WP_011725707)
      1 VFG009477(gb|WP_011729885)
      2 VFG009609(gb|WP_011893045)
      1 VFG009667(gb|WP_011780414)
      2 VFG009715(gb|WP_023861150)
      1 VFG009717(gb|WP_011741135)
      9 VFG009718(gb|WP_011728563)
      1 VFG009720(gb|WP_011779686)
      1 VFG009818(gb|WP_014878477)
      2 VFG009928(gb|WP_003894345)
      1 VFG011303(gb|WP_010926561)
      2 VFG011813(gb|WP_002850283)
     71 VFG012095(gb|WP_003435012)
     17 VFG012096(gb|WP_011722916)
      2 VFG012097(gb|WP_003462314)
     16 VFG012099(gb|WP_011100542)
     13 VFG012101(gb|WP_010965990)
     16 VFG012102(gb|WP_011967678)
     70 VFG012103(gb|WP_003514589)
      6 VFG012104(gb|WP_011861612)
      1 VFG012105(gb|WP_011722031)
      2 VFG012970(gb|WP_000933674)
      5 VFG012985(gb|WP_000026832)
      4 VFG013001(gb|WP_000077777)
      4 VFG013009(gb|WP_001034900)
      2 VFG013026(gb|WP_000140653)
      1 VFG013033(gb|WP_000640995)
      1 VFG013091(gb|WP_012055486)
      1 VFG013154(gb|WP_012340419)
      1 VFG013170(gb|WP_012341458)
      4 VFG013260(gb|WP_010868968)
      2 VFG013288(gb|WP_011961728)
      2 VFG013368(gb|WP_005693225)
      1 VFG013369(gb|WP_011272256)
      1 VFG013372(gb|WP_010944658)
      3 VFG013373(gb|WP_011608862)
      2 VFG013402(gb|WP_011272387)
      1 VFG013417(gb|WP_011608520)
      1 VFG013469(gb|WP_010944797)
      1 VFG013482(gb|WP_164927871)
      2 VFG013614(gb|WP_005693475)
     14 VFG013733(gb|WP_003854229)
      3 VFG013901(gb|WP_004654396)
      1 VFG013906(gb|WP_007953348)
      6 VFG014135(gb|WP_025297832)
      3 VFG014360(gb|WP_003316803)
      3 VFG014364(gb|WP_011534913)
     12 VFG014387(gb|WP_004664453)
      3 VFG014394(gb|WP_041755564)
      2 VFG014598(gb|WP_011534892)
      2 VFG014849(gb|WP_010952409)
      4 VFG014854(gb|WP_011921099)
      1 VFG014855
      1 VFG014951(gb|WP_012077033)
      2 VFG014984(gb|NP_253136)
      5 VFG014985(gb|WP_012077206)
      2 VFG014987(gb|WP_003377590)
      7 VFG014992(gb|WP_011535570)
      3 VFG014993(gb|WP_011059287)
      4 VFG014996(gb|WP_011912236)
      1 VFG015005(gb|WP_011169295)
      1 VFG015070(gb|WP_011103673)
      1 VFG015076(gb|WP_011062714)
      4 VFG015077(gb|WP_041475601)
