      4 VFG000077(gb|NP_465991)
     71 VFG000079(gb|NP_463763)
     16 VFG000080(gb|NP_464522)
      1 VFG000424(gb|WP_000431675)
      2 VFG000425(gb|WP_000467404)
      4 VFG000427(gb|WP_000720235)
      2 VFG000430(gb|WP_000127915)
      4 VFG000477(gb|NP_461845)
      2 VFG000871(gb|WP_000790574)
      4 VFG000876(gb|WP_000120946)
      4 VFG000903(gb|WP_001045652)
      2 VFG000906(gb|WP_001142375)
      1 VFG000909(gb|WP_000768217)
      2 VFG000910(gb|WP_000703304)
      2 VFG000911(gb|WP_000975445)
      4 VFG000913(gb|WP_000237770)
      2 VFG000914(gb|WP_000767894)
      4 VFG000915(gb|WP_001234179)
      4 VFG000924(gb|WP_001234311)
      2 VFG000925(gb|WP_000140634)
      6 VFG000927(gb|WP_000096764)
      4 VFG000928(gb|WP_000640938)
      1 VFG000929(gb|WP_001375021)
      5 VFG000930(gb|WP_000077767)
      4 VFG000931(gb|WP_001336900)
      7 VFG000932(gb|WP_000026784)
      3 VFG000933(gb|WP_001007140)
      2 VFG000934(gb|WP_000348393)
      1 VFG001248(gb|NP_249788)
     13 VFG001269(gb|WP_010929996)
     10 VFG001373(gb|WP_000758382)
      7 VFG001374(gb|WP_000077424)
      6 VFG001375(gb|WP_000594468)
     25 VFG001376(gb|WP_000695335)
      4 VFG001443(gb|AAF37887)
      8 VFG001444(gb|AAG10151)
      8 VFG001967(gb|YP_002344822)
      4 VFG001969(gb|YP_002344824)
      2 VFG002046(gb|WP_000135089)
      1 VFG002047(gb|WP_000498818)
      1 VFG002049(gb|WP_001173470)
      2 VFG002050(gb|WP_001087302)
      2 VFG002054(gb|WP_000633233)
      2 VFG002056
      2 VFG002182(gb|WP_002376666)
      2 VFG002189(gb|WP_002359680)
      1 VFG002280(gb|WP_011010361)
      5 VFG002365(gb|WP_005167740)
     12 VFG002966(gb|WP_011274717)
     81 VFG005020(gb|WP_011274718)
      8 VFG005191(gb|WP_011681101)
      6 VFG005324(gb|WP_082302295)
      2 VFG005325(gb|WP_011680595)
      2 VFG005346(gb|WP_002986042)
      1 VFG005352(gb|WP_002986042)
      1 VFG005353(gb|WP_000260656)
     15 VFG005359(gb|WP_002899102)
      5 VFG005360(gb|WP_002262489)
      1 VFG005384(gb|WP_011836784)
      2 VFG005386
      6 VFG005388
      4 VFG005392(gb|WP_011836622)
      3 VFG005547(gb|WP_000107749)
      6 VFG005556(gb|WP_011680653)
      3 VFG005582(gb|WP_002897814)
      1 VFG005862(gb|WP_009659423)
      1 VFG005874(gb|WP_002986125)
      3 VFG005898(gb|WP_002904719)
      1 VFG005916(gb|WP_011681169)
      1 VFG005924(gb|YP_001200130)
      6 VFG005940(gb|WP_011681171)
      3 VFG005952(gb|WP_011681172)
      1 VFG005957(gb|WP_001193768)
      3 VFG005964(gb|WP_011681173)
      2 VFG005988(gb|WP_011681175)
     19 VFG005992(gb|WP_000685095)
     20 VFG005997(gb|WP_002263084)
      3 VFG005999(gb|WP_011226042)
      2 VFG006000(gb|WP_011681176)
      4 VFG006004(gb|WP_001819836)
      1 VFG006006(gb|WP_002917001)
      1 VFG006010
      1 VFG006015(gb|WP_000676152)
      1 VFG006017(gb|WP_002916999)
      8 VFG006022(gb|WP_002947383)
      2 VFG006031(gb|WP_011226045)
      1 VFG006041(gb|WP_011681286)
      3 VFG006047(gb|WP_011226047)
      2 VFG006057(gb|WP_011227426)
      2 VFG006058(gb|WP_011226049)
      2 VFG006062(gb|WP_002947383)
      2 VFG006065(gb|WP_011227428)
      2 VFG006071(gb|WP_011681439)
      2 VFG006072(gb|WP_002902060)
     10 VFG006074(gb|WP_011226325)
      2 VFG006075(gb|WP_011681440)
      1 VFG006079(gb|WP_011681442)
