      2 VFG000077(gb|NP_465991)
     22 VFG000079(gb|NP_463763)
      1 VFG000080(gb|NP_464522)
      3 VFG000321(gb|WP_000659810)
      2 VFG000331(gb|WP_005693548)
      2 VFG001248(gb|NP_249788)
      3 VFG001269(gb|WP_010929996)
      4 VFG001348(gb|WP_000659580)
      2 VFG001374(gb|WP_000077424)
      2 VFG001375(gb|WP_000594468)
      3 VFG001376(gb|WP_000695335)
      2 VFG001855(gb|WP_197535493)
      1 VFG001887(gb|WP_010947186)
      1 VFG001945(gb|YP_002344537)
      6 VFG001967(gb|YP_002344822)
      1 VFG001969(gb|YP_002344824)
      4 VFG002182(gb|WP_002376666)
      1 VFG002965(gb|WP_011302064)
      1 VFG005020(gb|WP_011274718)
      1 VFG005042(gb|WP_011274720)
      3 VFG005065
      4 VFG005191(gb|WP_011681101)
      1 VFG005253(gb|WP_011285200)
      3 VFG005324(gb|WP_082302295)
      5 VFG005347(gb|WP_002986042)
     10 VFG005352(gb|WP_002986042)
      6 VFG005353(gb|WP_000260656)
      5 VFG005360(gb|WP_002262489)
      2 VFG005361(gb|WP_002352221)
      1 VFG005378(gb|WP_011836996)
      2 VFG005384(gb|WP_011836784)
      1 VFG005393(gb|WP_002352262)
      2 VFG005576(gb|WP_000022832)
      2 VFG005582(gb|WP_002897814)
      2 VFG005886(gb|WP_009443641)
      5 VFG005898(gb|WP_002904719)
      3 VFG005940(gb|WP_011681171)
      3 VFG005952(gb|WP_011681172)
      3 VFG005964(gb|WP_011681173)
     11 VFG005992(gb|WP_000685095)
      2 VFG005997(gb|WP_002263084)
      2 VFG006000(gb|WP_011681176)
      1 VFG006010
      1 VFG006011(gb|WP_011681177)
      1 VFG006017(gb|WP_002916999)
      1 VFG006027(gb|WP_002916998)
      2 VFG006031(gb|WP_011226045)
      1 VFG006041(gb|WP_011681286)
      5 VFG006052(gb|WP_011226150)
      1 VFG006058(gb|WP_011226049)
      2 VFG006059(gb|WP_011681436)
      2 VFG006061(gb|WP_041827077)
      2 VFG006062(gb|WP_002947383)
      1 VFG006070(gb|WP_011226150)
      3 VFG006072(gb|WP_002902060)
      2 VFG006073(gb|WP_011227430)
      2 VFG006074(gb|WP_011226325)
      2 VFG006075(gb|WP_011681440)
      2 VFG006081(gb|WP_014621820)
      2 VFG006082(gb|WP_011226326)
      1 VFG006334(gb|WP_002236579)
      1 VFG006472(gb|WP_000724295)
      1 VFG006526(gb|WP_011116635)
      2 VFG006536(gb|WP_011115546)
      3 VFG006565(gb|WP_011115452)
      2 VFG006580(gb|WP_011115309)
      9 VFG006595(gb|WP_011115987)
      1 VFG006620(gb|WP_011115633)
      6 VFG006645(gb|WP_011116543)
      2 VFG006655(gb|WP_011115026)
      1 VFG006674(gb|WP_011577083)
      1 VFG006689(gb|WP_011116248)
      2 VFG006720(gb|WP_011702434)
      1 VFG007373(gb|WP_011078343)
      3 VFG007457(gb|WP_026130674)
      2 VFG007636(gb|WP_011149315)
      1 VFG007642(gb|WP_011149334)
      4 VFG007656(gb|WP_011078838)
      3 VFG007661(gb|WP_011261023)
      3 VFG007811(gb|WP_008263844)
      1 VFG007911(gb|WP_010908851)
      2 VFG008277(gb|WP_011777397)
      1 VFG009045(gb|WP_015304571)
      1 VFG009161(gb|WP_005067995)
      3 VFG009230(gb|WP_041307902)
      2 VFG009244(gb|WP_011893656)
      2 VFG009407(gb|WP_011893806)
      3 VFG009576(gb|WP_024637120)
      1 VFG009578(gb|WP_011731355)
      1 VFG009587(gb|WP_011731354)
      1 VFG009714(gb|WP_010949738)
      1 VFG009715(gb|WP_023861150)
      5 VFG009718(gb|WP_011728563)
      7 VFG009720(gb|WP_011779686)
      3 VFG009721(gb|WP_083044596)
      1 VFG009805(gb|WP_011892478)
      1 VFG009818(gb|WP_014878477)
      1 VFG009820(gb|WP_036377494)
      3 VFG009835(gb|WP_011782153)
      1 VFG009928(gb|WP_003894345)
      5 VFG009930(gb|WP_011779804)
      1 VFG010813(gb|WP_011946356)
      2 VFG011260(gb|WP_012417352)
      4 VFG012095(gb|WP_003435012)
     18 VFG012096(gb|WP_011722916)
     19 VFG012099(gb|WP_011100542)
      6 VFG012101(gb|WP_010965990)
      4 VFG012102(gb|WP_011967678)
     66 VFG012103(gb|WP_003514589)
      1 VFG013156(gb|WP_012341779)
      2 VFG013160(gb|WP_012340926)
      2 VFG013170(gb|WP_012341458)
      2 VFG013186(gb|WP_012340561)
      2 VFG013248(gb|WP_010868928)
      1 VFG013260(gb|WP_010868968)
      1 VFG013282(gb|WP_011271959)
      3 VFG013291(gb|WP_011608942)
      2 VFG013301(gb|WP_012055077)
      1 VFG013319(gb|WP_010945097)
      2 VFG013323(gb|WP_012054609)
      1 VFG013351(gb|WP_041604256)
      1 VFG013368(gb|WP_005693225)
      1 VFG013407(gb|WP_005690709)
      1 VFG013409(gb|WP_012055407)
      2 VFG013421(gb|WP_005630454)
      5 VFG013434(gb|WP_010945082)
      1 VFG013475
      3 VFG013530(gb|WP_010869249)
      2 VFG013532(gb|WP_012054417)
      1 VFG013535(gb|WP_011609092)
      1 VFG013564(gb|WP_011961812)
      1 VFG013629(gb|WP_041603540)
      1 VFG013702(gb|WP_010934023)
      1 VFG013732(gb|WP_006769637)
      5 VFG013734(gb|WP_011013698)
      4 VFG013775(gb|WP_003141354)
      1 VFG013897(gb|WP_003084552)
      1 VFG013899(gb|WP_003377212)
      4 VFG013901(gb|WP_004654396)
      2 VFG013906(gb|WP_007953348)
      7 VFG013907(gb|WP_004373763)
      2 VFG014129(gb|WP_003150889)
      5 VFG014135(gb|WP_025297832)
      1 VFG014357(gb|WP_003152329)
      1 VFG014360(gb|WP_003316803)
      2 VFG014364(gb|WP_011534913)
      1 VFG014368(gb|WP_014597048)
      2 VFG014389(gb|WP_012051624)
      1 VFG014391(gb|WP_011059972)
      2 VFG014392(gb|WP_011333047)
      1 VFG014440(gb|WP_010955089)
      1 VFG014456(gb|WP_011059977)
      1 VFG014602(gb|WP_017243981)
      1 VFG014844(gb|WP_012074763)
      2 VFG014848(gb|WP_005746022)
      1 VFG014849(gb|WP_010952409)
      5 VFG014851(gb|WP_011535591)
      1 VFG014852(gb|WP_011059369)
     11 VFG014854(gb|WP_011921099)
      2 VFG014855
      1 VFG014952(gb|WP_003140933)
      3 VFG014956(gb|WP_049587369)
      2 VFG014961(gb|WP_003245464)
      1 VFG014984(gb|NP_253136)
      1 VFG014985(gb|WP_012077206)
      2 VFG014987(gb|WP_003377590)
      1 VFG014989(gb|WP_004656566)
     21 VFG014992(gb|WP_011535570)
      1 VFG014993(gb|WP_011059287)
      1 VFG015075(gb|WP_011532652)
      3 VFG015077(gb|WP_041475601)
      1 VFG015369(gb|WP_011064243)
      1 VFG015434(gb|WP_011064253)
      6 VFG015494(gb|WP_011167352)
      5 VFG015495(gb|WP_049586082)
      4 VFG015497(gb|WP_011064261)
      5 VFG015498(gb|WP_012018669)
      1 VFG015752(gb|WP_012274108)
      1 VFG015753(gb|WP_012312809)
      1 VFG015763(gb|WP_003252049)
      1 VFG015768(gb|WP_012273930)
      1 VFG015769(gb|WP_012312989)
      2 VFG015806(gb|WP_012314365)
      1 VFG015821(gb|WP_012315374)
      6 VFG016021(gb|WP_003148545)
      2 VFG016057(gb|WP_012019057)
      1 VFG016380(gb|WP_000609547)
      4 VFG016381(gb|WP_033685340)
      8 VFG016387(gb|WP_000996578)
      1 VFG016400(gb|WP_000502776)
      2 VFG016401(gb|WP_000122128)
      2 VFG016416(gb|WP_000060578)
      1 VFG016432(gb|WP_000059856)
      3 VFG016450(gb|WP_011076982)
      2 VFG016470(gb|WP_011290436)
      1 VFG016474(gb|WP_011284243)
     20 VFG016483(gb|WP_010875022)
     11 VFG016484(gb|WP_009885583)
    129 VFG016485(gb|WP_011113468)
     20 VFG016489(gb|WP_011264744)
     35 VFG016490(gb|NP_975163)
     71 VFG016491(gb|WP_011076858)
     28 VFG016492(gb|WP_010925206)
     85 VFG016493(gb|WP_011283803)
     57 VFG016494(gb|WP_004024476)
     22 VFG016495(gb|WP_011166362)
      1 VFG016599(gb|WP_011113853)
      4 VFG016860(gb|WP_010230254)
      1 VFG016861(gb|WP_010882971)
      2 VFG016866(gb|WP_011006421)
     16 VFG018652(gb|WP_006154814)
      5 VFG018658(gb|WP_041789547)
     44 VFG018662(gb|WP_012130507)
      1 VFG018664(gb|WP_012000426)
      2 VFG019071(gb|WP_000350504)
      2 VFG019072(gb|WP_000405234)
      3 VFG019077(gb|WP_000260685)
      1 VFG019078(gb|WP_000260667)
      2 VFG019085(gb|WP_000472977)
      1 VFG019118(gb|WP_000861662)
      4 VFG019132(gb|WP_012343546)
      2 VFG019134(gb|WP_012422966)
      1 VFG019520(gb|WP_000724308)
      1 VFG019760(gb|WP_012722471)
      1 VFG019781(gb|WP_012613866)
      1 VFG019824(gb|WP_015885197)
      1 VFG020019(gb|WP_015886561)
      2 VFG020068(gb|WP_012723750)
      1 VFG022573(gb|WP_013828959)
      2 VFG022781(gb|YP_001702997)
      2 VFG022860(gb|YP_001703741)
     14 VFG022866(gb|WP_013829374)
      2 VFG022910(gb|WP_013830539)
      2 VFG022927(gb|YP_001701701)
      1 VFG022933(gb|WP_013827764)
      5 VFG022941(gb|WP_013827874)
      1 VFG023264(gb|WP_013826993)
      2 VFG023850(gb|WP_043955033)
      6 VFG023940(gb|WP_013470807)
      1 VFG024127(gb|WP_011894790)
      2 VFG024163(gb|WP_011892478)
      2 VFG024212(gb|WP_009954371)
      2 VFG024680(gb|WP_085978051)
      2 VFG024850(gb|WP_025987421)
      1 VFG025019(gb|WP_009896156)
     21 VFG025294(gb|WP_009896189)
      1 VFG025784(gb|WP_009910086)
      1 VFG026291(gb|WP_011694187)
      5 VFG026961(gb|WP_074360147)
      1 VFG026964(gb|WP_015290883)
      4 VFG026965(gb|WP_015293867)
      1 VFG026985(gb|WP_051073897)
      1 VFG027322(gb|WP_015306641)
      3 VFG029485(gb|WP_010908937)
      4 VFG029506(gb|WP_011891286)
      1 VFG029734(gb|WP_015304390)
      3 VFG030673(gb|WP_010908121)
      3 VFG030676(gb|WP_011724098)
     17 VFG030679(gb|WP_011730288)
      5 VFG030684(gb|WP_011781637)
      2 VFG030692(gb|WP_013828150)
      7 VFG030694(gb|WP_013471930)
      2 VFG030700(gb|WP_005098896)
      3 VFG030724(gb|WP_015308640)
      4 VFG030989(gb|WP_011892407)
      2 VFG031037(gb|WP_010908991)
      1 VFG031048(gb|WP_011777508)
      5 VFG031056(gb|WP_193374435)
      3 VFG031061(gb|WP_009952664)
      1 VFG031093(gb|WP_011729397)
      1 VFG031368(gb|WP_014383193)
      3 VFG031400(gb|WP_085979799)
      1 VFG031403(gb|WP_014711794)
      1 VFG031409
      2 VFG031732(gb|WP_011558087)
      2 VFG031776(gb|WP_015304588)
      1 VFG031961(gb|WP_012985768)
      1 VFG032760(gb|WP_003746076)
      1 VFG032954(gb|WP_003730391)
      1 VFG033826(gb|WP_001034089)
      2 VFG035571(gb|WP_000614396)
      1 VFG036181(gb|WP_015815989)
      3 VFG036295(gb|WP_003710978)
      2 VFG037044(gb|WP_013448270)
      1 VFG037726(gb|WP_001027059)
      1 VFG037895(gb|WP_001175098)
      1 VFG038279(gb|WP_005338295)
      1 VFG038395(gb|WP_011705721)
      2 VFG038396(gb|WP_005310704)
      2 VFG038474(gb|WP_005353124)
      1 VFG038535(gb|WP_013723952)
      1 VFG038681(gb|WP_005334720)
      1 VFG038764(gb|WP_017409846)
      2 VFG038766(gb|WP_005350678)
      1 VFG038833(gb|WP_005314930)
      3 VFG038916(gb|WP_011705263)
      1 VFG038918(gb|WP_164927583)
      1 VFG039836(gb|WP_011477919)
      2 VFG040813(gb|WP_014363765)
     10 VFG040878(gb|NP_249377)
      5 VFG040891(gb|WP_019237945)
      5 VFG040920(gb|WP_004533498)
      2 VFG040952(gb|WP_001087295)
      1 VFG040983(gb|WP_028853770)
      4 VFG041020(gb|NP_250353)
      1 VFG041031(gb|NP_251049)
     39 VFG041043(gb|NP_251061)
      1 VFG041078(gb|WP_002210475)
      1 VFG041096(gb|NP_459269)
      2 VFG041163(gb|WP_000614300)
      3 VFG041222(gb|WP_012907484)
      1 VFG041722(gb|WP_006489706)
      3 VFG041746(gb|WP_004528905)
      2 VFG041754(gb|WP_004525254)
      2 VFG041782(gb|WP_011176700)
      7 VFG041785(gb|WP_011176697)
      2 VFG041863(gb|WP_011136154)
      2 VFG041993(gb|WP_011004167)
      1 VFG042749(gb|NP_252992)
      1 VFG043001(gb|ABG47035)
      1 VFG043040(gb|NP_460876)
      2 VFG043086(gb|WP_000067016)
      1 VFG043117(gb|WP_001253441)
      1 VFG043172(gb|AAZ99734)
      8 VFG043285(gb|WP_011860690)
      2 VFG043309(gb|WP_011860706)
      1 VFG043319(gb|WP_010946589)
      8 VFG043469(gb|YP_001201070)
      1 VFG043479(gb|AAD53408)
    122 VFG043550(gb|NP_214954)
      4 VFG043573(gb|NP_219906)
      1 VFG043592(gb|AAF34780)
      1 VFG043596(gb|WP_002264119)
      1 VFG043603(gb|WP_078064065)
      2 VFG043605(gb|WP_011999704)
      3 VFG043634(gb|WP_011081076)
      3 VFG044091(gb|NP_252096)
      5 VFG044110(gb|WP_010929751)
      7 VFG044130(gb|WP_005874678)
     17 VFG044131(gb|WP_005874564)
      3 VFG044225(gb|WP_011533698)
      7 VFG044315(gb|WP_012492605)
      2 VFG045308(gb|WP_011213310)
      6 VFG045692(gb|WP_197532029)
     16 VFG046458(gb|WP_003024794)
     36 VFG046459(gb|WP_004287053)
     58 VFG046467(gb|WP_014548920)
     19 VFG046470(gb|WP_014548920)
     30 VFG046474(gb|WP_014714676)
    252 VFG046475(gb|WP_013922406)
      2 VFG046612(gb|WP_014548584)
      1 VFG046650(gb|WP_014549990)
      1 VFG046654(gb|WP_014715512)
      1 VFG047156(gb|WP_003040366)
      1 VFG047198(gb|WP_012280617)
      2 VFG047221(gb|WP_003022302)
      2 VFG047250(gb|WP_012279861)
      4 VFG047710(gb|WP_014547360)
      1 VFG047717(gb|WP_014714141)
      3 VFG047718(gb|WP_013921812)
      2 VFG048498(gb|WP_012737619)
      7 VFG048790(gb|WP_014230056)
      5 VFG048796(gb|WP_015958696)
      2 VFG048822(gb|WP_004122480)
      1 VFG048826(gb|YP_005227857)
      2 VFG048833(gb|WP_014838944)
      4 VFG048837(gb|YP_005227858)
      1 VFG048840(gb|WP_015958698)
      1 VFG048845(gb|WP_004122486)
      3 VFG048953(gb|WP_012967596)
      1 VFG048959(gb|WP_020956638)
      1 VFG048964(gb|WP_012967597)
      4 VFG048973(gb|WP_000704907)
      4 VFG048981(gb|WP_004144152)
      4 VFG049025(gb|YP_005227844)
      1 VFG049103(gb|WP_004175258)
      1 VFG049108
      1 VFG050184(gb|WP_038356952)
      2 VFG050186(gb|WP_001971585)
      5 VFG050194(gb|WP_000996524)
      1 VFG050200(gb|WP_001024122)
      7 VFG050201(gb|WP_000471738)
      4 VFG050205(gb|WP_000122126)
