      1 VFG000029(gb|WP_010929608)
      1 VFG000077(gb|NP_465991)
     10 VFG000079(gb|NP_463763)
     58 VFG000321(gb|WP_000659810)
      7 VFG000331(gb|WP_005693548)
      2 VFG000332(gb|WP_005632797)
      2 VFG000335(gb|WP_010869142)
      1 VFG001269(gb|WP_010929996)
      3 VFG001344(gb|WP_000612460)
     24 VFG001348(gb|WP_000659580)
     10 VFG001360(gb|WP_001042179)
      2 VFG001370(gb|WP_000697328)
      3 VFG001373(gb|WP_000758382)
      4 VFG001967(gb|YP_002344822)
      6 VFG002182(gb|WP_002376666)
      2 VFG002270(gb|WP_011180104)
      1 VFG002965(gb|WP_011302064)
      1 VFG002966(gb|WP_011274717)
      1 VFG005020(gb|WP_011274718)
      5 VFG005065
      1 VFG005186(gb|YP_001198858)
     11 VFG005191(gb|WP_011681101)
      6 VFG005196(gb|WP_000006702)
      2 VFG005232(gb|WP_002913975)
      1 VFG005243(gb|WP_010922693)
     10 VFG005323(gb|WP_011225268)
      8 VFG005324(gb|WP_082302295)
      1 VFG005329(gb|WP_000728289)
      2 VFG005347(gb|WP_002986042)
      2 VFG005352(gb|WP_002986042)
      1 VFG005353(gb|WP_000260656)
      2 VFG005357(gb|WP_000260666)
     15 VFG005359(gb|WP_002899102)
      4 VFG005360(gb|WP_002262489)
      8 VFG005383(gb|WP_011836786)
      2 VFG005384(gb|WP_011836784)
      2 VFG005385(gb|WP_011836785)
     12 VFG005388
      2 VFG005389(gb|WP_011836739)
      5 VFG005392(gb|WP_011836622)
      5 VFG005393(gb|WP_002352262)
     11 VFG005485(gb|WP_000417171)
     15 VFG005486(gb|WP_000417180)
     12 VFG005488(gb|WP_011836924)
      3 VFG005489(gb|WP_000473008)
      4 VFG005490(gb|WP_000472995)
      2 VFG005530(gb|WP_000681597)
      1 VFG005552(gb|WP_011837486)
      1 VFG005556(gb|WP_011680653)
      1 VFG005579(gb|WP_000022815)
      5 VFG005580(gb|WP_000022813)
     10 VFG005582(gb|WP_002897814)
      1 VFG005810(gb|WP_011836396)
      2 VFG005838(gb|WP_011836759)
      1 VFG005841(gb|WP_002262748)
      3 VFG005874(gb|WP_002986125)
      3 VFG005886(gb|WP_009443641)
      3 VFG005898(gb|WP_002904719)
      2 VFG005920(gb|WP_000750328)
      2 VFG005922(gb|WP_011837183)
      1 VFG005937(gb|WP_002261978)
      1 VFG005946(gb|WP_011837185)
      1 VFG005952(gb|WP_011681172)
      2 VFG005958(gb|WP_011837186)
      4 VFG005964(gb|WP_011681173)
      6 VFG005976(gb|WP_011681174)
      3 VFG005982(gb|WP_033179183)
      9 VFG005988(gb|WP_011681175)
      5 VFG005992(gb|WP_000685095)
      1 VFG005994(gb|WP_011837189)
      1 VFG005997(gb|WP_002263084)
      7 VFG006000(gb|WP_011681176)
      8 VFG006004(gb|WP_001819836)
      1 VFG006009(gb|WP_011227247)
     16 VFG006011(gb|WP_011681177)
      3 VFG006015(gb|WP_000676152)
      1 VFG006020(gb|WP_011227248)
      5 VFG006022(gb|WP_002947383)
      7 VFG006031(gb|WP_011226045)
      4 VFG006040(gb|WP_011226046)
      1 VFG006046(gb|WP_011226149)
      4 VFG006047(gb|WP_011226047)
      6 VFG006048(gb|WP_011681434)
      4 VFG006052(gb|WP_011226150)
      4 VFG006053(gb|WP_011226048)
      4 VFG006054(gb|WP_041827753)
      4 VFG006057(gb|WP_011227426)
     14 VFG006058(gb|WP_011226049)
      4 VFG006059(gb|WP_011681436)
      2 VFG006061(gb|WP_041827077)
      4 VFG006062(gb|WP_002947383)
      6 VFG006063(gb|WP_011681437)
      6 VFG006065(gb|WP_011227428)
      1 VFG006068(gb|WP_002902061)
      4 VFG006070(gb|WP_011226150)
      2 VFG006071(gb|WP_011681439)
      1 VFG006072(gb|WP_002902060)
      6 VFG006073(gb|WP_011227430)
     35 VFG006074(gb|WP_011226325)
      6 VFG006075(gb|WP_011681440)
      1 VFG006076(gb|WP_011837623)
     10 VFG006077(gb|WP_011227431)
     17 VFG006078(gb|WP_002948022)
      6 VFG006079(gb|WP_011681442)
      3 VFG006081(gb|WP_014621820)
     22 VFG006082(gb|WP_011226326)
      2 VFG006083(gb|WP_011681443)
     30 VFG006084(gb|WP_002948020)
      2 VFG006085(gb|WP_011681444)
     35 VFG006086(gb|WP_011226328)
     10 VFG006087(gb|WP_011681445)
     19 VFG006088(gb|WP_041828290)
     16 VFG006089(gb|WP_011681446)
      1 VFG006496(gb|WP_011115254)
      3 VFG006720(gb|WP_011702434)
      1 VFG006828(gb|WP_003719652)
      1 VFG007655(gb|WP_011261053)
      1 VFG007657(gb|WP_043877045)
      4 VFG007658(gb|WP_011149273)
      1 VFG007659(gb|WP_011261022)
      1 VFG007661(gb|WP_011261023)
      1 VFG007813(gb|WP_015309406)
      3 VFG008277(gb|WP_011777397)
      1 VFG009119(gb|WP_015307141)
      2 VFG009228(gb|WP_011729234)
      5 VFG009718(gb|WP_011728563)
      1 VFG009720(gb|WP_011779686)
      2 VFG010485(gb|WP_197535493)
      9 VFG011705(gb|WP_011049980)
      2 VFG011937(gb|WP_002849696)
     13 VFG012095(gb|WP_003435012)
     15 VFG012096(gb|WP_011722916)
      1 VFG012098(gb|WP_003454479)
      3 VFG012099(gb|WP_011100542)
     26 VFG012101(gb|WP_010965990)
      9 VFG012102(gb|WP_011967678)
     63 VFG012103(gb|WP_003514589)
      1 VFG012104(gb|WP_011861612)
      1 VFG013094(gb|WP_005694367)
      1 VFG013100(gb|WP_005694368)
      2 VFG013101(gb|WP_011271972)
      1 VFG013118(gb|WP_005693728)
      8 VFG013130(gb|WP_010945652)
      2 VFG013187(gb|WP_012341760)
      1 VFG013217(gb|WP_041174700)
      1 VFG013236(gb|WP_005693864)
      2 VFG013239(gb|WP_012054788)
      5 VFG013248(gb|WP_010868928)
      4 VFG013257(gb|WP_005653851)
      1 VFG013260(gb|WP_010868968)
      1 VFG013282(gb|WP_011271959)
      4 VFG013286(gb|WP_005694325)
      3 VFG013327(gb|WP_010869047)
      2 VFG013330(gb|WP_012055210)
      3 VFG013365(gb|WP_010869077)
     20 VFG013368(gb|WP_005693225)
      2 VFG013391(gb|WP_011272366)
      1 VFG013392(gb|WP_012054515)
      4 VFG013396(gb|WP_041174783)
      2 VFG013402(gb|WP_011272387)
      1 VFG013409(gb|WP_012055407)
      1 VFG013423(gb|WP_012341650)
      1 VFG013434(gb|WP_010945082)
      5 VFG013464(gb|WP_011609611)
      2 VFG013482(gb|WP_164927871)
      6 VFG013485(gb|WP_074039892)
      6 VFG013514(gb|WP_011272587)
      3 VFG013580(gb|WP_012054533)
      2 VFG013623(gb|WP_010945438)
      2 VFG013627
      1 VFG013669(gb|WP_011076064)
      2 VFG013975(gb|WP_011267157)
      1 VFG014135(gb|WP_025297832)
      1 VFG014386(gb|WP_011268444)
      6 VFG014387(gb|WP_004664453)
      1 VFG014600(gb|WP_011333069)
      2 VFG014602(gb|WP_017243981)
      1 VFG014956(gb|WP_049587369)
      1 VFG014961(gb|WP_003245464)
      1 VFG014962(gb|WP_011912408)
      1 VFG014984(gb|NP_253136)
      1 VFG014993(gb|WP_011059287)
      1 VFG015077(gb|WP_041475601)
      1 VFG015369(gb|WP_011064243)
      1 VFG015494(gb|WP_011167352)
      1 VFG015498(gb|WP_012018669)
      2 VFG015753(gb|WP_012312809)
      2 VFG015806(gb|WP_012314365)
      1 VFG015905(gb|WP_164920559)
      9 VFG016025(gb|WP_005753277)
      2 VFG016380(gb|WP_000609547)
      1 VFG016382(gb|WP_000757832)
     22 VFG016387(gb|WP_000996578)
      1 VFG016390(gb|WP_001109538)
      6 VFG016401(gb|WP_000122128)
      1 VFG016470(gb|WP_011290436)
     14 VFG016483(gb|WP_010875022)
     34 VFG016484(gb|WP_009885583)
     71 VFG016485(gb|WP_011113468)
      2 VFG016489(gb|WP_011264744)
     26 VFG016490(gb|NP_975163)
     27 VFG016491(gb|WP_011076858)
     11 VFG016492(gb|WP_010925206)
     15 VFG016493(gb|WP_011283803)
     65 VFG016494(gb|WP_004024476)
      2 VFG016495(gb|WP_011166362)
      5 VFG016866(gb|WP_011006421)
      2 VFG017784(gb|WP_011989577)
      1 VFG017987(gb|WP_012006774)
      1 VFG018161(gb|WP_000549309)
      3 VFG018649(gb|WP_012000310)
      9 VFG018651(gb|WP_012130562)
     68 VFG018652(gb|WP_006154814)
      2 VFG018654(gb|WP_011999748)
      8 VFG018655(gb|WP_012000309)
      7 VFG018656(gb|WP_012000554)
      2 VFG018657(gb|WP_012000387)
      3 VFG018658(gb|WP_041789547)
      2 VFG018661(gb|WP_011999924)
     58 VFG018662(gb|WP_012130507)
      2 VFG018664(gb|WP_012000426)
      2 VFG018666(gb|WP_012000428)
      1 VFG018669(gb|WP_012000439)
      1 VFG018670(gb|WP_012000440)
      2 VFG018671(gb|WP_012000441)
      4 VFG018675(gb|WP_041789920)
      1 VFG018677(gb|WP_012130999)
      2 VFG019069(gb|WP_000728266)
      4 VFG019071(gb|WP_000350504)
      8 VFG019077(gb|WP_000260685)
     10 VFG019085(gb|WP_000472977)
      2 VFG019087(gb|WP_001102216)
      2 VFG019090(gb|WP_000681598)
      6 VFG019091(gb|WP_000116474)
      4 VFG019096(gb|WP_001193716)
      1 VFG019098(gb|WP_142355920)
      1 VFG019111(gb|WP_000664156)
      1 VFG019117(gb|WP_001005725)
      2 VFG019119(gb|WP_001076780)
      2 VFG019121(gb|WP_000458862)
      1 VFG019132(gb|WP_012343546)
      4 VFG019134(gb|WP_012422966)
      1 VFG019582(gb|WP_001262896)
      1 VFG019824(gb|WP_015885197)
      3 VFG020019(gb|WP_015886561)
      4 VFG022866(gb|WP_013829374)
      1 VFG022971(gb|WP_041319925)
      1 VFG024127(gb|WP_011894790)
      1 VFG024163(gb|WP_011892478)
      2 VFG025294(gb|WP_009896189)
      1 VFG026961(gb|WP_074360147)
      1 VFG026985(gb|WP_051073897)
      1 VFG027964(gb|WP_015357706)
      1 VFG029485(gb|WP_010908937)
      2 VFG029506(gb|WP_011891286)
      2 VFG030673(gb|WP_010908121)
      1 VFG030684(gb|WP_011781637)
      5 VFG030724(gb|WP_015308640)
      3 VFG031039(gb|WP_011726364)
      3 VFG031084(gb|WP_041312930)
      1 VFG031364(gb|WP_081465670)
      2 VFG031732(gb|WP_011558087)
      3 VFG031961(gb|WP_012985768)
      1 VFG032519(gb|WP_012986167)
      9 VFG036295(gb|WP_003710978)
      1 VFG037895(gb|WP_001175098)
      1 VFG037898(gb|YP_001083149)
      2 VFG037903(gb|WP_001175102)
      1 VFG038031(gb|WP_001175100)
      1 VFG038395(gb|WP_011705721)
     30 VFG038681(gb|WP_005334720)
      1 VFG038712(gb|WP_005319287)
      1 VFG038756(gb|WP_011706626)
      1 VFG038916(gb|WP_011705263)
      2 VFG039461(gb|WP_041405320)
      1 VFG040878(gb|NP_249377)
      1 VFG040920(gb|WP_004533498)
      1 VFG041021(gb|NP_250354)
      4 VFG041043(gb|NP_251061)
      4 VFG041222(gb|WP_012907484)
      2 VFG041407(gb|WP_001162711)
      1 VFG042265(gb|AAS91810)
      3 VFG042963(gb|WP_009874618)
      2 VFG042972(gb|WP_000924780)
      1 VFG043172(gb|AAZ99734)
      1 VFG043307(gb|WP_003435977)
      3 VFG043310(gb|WP_011860707)
      4 VFG043319(gb|WP_010946589)
      1 VFG043447(gb|YP_177831)
      3 VFG043465(gb|WP_010976622)
      9 VFG043469(gb|YP_001201070)
      1 VFG043479(gb|AAD53408)
      2 VFG043504(gb|WP_000671444)
      1 VFG043522(gb|AAQ22366)
     26 VFG043550(gb|NP_214954)
      3 VFG043556(gb|WP_009885879)
      2 VFG043573(gb|NP_219906)
      8 VFG043590(gb|AAL13053)
     15 VFG043591(gb|ABL73998)
     10 VFG043592(gb|AAF34780)
     93 VFG043593(gb|WP_000078946)
      2 VFG043596(gb|WP_002264119)
      3 VFG043603(gb|WP_078064065)
      9 VFG043605(gb|WP_011999704)
     53 VFG043608(gb|WP_000682783)
     12 VFG044130(gb|WP_005874678)
     34 VFG044131(gb|WP_005874564)
      2 VFG044150(gb|NP_461704)
      4 VFG044225(gb|WP_011533698)
      2 VFG044251(gb|WP_000136636)
      1 VFG045681(gb|WP_002359680)
     12 VFG045692(gb|WP_197532029)
     33 VFG046458(gb|WP_003024794)
     18 VFG046459(gb|WP_004287053)
     17 VFG046467(gb|WP_014548920)
     11 VFG046470(gb|WP_014548920)
     17 VFG046474(gb|WP_014714676)
    148 VFG046475(gb|WP_013922406)
      4 VFG046612(gb|WP_014548584)
      1 VFG046622(gb|WP_012280805)
      1 VFG047033(gb|WP_012280623)
      2 VFG047048(gb|WP_014714814)
      2 VFG047198(gb|WP_012280617)
     25 VFG047710(gb|WP_014547360)
     12 VFG048790(gb|WP_014230056)
      2 VFG048793(gb|YP_005227854)
      3 VFG048796(gb|WP_015958696)
      2 VFG048822(gb|WP_004122480)
      2 VFG048829(gb|WP_004175258)
      2 VFG048840(gb|WP_015958698)
      1 VFG048968(gb|WP_012541090)
      3 VFG048973(gb|WP_000704907)
      3 VFG048981(gb|WP_004144152)
      1 VFG048982(gb|WP_004899416)
      2 VFG049107(gb|WP_015958694)
      1 VFG050173(gb|WP_000702222)
      1 VFG050186(gb|WP_001971585)
      1 VFG050201(gb|WP_000471738)
      1 VFG050206(gb|WP_000757850)
      3 VFG050217(gb|WP_011860976)
