      1 VFG000029(gb|WP_010929608)
     35 VFG000079(gb|NP_463763)
      1 VFG000080(gb|NP_464522)
      1 VFG000182(gb|NP_251793)
      4 VFG000321(gb|WP_000659810)
      6 VFG001269(gb|WP_010929996)
     31 VFG001348(gb|WP_000659580)
     16 VFG001374(gb|WP_000077424)
      9 VFG001376(gb|WP_000695335)
      2 VFG001855(gb|WP_197535493)
      1 VFG001888(gb|WP_010947629)
      1 VFG001967(gb|YP_002344822)
      2 VFG001969(gb|YP_002344824)
      3 VFG002182(gb|WP_002376666)
      3 VFG002965(gb|WP_011302064)
      2 VFG005042(gb|WP_011274720)
      7 VFG005065
      2 VFG005188(gb|WP_002263095)
      2 VFG005199(gb|WP_002987847)
      2 VFG005275(gb|WP_148180005)
      2 VFG005324(gb|WP_082302295)
      2 VFG005347(gb|WP_002986042)
      3 VFG005352(gb|WP_002986042)
      1 VFG005353(gb|WP_000260656)
      9 VFG005359(gb|WP_002899102)
     25 VFG005360(gb|WP_002262489)
      6 VFG005548(gb|WP_000107750)
      3 VFG005553(gb|WP_002263425)
      2 VFG005576(gb|WP_000022832)
      2 VFG005582(gb|WP_002897814)
      1 VFG005920(gb|WP_000750328)
      2 VFG005924(gb|YP_001200130)
      2 VFG005939(gb|WP_041828375)
      7 VFG005940(gb|WP_011681171)
     24 VFG005952(gb|WP_011681172)
     17 VFG005992(gb|WP_000685095)
      1 VFG005997(gb|WP_002263084)
      8 VFG006004(gb|WP_001819836)
      2 VFG006015(gb|WP_000676152)
      3 VFG006610(gb|WP_138091884)
     10 VFG006720(gb|WP_011702434)
      1 VFG007655(gb|WP_011261053)
      1 VFG007657(gb|WP_043877045)
      7 VFG007658(gb|WP_011149273)
      2 VFG007659(gb|WP_011261022)
      1 VFG007661(gb|WP_011261023)
      2 VFG007793(gb|WP_014000413)
      1 VFG007813(gb|WP_015309406)
      1 VFG007910
      1 VFG009045(gb|WP_015304571)
      1 VFG009119(gb|WP_015307141)
      1 VFG009141(gb|WP_015307816)
      1 VFG009228(gb|WP_011729234)
      3 VFG009230(gb|WP_041307902)
      2 VFG009303(gb|WP_011782503)
      1 VFG009318(gb|WP_011782502)
      2 VFG009331(gb|WP_003897243)
      1 VFG009406(gb|WP_003895686)
      1 VFG009479(gb|WP_011781012)
      2 VFG009715(gb|WP_023861150)
      5 VFG009718(gb|WP_011728563)
      6 VFG009720(gb|WP_011779686)
      1 VFG009722(gb|WP_083775447)
      1 VFG009805(gb|WP_011892478)
      1 VFG009806(gb|WP_036377334)
      1 VFG009928(gb|WP_003894345)
      1 VFG010758(gb|WP_025520099)
      1 VFG011813(gb|WP_002850283)
      3 VFG011933(gb|WP_011731940)
      1 VFG012056(gb|WP_002850177)
     19 VFG012095(gb|WP_003435012)
     41 VFG012096(gb|WP_011722916)
      8 VFG012099(gb|WP_011100542)
     13 VFG012101(gb|WP_010965990)
      6 VFG012102(gb|WP_011967678)
     83 VFG012103(gb|WP_003514589)
      1 VFG012113(gb|WP_003520265)
      2 VFG013260(gb|WP_010868968)
      1 VFG013262
      1 VFG013334(gb|WP_187145735)
      2 VFG013372(gb|WP_010944658)
      1 VFG013407(gb|WP_005690709)
      1 VFG013534(gb|WP_010944436)
      1 VFG013732(gb|WP_006769637)
      4 VFG013734(gb|WP_011013698)
      1 VFG013781(gb|WP_011912243)
      1 VFG013818(gb|WP_011335996)
      2 VFG013900(gb|WP_003404551)
      1 VFG013901(gb|WP_004654396)
     10 VFG013907(gb|WP_004373763)
      1 VFG014129(gb|WP_003150889)
      2 VFG014135(gb|WP_025297832)
      6 VFG014360(gb|WP_003316803)
      2 VFG014364(gb|WP_011534913)
      3 VFG014366(gb|WP_003222863)
      2 VFG014368(gb|WP_014597048)
      2 VFG014389(gb|WP_012051624)
      1 VFG014543(gb|WP_004664470)
      2 VFG014602(gb|WP_017243981)
      6 VFG014851(gb|WP_011535591)
      2 VFG014852(gb|WP_011059369)
      7 VFG014854(gb|WP_011921099)
      1 VFG014952(gb|WP_003140933)
      2 VFG014953(gb|WP_005764764)
      2 VFG014955(gb|WP_011169354)
      1 VFG014956(gb|WP_049587369)
      3 VFG014961(gb|WP_003245464)
      1 VFG014984(gb|NP_253136)
      3 VFG014985(gb|WP_012077206)
      1 VFG014987(gb|WP_003377590)
     11 VFG014992(gb|WP_011535570)
      2 VFG014993(gb|WP_011059287)
      2 VFG014995(gb|WP_011921011)
      3 VFG015077(gb|WP_041475601)
      1 VFG015078(gb|WP_012018243)
      1 VFG015384(gb|WP_003246989)
      1 VFG015495(gb|WP_049586082)
      1 VFG015496(gb|WP_012052412)
      1 VFG015497(gb|WP_011064261)
      3 VFG015498(gb|WP_012018669)
      1 VFG015680(gb|WP_012273511)
      4 VFG015711(gb|WP_012315508)
      2 VFG015769(gb|WP_012312989)
      1 VFG015783(gb|WP_012313127)
      2 VFG015805(gb|WP_012272402)
      4 VFG015806(gb|WP_012314365)
      1 VFG015826(gb|WP_012273396)
      2 VFG016023(gb|WP_011103875)
      1 VFG016025(gb|WP_005753277)
      2 VFG016061(gb|WP_162839071)
      1 VFG016166(gb|WP_003372869)
      1 VFG016184(gb|WP_005762826)
      1 VFG016380(gb|WP_000609547)
     56 VFG016387(gb|WP_000996578)
      2 VFG016394(gb|WP_000608671)
      2 VFG016401(gb|WP_000122128)
      1 VFG016416(gb|WP_000060578)
      1 VFG016450(gb|WP_011076982)
     21 VFG016483(gb|WP_010875022)
     26 VFG016484(gb|WP_009885583)
    205 VFG016485(gb|WP_011113468)
      3 VFG016489(gb|WP_011264744)
     30 VFG016490(gb|NP_975163)
     54 VFG016491(gb|WP_011076858)
     19 VFG016492(gb|WP_010925206)
     38 VFG016493(gb|WP_011283803)
    112 VFG016494(gb|WP_004024476)
      4 VFG016495(gb|WP_011166362)
      1 VFG016767(gb|WP_005767758)
      4 VFG016784(gb|WP_005767817)
      1 VFG016860(gb|WP_010230254)
      3 VFG016861(gb|WP_010882971)
      7 VFG016866(gb|WP_011006421)
