      6 VFG000077(gb|NP_465991)
     12 VFG000079(gb|NP_463763)
      3 VFG000080(gb|NP_464522)
      6 VFG000321(gb|WP_000659810)
      5 VFG001269(gb|WP_010929996)
      2 VFG001301(gb|WP_000459062)
     16 VFG001348(gb|WP_000659580)
      2 VFG001373(gb|WP_000758382)
     10 VFG001374(gb|WP_000077424)
      5 VFG001376(gb|WP_000695335)
      2 VFG001855(gb|WP_197535493)
      3 VFG001887(gb|WP_010947186)
      6 VFG001967(gb|YP_002344822)
      2 VFG001969(gb|YP_002344824)
      3 VFG002084(gb|WP_000619136)
     13 VFG002182(gb|WP_002376666)
      3 VFG002966(gb|WP_011274717)
      5 VFG005020(gb|WP_011274718)
     11 VFG005065
      4 VFG005191(gb|WP_011681101)
      2 VFG005324(gb|WP_082302295)
      2 VFG005347(gb|WP_002986042)
      1 VFG005352(gb|WP_002986042)
      5 VFG005359(gb|WP_002899102)
      3 VFG005360(gb|WP_002262489)
      2 VFG005382(gb|WP_011681303)
      2 VFG005385(gb|WP_011836785)
      1 VFG005547(gb|WP_000107749)
     10 VFG005582(gb|WP_002897814)
     16 VFG005862(gb|WP_009659423)
      6 VFG005898(gb|WP_002904719)
      1 VFG005926(gb|WP_011227240)
      4 VFG005940(gb|WP_011681171)
      6 VFG005952(gb|WP_011681172)
     27 VFG005992(gb|WP_000685095)
      4 VFG005997(gb|WP_002263084)
      1 VFG006004(gb|WP_001819836)
      1 VFG006015(gb|WP_000676152)
      2 VFG006032(gb|WP_011226149)
      1 VFG006040(gb|WP_011226046)
      2 VFG006041(gb|WP_011681286)
      2 VFG006048(gb|WP_011681434)
      6 VFG006071(gb|WP_011681439)
      7 VFG006072(gb|WP_002902060)
      2 VFG006079(gb|WP_011681442)
      2 VFG006086(gb|WP_011226328)
      2 VFG006087(gb|WP_011681445)
      2 VFG006088(gb|WP_041828290)
      3 VFG006496(gb|WP_011115254)
      6 VFG006720(gb|WP_011702434)
      3 VFG007373(gb|WP_011078343)
      1 VFG007433(gb|WP_011079841)
      1 VFG007434(gb|WP_011079841)
      7 VFG007456(gb|WP_005457757)
      4 VFG007457(gb|WP_026130674)
      4 VFG007458(gb|WP_043877279)
      3 VFG007489(gb|WP_011262361)
     11 VFG007499(gb|WP_011079830)
      8 VFG007552(gb|WP_005479477)
      3 VFG007642(gb|WP_011149334)
     10 VFG007657(gb|WP_043877045)
      9 VFG007658(gb|WP_011149273)
      1 VFG007661(gb|WP_011261023)
      1 VFG007721(gb|WP_011726187)
      1 VFG007911(gb|WP_010908851)
      2 VFG008277(gb|WP_011777397)
      1 VFG009022(gb|WP_016343367)
      7 VFG009161(gb|WP_005067995)
      1 VFG009303(gb|WP_011782503)
      1 VFG009331(gb|WP_003897243)
      1 VFG009714(gb|WP_010949738)
     20 VFG009718(gb|WP_011728563)
      6 VFG009720(gb|WP_011779686)
      2 VFG009805(gb|WP_011892478)
      2 VFG009806(gb|WP_036377334)
      3 VFG009820(gb|WP_036377494)
      1 VFG009849(gb|WP_011892634)
      3 VFG009865(gb|WP_041307013)
      1 VFG009928(gb|WP_003894345)
     11 VFG011139(gb|WP_012415794)
      2 VFG011933(gb|WP_011731940)
      3 VFG011937(gb|WP_002849696)
      4 VFG012095(gb|WP_003435012)
     19 VFG012096(gb|WP_011722916)
      4 VFG012099(gb|WP_011100542)
     23 VFG012101(gb|WP_010965990)
     12 VFG012102(gb|WP_011967678)
     78 VFG012103(gb|WP_003514589)
      1 VFG013108(gb|WP_005686722)
      1 VFG013212(gb|WP_074039657)
      9 VFG013260(gb|WP_010868968)
      1 VFG013287(gb|WP_005688951)
      2 VFG013291(gb|WP_011608942)
      3 VFG013421(gb|WP_005630454)
     24 VFG013434(gb|WP_010945082)
      1 VFG013534(gb|WP_010944436)
      1 VFG013672(gb|WP_010934130)
      2 VFG013676(gb|WP_010934133)
     10 VFG013733(gb|WP_003854229)
      1 VFG013734(gb|WP_011013698)
      1 VFG013901(gb|WP_004654396)
      1 VFG013907(gb|WP_004373763)
      1 VFG014051(gb|WP_011063998)
      2 VFG014135(gb|WP_025297832)
      1 VFG014137(gb|WP_003138472)
      1 VFG014357(gb|WP_003152329)
      3 VFG014360(gb|WP_003316803)
      3 VFG014361(gb|WP_011169094)
      1 VFG014366(gb|WP_003222863)
      6 VFG014386(gb|WP_011268444)
      1 VFG014391(gb|WP_011059972)
      1 VFG014451(gb|WP_011268440)
      4 VFG014455(gb|WP_011534906)
      2 VFG014456(gb|WP_011059977)
      5 VFG014602(gb|WP_017243981)
      1 VFG014690(gb|WP_011058929)
      1 VFG014844(gb|WP_012074763)
      6 VFG014851(gb|WP_011535591)
      1 VFG014854(gb|WP_011921099)
      1 VFG014855
      2 VFG014961(gb|WP_003245464)
      2 VFG014984(gb|NP_253136)
      1 VFG014985(gb|WP_012077206)
      9 VFG014987(gb|WP_003377590)
      2 VFG014993(gb|WP_011059287)
      1 VFG014996(gb|WP_011912236)
      3 VFG015077(gb|WP_041475601)
      3 VFG015383(gb|WP_011064245)
      2 VFG015494(gb|WP_011167352)
      1 VFG015498(gb|WP_012018669)
      2 VFG015753(gb|WP_012312809)
      1 VFG015759(gb|WP_012312806)
      1 VFG015783(gb|WP_012313127)
      1 VFG015805(gb|WP_012272402)
