      2 VFG000029(gb|WP_010929608)
      2 VFG000077(gb|NP_465991)
     31 VFG000079(gb|NP_463763)
     14 VFG000080(gb|NP_464522)
      5 VFG000143(gb|NP_253699)
     27 VFG000477(gb|NP_461845)
      4 VFG000478(gb|NP_459678)
      6 VFG000615(gb|NP_709454)
     22 VFG000923(gb|WP_001034892)
     33 VFG000924(gb|WP_001234311)
     37 VFG000925(gb|WP_000140634)
     41 VFG000926(gb|WP_001443194)
     28 VFG000927(gb|WP_000096764)
     30 VFG000928(gb|WP_000640938)
      5 VFG000929(gb|WP_001375021)
     72 VFG000930(gb|WP_000077767)
     20 VFG000931(gb|WP_001336900)
     28 VFG000932(gb|WP_000026784)
     15 VFG000933(gb|WP_001007140)
     11 VFG000934(gb|WP_000348393)
      6 VFG000942(gb|AAK16475)
      7 VFG000946(gb|AAK16479)
      1 VFG001246(gb|NP_249783)
      1 VFG001248(gb|NP_249788)
      4 VFG001269(gb|WP_010929996)
      2 VFG001359(gb|WP_000733059)
      4 VFG001360(gb|WP_001042179)
      2 VFG001369(gb|WP_010963212)
     10 VFG001374(gb|WP_000077424)
      2 VFG001375(gb|WP_000594468)
     29 VFG001443(gb|AAF37887)
     46 VFG001444(gb|AAG10151)
     97 VFG001731(gb|WP_001223352)
     15 VFG001967(gb|YP_002344822)
      1 VFG001969(gb|YP_002344824)
      7 VFG002046(gb|WP_000135089)
     16 VFG002047(gb|WP_000498818)
      2 VFG002048(gb|WP_000249362)
     17 VFG002049(gb|WP_001173470)
      2 VFG002050(gb|WP_001087302)
      8 VFG002051(gb|WP_001115126)
      4 VFG002052(gb|WP_000820136)
      1 VFG002053(gb|WP_001250462)
     12 VFG002055(gb|WP_000097229)
      7 VFG002056
      1 VFG002376(gb|WP_005167723)
      1 VFG002377(gb|WP_005167721)
      6 VFG002961(gb|WP_000459062)
      1 VFG002965(gb|WP_011302064)
      2 VFG003504(gb|WP_011816641)
      6 VFG004231(gb|WP_000967611)
     14 VFG005020(gb|WP_011274718)
      2 VFG005021(gb|WP_011302065)
      5 VFG005065
      2 VFG005191(gb|WP_011681101)
      4 VFG005324(gb|WP_082302295)
     28 VFG005359(gb|WP_002899102)
      6 VFG005360(gb|WP_002262489)
      4 VFG005361(gb|WP_002352221)
      2 VFG005371(gb|WP_002261926)
      2 VFG005379(gb|WP_002262230)
      3 VFG005388
      8 VFG005390(gb|WP_002352268)
     12 VFG005391(gb|WP_002352269)
      6 VFG005393(gb|WP_002352262)
      2 VFG005486(gb|WP_000417180)
      4 VFG005489(gb|WP_000473008)
      2 VFG005514(gb|WP_002262622)
      2 VFG005533(gb|WP_002262650)
      2 VFG005553(gb|WP_002263425)
      1 VFG005556(gb|WP_011680653)
      4 VFG005652(gb|WP_014632427)
      3 VFG005841(gb|WP_002262748)
      1 VFG005862(gb|WP_009659423)
      2 VFG005865(gb|WP_002262524)
      1 VFG005874(gb|WP_002986125)
      2 VFG005889(gb|WP_002261974)
      4 VFG005901(gb|WP_002261975)
      2 VFG005920(gb|WP_000750328)
      2 VFG005925(gb|WP_002261977)
      3 VFG005926(gb|WP_011227240)
      2 VFG005937(gb|WP_002261978)
      2 VFG005939(gb|WP_041828375)
      1 VFG005964(gb|WP_011681173)
      1 VFG005973(gb|WP_002263087)
      3 VFG005976(gb|WP_011681174)
      6 VFG005988(gb|WP_011681175)
     27 VFG005992(gb|WP_000685095)
     13 VFG005997(gb|WP_002263084)
      6 VFG006011(gb|WP_011681177)
      2 VFG006015(gb|WP_000676152)
      4 VFG006022(gb|WP_002947383)
      2 VFG006031(gb|WP_011226045)
      4 VFG006036(gb|WP_011837191)
      4 VFG006058(gb|WP_011226049)
      6 VFG006074(gb|WP_011226325)
     11 VFG006075(gb|WP_011681440)
      1 VFG006076(gb|WP_011837623)
      2 VFG006078(gb|WP_002948022)
      8 VFG006081(gb|WP_014621820)
      6 VFG006082(gb|WP_011226326)
      3 VFG006083(gb|WP_011681443)
      4 VFG006084(gb|WP_002948020)
      2 VFG006086(gb|WP_011226328)
      6 VFG006088(gb|WP_041828290)
      4 VFG006089(gb|WP_011681446)
      2 VFG006334(gb|WP_002236579)
      9 VFG006720(gb|WP_011702434)
      1 VFG006829(gb|WP_003719652)
      1 VFG006832(gb|WP_003771747)
      1 VFG007394(gb|WP_000840982)
      1 VFG007496(gb|WP_001190986)
      1 VFG007639(gb|WP_043920918)
      1 VFG007640(gb|WP_043877039)
      2 VFG007656(gb|WP_011078838)
     13 VFG007657(gb|WP_043877045)
      1 VFG007658(gb|WP_011149273)
      1 VFG007659(gb|WP_011261022)
     11 VFG007660(gb|WP_011149274)
      1 VFG007792(gb|WP_014000413)
     12 VFG007811(gb|WP_008263844)
      1 VFG007914(gb|WP_011780329)
      3 VFG009161(gb|WP_005067995)
      3 VFG009226(gb|WP_010908708)
      3 VFG009230(gb|WP_041307902)
      4 VFG009303(gb|WP_011782503)
      1 VFG009609(gb|WP_011893045)
      5 VFG009718(gb|WP_011728563)
      1 VFG009721(gb|WP_083044596)
      3 VFG009804(gb|WP_011730856)
      2 VFG009834(gb|WP_011892635)
     14 VFG009859(gb|WP_003872811)
      2 VFG009924(gb|WP_003877578)
      1 VFG009927(gb|WP_071497946)
      3 VFG009928(gb|WP_003894345)
      2 VFG009932(gb|WP_011559678)
      4 VFG011124
      2 VFG011158(gb|WP_012415798)
      1 VFG011771(gb|WP_011049886)
      3 VFG011809(gb|WP_011732197)
      5 VFG011813(gb|WP_002850283)
      1 VFG012004(gb|WP_002869093)
      7 VFG012066(gb|WP_002867208)
     67 VFG012095(gb|WP_003435012)
     35 VFG012096(gb|WP_011722916)
     19 VFG012099(gb|WP_011100542)
      8 VFG012101(gb|WP_010965990)
     48 VFG012103(gb|WP_003514589)
      1 VFG012105(gb|WP_011722031)
