      1 VFG037895(gb|WP_001175098)
      1 VFG037898(gb|YP_001083149)
      5 VFG037908(gb|WP_000487070)
      1 VFG037938(gb|WP_000104825)
      1 VFG038016(gb|WP_001083066)
      1 VFG038102(gb|WP_015011143)
      1 VFG038279(gb|WP_005338295)
      4 VFG038396(gb|WP_005310704)
      1 VFG038916(gb|WP_011705263)
      1 VFG038918(gb|WP_164927583)
      3 VFG040878(gb|NP_249377)
      2 VFG040891(gb|WP_019237945)
      1 VFG040920(gb|WP_004533498)
      1 VFG041020(gb|NP_250353)
      1 VFG041043(gb|NP_251061)
      2 VFG041152(gb|WP_006484392)
      2 VFG041785(gb|WP_011176697)
      2 VFG041993(gb|WP_011004167)
      2 VFG042368(gb|AAP21063)
      2 VFG042694(gb|NP_250819)
      1 VFG042963(gb|WP_009874618)
      1 VFG043172(gb|AAZ99734)
      5 VFG043285(gb|WP_011860690)
      1 VFG043409(gb|WP_001192590)
      4 VFG043469(gb|YP_001201070)
      2 VFG043474(gb|CBW28496)
      1 VFG043479(gb|AAD53408)
     31 VFG043550(gb|NP_214954)
      1 VFG043593(gb|WP_000078946)
      8 VFG044130(gb|WP_005874678)
      3 VFG044131(gb|WP_005874564)
      2 VFG044165(gb|WP_001041793)
      3 VFG044225(gb|WP_011533698)
      1 VFG044314(gb|WP_012492604)
      1 VFG044362(gb|WP_033111968)
      1 VFG045681(gb|WP_002359680)
      3 VFG045692(gb|WP_197532029)
      1 VFG045705(gb|WP_003636663)
      1 VFG045729(gb|WP_085956275)
      1 VFG045793(gb|WP_000771429)
     14 VFG046458(gb|WP_003024794)
      5 VFG046459(gb|WP_004287053)
      5 VFG046467(gb|WP_014548920)
      9 VFG046470(gb|WP_014548920)
     13 VFG046474(gb|WP_014714676)
    148 VFG046475(gb|WP_013922406)
      2 VFG046620(gb|WP_013922870)
      1 VFG047024(gb|WP_014548761)
      1 VFG047049(gb|WP_013922612)
      1 VFG047702(gb|WP_012280232)
      1 VFG047718(gb|WP_013921812)
      7 VFG048789(gb|WP_014838943)
      9 VFG048790(gb|WP_014230056)
      2 VFG048793(gb|YP_005227854)
      1 VFG048796(gb|WP_015958696)
      1 VFG048822(gb|WP_004122480)
      7 VFG048823(gb|WP_014230059)
      6 VFG048840(gb|WP_015958698)
      2 VFG048844(gb|WP_014838945)
      1 VFG048885(gb|WP_014907227)
      1 VFG048973(gb|WP_000704907)
      6 VFG048981(gb|WP_004144152)
      1 VFG049103(gb|WP_004175258)
      4 VFG049107(gb|WP_015958694)
      7 VFG050194(gb|WP_000996524)
      1 VFG050205(gb|WP_000122126)
      2 VFG050215(gb|WP_011861680)
