     12 VFG000079(gb|NP_463763)
      5 VFG000080(gb|NP_464522)
      2 VFG000143(gb|NP_253699)
      1 VFG000182(gb|NP_251793)
      1 VFG000321(gb|WP_000659810)
      1 VFG000326(gb|WP_105163169)
      2 VFG000335(gb|WP_010869142)
     15 VFG000477(gb|NP_461845)
      5 VFG000478(gb|NP_459678)
      4 VFG000617(gb|NP_709456)
      6 VFG000618(gb|NP_709457)
      9 VFG000876(gb|WP_000120946)
     23 VFG000923(gb|WP_001034892)
      8 VFG000924(gb|WP_001234311)
      7 VFG000925(gb|WP_000140634)
      4 VFG000926(gb|WP_001443194)
     17 VFG000927(gb|WP_000096764)
      1 VFG000928(gb|WP_000640938)
     13 VFG000929(gb|WP_001375021)
     28 VFG000930(gb|WP_000077767)
     11 VFG000931(gb|WP_001336900)
     18 VFG000932(gb|WP_000026784)
      4 VFG000933(gb|WP_001007140)
      4 VFG000934(gb|WP_000348393)
      7 VFG001269(gb|WP_010929996)
      7 VFG001301(gb|WP_000459062)
      2 VFG001317(gb|WP_001041586)
      2 VFG001344(gb|WP_000612460)
      1 VFG001348(gb|WP_000659580)
      2 VFG001362(gb|WP_000088129)
      2 VFG001373(gb|WP_000758382)
      1 VFG001374(gb|WP_000077424)
      8 VFG001376(gb|WP_000695335)
      4 VFG001443(gb|AAF37887)
     28 VFG001444(gb|AAG10151)
    100 VFG001731(gb|WP_001223352)
      2 VFG001855(gb|WP_197535493)
      2 VFG001887(gb|WP_010947186)
      1 VFG001967(gb|YP_002344822)
      3 VFG001969(gb|YP_002344824)
      4 VFG002046(gb|WP_000135089)
     10 VFG002047(gb|WP_000498818)
      6 VFG002051(gb|WP_001115126)
      3 VFG002053(gb|WP_001250462)
     12 VFG002054(gb|WP_000633233)
      2 VFG002055(gb|WP_000097229)
      2 VFG002084(gb|WP_000619136)
      4 VFG002182(gb|WP_002376666)
      1 VFG002361(gb|WP_011816867)
      2 VFG002376(gb|WP_005167723)
      6 VFG002965(gb|WP_011302064)
      8 VFG002966(gb|WP_011274717)
      2 VFG004442
      3 VFG005020(gb|WP_011274718)
      1 VFG005065
      2 VFG005191(gb|WP_011681101)
      2 VFG005242(gb|WP_011837269)
      2 VFG005253(gb|WP_011285200)
      1 VFG005301(gb|WP_000757844)
      3 VFG005314(gb|WP_000458116)
      2 VFG005323(gb|WP_011225268)
      6 VFG005324(gb|WP_082302295)
      2 VFG005346(gb|WP_002986042)
      3 VFG005347(gb|WP_002986042)
      6 VFG005352(gb|WP_002986042)
      3 VFG005359(gb|WP_002899102)
     15 VFG005360(gb|WP_002262489)
      2 VFG005364(gb|WP_000208378)
      3 VFG005388
      2 VFG005389(gb|WP_011836739)
      1 VFG005392(gb|WP_011836622)
      2 VFG005393(gb|WP_002352262)
      4 VFG005490(gb|WP_000472995)
      1 VFG005547(gb|WP_000107749)
      2 VFG005576(gb|WP_000022832)
      2 VFG005580(gb|WP_000022813)
      5 VFG005582(gb|WP_002897814)
      1 VFG005862(gb|WP_009659423)
      2 VFG005898(gb|WP_002904719)
      2 VFG005922(gb|WP_011837183)
      1 VFG005928(gb|WP_202964935)
      4 VFG005937(gb|WP_002261978)
      2 VFG005940(gb|WP_011681171)
      4 VFG005952(gb|WP_011681172)
      1 VFG005976(gb|WP_011681174)
     11 VFG005992(gb|WP_000685095)
      5 VFG005997(gb|WP_002263084)
      1 VFG006004(gb|WP_001819836)
      2 VFG006011(gb|WP_011681177)
     14 VFG006015(gb|WP_000676152)
      3 VFG006027(gb|WP_002916998)
      1 VFG006031(gb|WP_011226045)
      2 VFG006058(gb|WP_011226049)
      2 VFG006070(gb|WP_011226150)
      8 VFG006074(gb|WP_011226325)
      2 VFG006078(gb|WP_002948022)
     10 VFG006081(gb|WP_014621820)
      4 VFG006082(gb|WP_011226326)
      3 VFG006084(gb|WP_002948020)
      1 VFG006088(gb|WP_041828290)
      5 VFG006089(gb|WP_011681446)
      2 VFG006091(gb|WP_011226331)
      3 VFG006476(gb|WP_011115250)
      8 VFG006496(gb|WP_011115254)
      4 VFG006625(gb|WP_011115858)
      4 VFG006720(gb|WP_011702434)
      2 VFG006808(gb|WP_003772355)
      1 VFG006884(gb|WP_000591846)
      6 VFG007373(gb|WP_011078343)
     14 VFG007457(gb|WP_026130674)
      5 VFG007458(gb|WP_043877279)
      3 VFG007489(gb|WP_011262361)
      1 VFG007496(gb|WP_001190986)
      4 VFG007552(gb|WP_005479477)
      1 VFG007558(gb|WP_005479526)
      2 VFG007636(gb|WP_011149315)
      2 VFG007642(gb|WP_011149334)
      6 VFG007656(gb|WP_011078838)
      1 VFG007657(gb|WP_043877045)
      1 VFG007658(gb|WP_011149273)
      2 VFG007659(gb|WP_011261022)
      2 VFG007661(gb|WP_011261023)
      3 VFG007813(gb|WP_015309406)
      2 VFG007911(gb|WP_010908851)
      2 VFG007914(gb|WP_011780329)
      2 VFG009119(gb|WP_015307141)
      1 VFG009123(gb|WP_015293557)
      1 VFG009161(gb|WP_005067995)
      1 VFG009244(gb|WP_011893656)
      1 VFG009267(gb|WP_011891109)
      1 VFG009332(gb|WP_011892513)
      1 VFG009387(gb|WP_003877287)
      2 VFG009479(gb|WP_011781012)
      2 VFG009533(gb|WP_011729889)
      1 VFG009576(gb|WP_024637120)
      1 VFG009578(gb|WP_011731355)
      2 VFG009715(gb|WP_023861150)
     16 VFG009718(gb|WP_011728563)
      4 VFG009720(gb|WP_011779686)
      1 VFG009721(gb|WP_083044596)
      1 VFG009805(gb|WP_011892478)
      3 VFG009818(gb|WP_014878477)
      1 VFG009930(gb|WP_011779804)
      3 VFG010485(gb|WP_197535493)
      1 VFG011139(gb|WP_012415794)
      2 VFG011169(gb|WP_012415800)
      1 VFG011356(gb|WP_039051777)
      3 VFG011933(gb|WP_011731940)
      1 VFG012004(gb|WP_002869093)
     41 VFG012095(gb|WP_003435012)
     22 VFG012096(gb|WP_011722916)
      1 VFG012098(gb|WP_003454479)
     19 VFG012099(gb|WP_011100542)
     18 VFG012101(gb|WP_010965990)
      9 VFG012102(gb|WP_011967678)
     92 VFG012103(gb|WP_003514589)
      1 VFG012113(gb|WP_003520265)
      4 VFG012274(gb|WP_000044708)
      4 VFG012281(gb|WP_000695567)
      4 VFG012288(gb|WP_000824098)
     13 VFG012295(gb|WP_000066559)
      2 VFG012302(gb|WP_000120951)
      6 VFG012351(gb|WP_000397940)
      2 VFG012571
      7 VFG012572(gb|WP_000555630)
     15 VFG012577(gb|WP_000983702)
      2 VFG012582(gb|WP_001101732)
      2 VFG012587(gb|WP_000968121)
      6 VFG012624(gb|WP_000189357)
      3 VFG012633(gb|WP_000792545)
      2 VFG012865
      2 VFG012906(gb|WP_000820139)
      3 VFG012912(gb|WP_000094969)
      2 VFG012917(gb|WP_001034108)
      4 VFG012984(gb|WP_001007145)
      2 VFG012991(gb|WP_000381303)
      1 VFG013009(gb|WP_001034900)
      1 VFG013016(gb|NP_706448)
      2 VFG013087(gb|WP_005027201)
      2 VFG013102(gb|WP_011961745)
      4 VFG013121(gb|WP_012055031)
      2 VFG013249(gb|WP_011271803)
      5 VFG013260(gb|WP_010868968)
      1 VFG013278(gb|WP_012054926)
      2 VFG013283(gb|WP_005686700)
      2 VFG013287(gb|WP_005688951)
      2 VFG013288(gb|WP_011961728)
      4 VFG013290(gb|WP_010944774)
      1 VFG013301(gb|WP_012055077)
      1 VFG013323(gb|WP_012054609)
      1 VFG013350(gb|WP_010945286)
      3 VFG013372(gb|WP_010944658)
      2 VFG013391(gb|WP_011272366)
      2 VFG013397(gb|WP_012054514)
      2 VFG013427(gb|WP_080357098)
     35 VFG013434(gb|WP_010945082)
      1 VFG013445(gb|WP_041174792)
      3 VFG013464(gb|WP_011609611)
      1 VFG013506(gb|WP_012054732)
      7 VFG013530(gb|WP_010869249)
      2 VFG013532(gb|WP_012054417)
      2 VFG013534(gb|WP_010944436)
      1 VFG013548(gb|WP_011272335)
      2 VFG013585(gb|WP_011961755)
      2 VFG013619(gb|WP_032828367)
      1 VFG013732(gb|WP_006769637)
      2 VFG013733(gb|WP_003854229)
      3 VFG013901(gb|WP_004654396)
      1 VFG013907(gb|WP_004373763)
      4 VFG013908(gb|WP_011914970)
      3 VFG014061(gb|WP_012074001)
      3 VFG014129(gb|WP_003150889)
      1 VFG014357(gb|WP_003152329)
      7 VFG014366(gb|WP_003222863)
      8 VFG014386(gb|WP_011268444)
      1 VFG014389(gb|WP_012051624)
      5 VFG014439(gb|WP_011169091)
      2 VFG014440(gb|WP_010955089)
      3 VFG014600(gb|WP_011333069)
      8 VFG014690(gb|WP_011058929)
      4 VFG014844(gb|WP_012074763)
      1 VFG014851(gb|WP_011535591)
      1 VFG014852(gb|WP_011059369)
      4 VFG014854(gb|WP_011921099)
      2 VFG014855
      1 VFG014951(gb|WP_012077033)
      1 VFG014953(gb|WP_005764764)
      1 VFG014957(gb|WP_012053604)
      7 VFG014961(gb|WP_003245464)
     11 VFG014984(gb|NP_253136)
      2 VFG014985(gb|WP_012077206)
      2 VFG014987(gb|WP_003377590)
      1 VFG014988(gb|WP_003340656)
     12 VFG014992(gb|WP_011535570)
      3 VFG014993(gb|WP_011059287)
      1 VFG015068(gb|WP_003156446)
      2 VFG015075(gb|WP_011532652)
      7 VFG015077(gb|WP_041475601)
      3 VFG015493(gb|WP_011269330)
      2 VFG015494(gb|WP_011167352)
      5 VFG015495(gb|WP_049586082)
      1 VFG015496(gb|WP_012052412)
      5 VFG015497(gb|WP_011064261)
      2 VFG015498(gb|WP_012018669)
      1 VFG015677(gb|WP_012315528)
      4 VFG015753(gb|WP_012312809)
      1 VFG015759(gb|WP_012312806)
      1 VFG015821(gb|WP_012315374)
      1 VFG016021(gb|WP_003148545)
      1 VFG016023(gb|WP_011103875)
      2 VFG016027(gb|WP_041168379)
      2 VFG016108(gb|WP_011061774)
      1 VFG016184(gb|WP_005762826)
      4 VFG016186(gb|WP_005762824)
      3 VFG016377(gb|WP_000286451)
      2 VFG016380(gb|WP_000609547)
     28 VFG016387(gb|WP_000996578)
      1 VFG016394(gb|WP_000608671)
      2 VFG016401(gb|WP_000122128)
      2 VFG016416(gb|WP_000060578)
      1 VFG016455(gb|WP_041593683)
      1 VFG016470(gb|WP_011290436)
     80 VFG016483(gb|WP_010875022)
      8 VFG016484(gb|WP_009885583)
    189 VFG016485(gb|WP_011113468)
     11 VFG016489(gb|WP_011264744)
     37 VFG016490(gb|NP_975163)
     74 VFG016491(gb|WP_011076858)
