      2 VFG000079(gb|NP_463763)
     16 VFG000143(gb|NP_253699)
      3 VFG000331(gb|WP_005693548)
      4 VFG000332(gb|WP_005632797)
    317 VFG000477(gb|NP_461845)
     88 VFG000478(gb|NP_459678)
      1 VFG000694(gb|AAP42187)
      6 VFG000874(gb|WP_000824100)
     30 VFG000876(gb|WP_000120946)
    171 VFG000923(gb|WP_001034892)
    105 VFG000924(gb|WP_001234311)
     22 VFG000925(gb|WP_000140634)
    528 VFG000927(gb|WP_000096764)
      3 VFG000928(gb|WP_000640938)
      7 VFG000929(gb|WP_001375021)
     51 VFG000930(gb|WP_000077767)
      2 VFG000931(gb|WP_001336900)
     24 VFG000932(gb|WP_000026784)
      4 VFG000933(gb|WP_001007140)
      6 VFG000934(gb|WP_000348393)
      4 VFG001269(gb|WP_010929996)
      1 VFG001376(gb|WP_000695335)
      4 VFG001443(gb|AAF37887)
     38 VFG001444(gb|AAG10151)
      1 VFG001855(gb|WP_197535493)
      1 VFG001921(gb|YP_002344720)
      1 VFG001967(gb|YP_002344822)
      4 VFG002027(gb|YP_002344541)
     37 VFG002046(gb|WP_000135089)
     46 VFG002047(gb|WP_000498818)
     10 VFG002049(gb|WP_001173470)
      1 VFG002054(gb|WP_000633233)
      1 VFG002055(gb|WP_000097229)
     81 VFG002056
      1 VFG002093(gb|WP_000108140)
      2 VFG002172(gb|WP_010710127)
      1 VFG002270(gb|WP_011180104)
     21 VFG002274(gb|WP_011009584)
     34 VFG002275(gb|WP_003467630)
     10 VFG002276(gb|WP_011009653)
     60 VFG002277(gb|WP_011009663)
     41 VFG002278(gb|WP_011010095)
     12 VFG002279(gb|WP_003467250)
     24 VFG002280(gb|WP_011010361)
     62 VFG002281(gb|WP_003468301)
      2 VFG002282(gb|WP_041707714)
     12 VFG002283(gb|WP_011009995)
     35 VFG002284(gb|WP_011009886)
      6 VFG002285(gb|WP_011590492)
      1 VFG002361(gb|WP_011816867)
     10 VFG002965(gb|WP_011302064)
      3 VFG002966(gb|WP_011274717)
      9 VFG005020(gb|WP_011274718)
      9 VFG005065
      1 VFG005097(gb|WP_011274725)
      4 VFG005191(gb|WP_011681101)
      2 VFG005323(gb|WP_011225268)
      4 VFG005324(gb|WP_082302295)
      4 VFG005347(gb|WP_002986042)
      1 VFG005352(gb|WP_002986042)
      8 VFG005353(gb|WP_000260656)
     12 VFG005359(gb|WP_002899102)
     17 VFG005360(gb|WP_002262489)
      1 VFG005382(gb|WP_011681303)
      2 VFG005384(gb|WP_011836784)
      2 VFG005388
      2 VFG005392(gb|WP_011836622)
      2 VFG005393(gb|WP_002352262)
      2 VFG005486(gb|WP_000417180)
      2 VFG005549(gb|WP_000116477)
      2 VFG005556(gb|WP_011680653)
      2 VFG005579(gb|WP_000022815)
     14 VFG005582(gb|WP_002897814)
      3 VFG005874(gb|WP_002986125)
      5 VFG005920(gb|WP_000750328)
      1 VFG005937(gb|WP_002261978)
      4 VFG005940(gb|WP_011681171)
      4 VFG005946(gb|WP_011837185)
      2 VFG005952(gb|WP_011681172)
      9 VFG005964(gb|WP_011681173)
      3 VFG005976(gb|WP_011681174)
      2 VFG005985(gb|WP_002263085)
     10 VFG005988(gb|WP_011681175)
     13 VFG005992(gb|WP_000685095)
      2 VFG005994(gb|WP_011837189)
      1 VFG005997(gb|WP_002263084)
      1 VFG006000(gb|WP_011681176)
      1 VFG006004(gb|WP_001819836)
      4 VFG006009(gb|WP_011227247)
     15 VFG006011(gb|WP_011681177)
      2 VFG006015(gb|WP_000676152)
      2 VFG006020(gb|WP_011227248)
      9 VFG006022(gb|WP_002947383)
     16 VFG006031(gb|WP_011226045)
      3 VFG006040(gb|WP_011226046)
      4 VFG006041(gb|WP_011681286)
