     23 VFG000079(gb|NP_463763)
      3 VFG000080(gb|NP_464522)
      2 VFG000923(gb|WP_001034892)
      1 VFG000924(gb|WP_001234311)
      2 VFG000925(gb|WP_000140634)
      4 VFG000926(gb|WP_001443194)
      2 VFG000928(gb|WP_000640938)
      3 VFG001269(gb|WP_010929996)
     13 VFG001348(gb|WP_000659580)
      2 VFG001443(gb|AAF37887)
      3 VFG001969(gb|YP_002344824)
      1 VFG002182(gb|WP_002376666)
     10 VFG002965(gb|WP_011302064)
      1 VFG002966(gb|WP_011274717)
      1 VFG005042(gb|WP_011274720)
      1 VFG005065
      5 VFG005352(gb|WP_002986042)
      1 VFG005353(gb|WP_000260656)
      4 VFG005359(gb|WP_002899102)
      6 VFG005360(gb|WP_002262489)
      2 VFG005383(gb|WP_011836786)
      3 VFG005386
      5 VFG005388
      6 VFG005862(gb|WP_009659423)
      1 VFG005952(gb|WP_011681172)
     23 VFG005992(gb|WP_000685095)
      3 VFG005997(gb|WP_002263084)
      2 VFG006004(gb|WP_001819836)
      1 VFG006009(gb|WP_011227247)
      4 VFG006011(gb|WP_011681177)
      4 VFG006031(gb|WP_011226045)
      2 VFG006040(gb|WP_011226046)
      3 VFG006053(gb|WP_011226048)
      3 VFG006059(gb|WP_011681436)
      2 VFG006062(gb|WP_002947383)
      1 VFG006068(gb|WP_002902061)
      2 VFG006071(gb|WP_011681439)
      1 VFG006072(gb|WP_002902060)
      4 VFG006075(gb|WP_011681440)
      6 VFG006079(gb|WP_011681442)
      1 VFG006809(gb|WP_011703166)
      4 VFG007656(gb|WP_011078838)
     13 VFG007657(gb|WP_043877045)
      1 VFG007658(gb|WP_011149273)
      1 VFG007659(gb|WP_011261022)
      1 VFG007874(gb|WP_011780330)
      2 VFG009135(gb|YP_005360856)
      1 VFG009230(gb|WP_041307902)
      2 VFG009244(gb|WP_011893656)
      1 VFG009720(gb|WP_011779686)
      1 VFG009806(gb|WP_036377334)
      1 VFG009928(gb|WP_003894345)
      2 VFG010485(gb|WP_197535493)
      1 VFG010758(gb|WP_025520099)
      1 VFG011813(gb|WP_002850283)
      9 VFG011933(gb|WP_011731940)
      2 VFG012095(gb|WP_003435012)
     11 VFG012096(gb|WP_011722916)
      8 VFG012097(gb|WP_003462314)
     10 VFG012098(gb|WP_003454479)
      5 VFG012099(gb|WP_011100542)
     11 VFG012101(gb|WP_010965990)
      2 VFG012102(gb|WP_011967678)
     28 VFG012103(gb|WP_003514589)
      1 VFG012577(gb|WP_000983702)
      6 VFG012865
      1 VFG013260(gb|WP_010868968)
      5 VFG013368(gb|WP_005693225)
      1 VFG013672(gb|WP_010934130)
      1 VFG013717(gb|WP_006769628)
      2 VFG013733(gb|WP_003854229)
      1 VFG013734(gb|WP_011013698)
      1 VFG013899(gb|WP_003377212)
      1 VFG014364(gb|WP_011534913)
      1 VFG014366(gb|WP_003222863)
      3 VFG014387(gb|WP_004664453)
      1 VFG014451(gb|WP_011268440)
      1 VFG014851(gb|WP_011535591)
      1 VFG014853(gb|WP_011332552)
      1 VFG014951(gb|WP_012077033)
      4 VFG014961(gb|WP_003245464)
      1 VFG014987(gb|WP_003377590)
      1 VFG014992(gb|WP_011535570)
      1 VFG014993(gb|WP_011059287)
      2 VFG014996(gb|WP_011912236)
      6 VFG015077(gb|WP_041475601)
      3 VFG015497(gb|WP_011064261)
      1 VFG015498(gb|WP_012018669)
      1 VFG015689(gb|WP_012315522)
      1 VFG015711(gb|WP_012315508)
      1 VFG015753(gb|WP_012312809)
      1 VFG015806(gb|WP_012314365)
      2 VFG015908(gb|WP_164920478)
     13 VFG016025(gb|WP_005753277)
      1 VFG016119(gb|WP_011061772)
      1 VFG016242(gb|WP_000995363)
      2 VFG016382(gb|WP_000757832)
     16 VFG016387(gb|WP_000996578)
      2 VFG016401(gb|WP_000122128)
      5 VFG016417(gb|WP_000757774)
     13 VFG016483(gb|WP_010875022)
     18 VFG016484(gb|WP_009885583)
     39 VFG016485(gb|WP_011113468)
      2 VFG016489(gb|WP_011264744)
      9 VFG016490(gb|NP_975163)
     28 VFG016491(gb|WP_011076858)
     16 VFG016492(gb|WP_010925206)
      5 VFG016493(gb|WP_011283803)
     70 VFG016494(gb|WP_004024476)
      1 VFG016495(gb|WP_011166362)
      1 VFG016784(gb|WP_005767817)
      3 VFG016861(gb|WP_010882971)
      3 VFG016866(gb|WP_011006421)
      1 VFG017822(gb|WP_011989719)
      1 VFG017990(gb|WP_012006776)
      4 VFG018001(gb|WP_002866148)
      3 VFG018652(gb|WP_006154814)
     53 VFG018662(gb|WP_012130507)
      2 VFG019072(gb|WP_000405234)
      2 VFG019077(gb|WP_000260685)
      1 VFG019117(gb|WP_001005725)
      1 VFG019127(gb|WP_000723325)
      9 VFG019134(gb|WP_012422966)
      4 VFG019781(gb|WP_012613866)
      5 VFG019824(gb|WP_015885197)
      1 VFG019900(gb|WP_012722328)
      2 VFG022866(gb|WP_013829374)
      1 VFG023800(gb|WP_071822701)
      1 VFG024128(gb|WP_026071295)
      1 VFG024680(gb|WP_085978051)
      3 VFG025294(gb|WP_009896189)
      3 VFG026964(gb|WP_015290883)
      1 VFG029485(gb|WP_010908937)
      2 VFG029506(gb|WP_011891286)
      2 VFG029516(gb|WP_015292076)
      1 VFG029829(gb|WP_014000873)
      1 VFG030679(gb|WP_011730288)
      2 VFG030684(gb|WP_011781637)
      2 VFG030692(gb|WP_013828150)
      1 VFG030694(gb|WP_013471930)
      2 VFG030706(gb|WP_005059672)
      1 VFG031037(gb|WP_010908991)
      4 VFG031039(gb|WP_011726364)
      8 VFG031043(gb|WP_085976227)
      4 VFG031084(gb|WP_041312930)
      1 VFG031352(gb|WP_010949941)
      2 VFG031400(gb|WP_085979799)
      1 VFG031404(gb|WP_085981087)
      1 VFG031466(gb|WP_041309748)
      1 VFG031961(gb|WP_012985768)
      1 VFG032519(gb|WP_012986167)
      1 VFG032961(gb|WP_003723735)
      2 VFG033155(gb|WP_000006213)
      1 VFG033987(gb|WP_001287500)
      2 VFG035135(gb|WP_000686687)
      1 VFG035204(gb|WP_001529381)
      2 VFG035486(gb|WP_001298186)
      2 VFG035810(gb|WP_001142963)
      1 VFG035872(gb|WP_000513317)
      2 VFG035888(gb|WP_001298174)
      2 VFG035969(gb|WP_011579121)
      2 VFG036009(gb|WP_000556469)
      2 VFG036295(gb|WP_003710978)
      1 VFG037938(gb|WP_000104825)
      2 VFG038016(gb|WP_001083066)
      4 VFG038279(gb|WP_005338295)
      4 VFG038396(gb|WP_005310704)
      1 VFG038398(gb|WP_005310706)
      1 VFG038589(gb|WP_011704368)
     17 VFG038681(gb|WP_005334720)
      3 VFG038687(gb|WP_016350057)
      1 VFG038766(gb|WP_005350678)
      1 VFG038916(gb|WP_011705263)
      3 VFG040920(gb|WP_004533498)
      2 VFG040947(gb|WP_000094974)
      2 VFG041020(gb|NP_250353)
      5 VFG041043(gb|NP_251061)
     10 VFG041222(gb|WP_012907484)
      1 VFG041790(gb|WP_011176690)
      1 VFG041798(gb|WP_011176684)
      2 VFG042715(gb|WP_000123651)
      4 VFG042830(gb|WP_003451114)
      1 VFG043040(gb|NP_460876)
      2 VFG043077(gb|WP_000885860)
      2 VFG043080(gb|WP_001295442)
      2 VFG043081(gb|WP_000589319)
      1 VFG043085(gb|WP_001259575)
      1 VFG043086(gb|WP_000067016)
      2 VFG043087(gb|WP_001278933)
      2 VFG043092(gb|WP_010904770)
      2 VFG043120(gb|WP_000615801)
      4 VFG043309(gb|WP_011860706)
      2 VFG043469(gb|YP_001201070)
      1 VFG043479(gb|AAD53408)
     22 VFG043550(gb|NP_214954)
      1 VFG043573(gb|NP_219906)
      4 VFG043593(gb|WP_000078946)
      4 VFG043609(gb|AAG18638)
      9 VFG044130(gb|WP_005874678)
     27 VFG044131(gb|WP_005874564)
      1 VFG044172(gb|WP_000622316)
      7 VFG044225(gb|WP_011533698)
      1 VFG044310(gb|WP_006486076)
      3 VFG044314(gb|WP_012492604)
      1 VFG044315(gb|WP_012492605)
      2 VFG045692(gb|WP_197532029)
     30 VFG046458(gb|WP_003024794)
     11 VFG046459(gb|WP_004287053)
     15 VFG046467(gb|WP_014548920)
     10 VFG046470(gb|WP_014548920)
      4 VFG046474(gb|WP_014714676)
    173 VFG046475(gb|WP_013922406)
      1 VFG046612(gb|WP_014548584)
      1 VFG046756(gb|WP_013922878)
     39 VFG047048(gb|WP_014714814)
      1 VFG047198(gb|WP_012280617)
      2 VFG047573(gb|WP_014714487)
      2 VFG047710(gb|WP_014547360)
      2 VFG048789(gb|WP_014838943)
     13 VFG048790(gb|WP_014230056)
      2 VFG048822(gb|WP_004122480)
      2 VFG048823(gb|WP_014230059)
      1 VFG048826(gb|YP_005227857)
      1 VFG048973(gb|WP_000704907)
      1 VFG048986(gb|WP_004144150)
      3 VFG049103(gb|WP_004175258)
      5 VFG049107(gb|WP_015958694)
      1 VFG049120(gb|WP_012737535)
      2 VFG050157(gb|WP_001331698)
      2 VFG050158(gb|WP_000905916)
      2 VFG050161(gb|WP_000579525)
      2 VFG050173(gb|WP_000702222)
      1 VFG050194(gb|WP_000996524)
      3 VFG050205(gb|WP_000122126)
