      1 VFG000077(gb|NP_465991)
     20 VFG000079(gb|NP_463763)
      1 VFG000080(gb|NP_464522)
      2 VFG000335(gb|WP_010869142)
      1 VFG000342
      3 VFG001269(gb|WP_010929996)
      2 VFG001373(gb|WP_000758382)
      2 VFG001374(gb|WP_000077424)
      1 VFG001375(gb|WP_000594468)
      1 VFG001888(gb|WP_010947629)
      3 VFG002376(gb|WP_005167723)
      5 VFG002965(gb|WP_011302064)
      6 VFG002966(gb|WP_011274717)
      1 VFG003406(gb|WP_011191889)
      4 VFG005347(gb|WP_002986042)
      3 VFG005352(gb|WP_002986042)
      1 VFG005359(gb|WP_002899102)
      4 VFG005360(gb|WP_002262489)
      1 VFG005388
      1 VFG005389(gb|WP_011836739)
      2 VFG005490(gb|WP_000472995)
      2 VFG005580(gb|WP_000022813)
      2 VFG005803(gb|WP_000477136)
      4 VFG005862(gb|WP_009659423)
      1 VFG005898(gb|WP_002904719)
      1 VFG005940(gb|WP_011681171)
      1 VFG005952(gb|WP_011681172)
      2 VFG005973(gb|WP_002263087)
      2 VFG005976(gb|WP_011681174)
      5 VFG005988(gb|WP_011681175)
     11 VFG005992(gb|WP_000685095)
      4 VFG005997(gb|WP_002263084)
      1 VFG006004(gb|WP_001819836)
      4 VFG006009(gb|WP_011227247)
      4 VFG006011(gb|WP_011681177)
      5 VFG006022(gb|WP_002947383)
      2 VFG006057(gb|WP_011227426)
      5 VFG006072(gb|WP_002902060)
      2 VFG006074(gb|WP_011226325)
      2 VFG006077(gb|WP_011227431)
      2 VFG006078(gb|WP_002948022)
      2 VFG006086(gb|WP_011226328)
      2 VFG006089(gb|WP_011681446)
      1 VFG007257(gb|WP_005482130)
      1 VFG007639(gb|WP_043920918)
      1 VFG007640(gb|WP_043877039)
      1 VFG007656(gb|WP_011078838)
      2 VFG007657(gb|WP_043877045)
      3 VFG007658(gb|WP_011149273)
      2 VFG007659(gb|WP_011261022)
      1 VFG007660(gb|WP_011149274)
      1 VFG007914(gb|WP_011780329)
      1 VFG008170(gb|WP_011726511)
      2 VFG009608(gb|WP_011730341)
      1 VFG009718(gb|WP_011728563)
      2 VFG009720(gb|WP_011779686)
      2 VFG009721(gb|WP_083044596)
      1 VFG009859(gb|WP_003872811)
      2 VFG009865(gb|WP_041307013)
      1 VFG009924(gb|WP_003877578)
      2 VFG011813(gb|WP_002850283)
      1 VFG011933(gb|WP_011731940)
      1 VFG012068(gb|WP_002850222)
     19 VFG012095(gb|WP_003435012)
      8 VFG012096(gb|WP_011722916)
      1 VFG012097(gb|WP_003462314)
     10 VFG012099(gb|WP_011100542)
     20 VFG012101(gb|WP_010965990)
     17 VFG012102(gb|WP_011967678)
     47 VFG012103(gb|WP_003514589)
      1 VFG012113(gb|WP_003520265)
      5 VFG012865
      1 VFG013108(gb|WP_005686722)
      1 VFG013130(gb|WP_010945652)
      3 VFG013155(gb|WP_012341780)
      5 VFG013178(gb|WP_012341378)
      1 VFG013288(gb|WP_011961728)
      1 VFG013329(gb|WP_005685920)
      2 VFG013368(gb|WP_005693225)
      1 VFG013464(gb|WP_011609611)
      1 VFG013733(gb|WP_003854229)
      1 VFG013734(gb|WP_011013698)
      1 VFG013982(gb|WP_012018944)
      1 VFG014129(gb|WP_003150889)
      3 VFG014135(gb|WP_025297832)
      2 VFG014364(gb|WP_011534913)
      1 VFG014367(gb|WP_012019027)
      3 VFG014844(gb|WP_012074763)
      5 VFG014851(gb|WP_011535591)
      1 VFG014854(gb|WP_011921099)
      3 VFG014905(gb|WP_196240458)
      1 VFG014952(gb|WP_003140933)
      2 VFG015068(gb|WP_003156446)
