      5 VFG000077(gb|NP_465991)
     45 VFG000079(gb|NP_463763)
      5 VFG000080(gb|NP_464522)
      5 VFG000331(gb|WP_005693548)
      1 VFG000477(gb|NP_461845)
      1 VFG000478(gb|NP_459678)
      2 VFG000873(gb|WP_000695571)
      4 VFG000903(gb|WP_001045652)
      4 VFG000927(gb|WP_000096764)
      2 VFG000929(gb|WP_001375021)
      5 VFG001269(gb|WP_010929996)
      1 VFG001344(gb|WP_000612460)
      2 VFG001362(gb|WP_000088129)
     10 VFG001373(gb|WP_000758382)
      2 VFG001374(gb|WP_000077424)
      6 VFG001376(gb|WP_000695335)
      2 VFG001444(gb|AAG10151)
      1 VFG001855(gb|WP_197535493)
      2 VFG001888(gb|WP_010947629)
      2 VFG001967(gb|YP_002344822)
      1 VFG001969(gb|YP_002344824)
      1 VFG002053(gb|WP_001250462)
      1 VFG002182(gb|WP_002376666)
      2 VFG002365(gb|WP_005167740)
     12 VFG002377(gb|WP_005167721)
      1 VFG002965(gb|WP_011302064)
      4 VFG002966(gb|WP_011274717)
     11 VFG005020(gb|WP_011274718)
      2 VFG005021(gb|WP_011302065)
      1 VFG005032(gb|WP_011302066)
      3 VFG005065
      1 VFG005186(gb|YP_001198858)
      6 VFG005347(gb|WP_002986042)
      7 VFG005352(gb|WP_002986042)
      2 VFG005353(gb|WP_000260656)
      8 VFG005359(gb|WP_002899102)
      4 VFG005360(gb|WP_002262489)
      2 VFG005362(gb|WP_011836421)
      1 VFG005382(gb|WP_011681303)
      2 VFG005392(gb|WP_011836622)
      2 VFG005486(gb|WP_000417180)
      2 VFG005530(gb|WP_000681597)
      1 VFG005547(gb|WP_000107749)
      1 VFG005552(gb|WP_011837486)
      4 VFG005850(gb|WP_002990653)
      4 VFG005874(gb|WP_002986125)
      3 VFG005898(gb|WP_002904719)
      1 VFG005939(gb|WP_041828375)
      1 VFG005940(gb|WP_011681171)
      8 VFG005952(gb|WP_011681172)
      8 VFG005964(gb|WP_011681173)
      8 VFG005992(gb|WP_000685095)
      5 VFG005997(gb|WP_002263084)
      1 VFG006004(gb|WP_001819836)
      1 VFG006010
      6 VFG006015(gb|WP_000676152)
      1 VFG006068(gb|WP_002902061)
      1 VFG006072(gb|WP_002902060)
      2 VFG006074(gb|WP_011226325)
      2 VFG006075(gb|WP_011681440)
      4 VFG006079(gb|WP_011681442)
     13 VFG006083(gb|WP_011681443)
      8 VFG006334(gb|WP_002236579)
      1 VFG006720(gb|WP_011702434)
     10 VFG007394(gb|WP_000840982)
      3 VFG007597(gb|WP_011262354)
      7 VFG007639(gb|WP_043920918)
      3 VFG007656(gb|WP_011078838)
      2 VFG007657(gb|WP_043877045)
      4 VFG007658(gb|WP_011149273)
      1 VFG007659(gb|WP_011261022)
      2 VFG007660(gb|WP_011149274)
      1 VFG007661(gb|WP_011261023)
      1 VFG007793(gb|WP_014000413)
      1 VFG007910
      1 VFG007914(gb|WP_011780329)
      1 VFG008277(gb|WP_011777397)
      1 VFG009028(gb|WP_005062111)
      1 VFG009161(gb|WP_005067995)
      3 VFG009303(gb|WP_011782503)
      3 VFG009313(gb|WP_003875613)
      1 VFG009314(gb|WP_010907615)
      1 VFG009404(gb|WP_010908031)
      1 VFG009718(gb|WP_011728563)
      2 VFG009720(gb|WP_011779686)
      1 VFG009865(gb|WP_041307013)
      4 VFG009928(gb|WP_003894345)
      1 VFG010758(gb|WP_025520099)
      3 VFG011721(gb|WP_002860361)
      4 VFG011813(gb|WP_002850283)
      2 VFG011933(gb|WP_011731940)
     14 VFG012095(gb|WP_003435012)
     36 VFG012096(gb|WP_011722916)
     22 VFG012099(gb|WP_011100542)
     18 VFG012101(gb|WP_010965990)
     10 VFG012102(gb|WP_011967678)
    133 VFG012103(gb|WP_003514589)
      1 VFG012105(gb|WP_011722031)
      4 VFG012865
      2 VFG012900(gb|WP_001173438)
      1 VFG013154(gb|WP_012340419)
      1 VFG013155(gb|WP_012341780)
      2 VFG013248(gb|WP_010868928)
      7 VFG013260(gb|WP_010868968)
      2 VFG013286(gb|WP_005694325)
      1 VFG013311(gb|WP_012054649)
      4 VFG013368(gb|WP_005693225)
      1 VFG013409(gb|WP_012055407)
     17 VFG013464(gb|WP_011609611)
      2 VFG013476(gb|WP_032828451)
      2 VFG013530(gb|WP_010869249)
      1 VFG013535(gb|WP_011609092)
      7 VFG013733(gb|WP_003854229)
      2 VFG013906(gb|WP_007953348)
      1 VFG013914(gb|WP_011168499)
      9 VFG014129(gb|WP_003150889)
      8 VFG014135(gb|WP_025297832)
      1 VFG014137(gb|WP_003138472)
      2 VFG014359(gb|WP_003382141)
      8 VFG014360(gb|WP_003316803)
      1 VFG014362(gb|WP_010955093)
      1 VFG014363(gb|WP_003254443)
      2 VFG014364(gb|WP_011534913)
      3 VFG014368(gb|WP_014597048)
      1 VFG014392(gb|WP_011333047)
      4 VFG014394(gb|WP_041755564)
      2 VFG014440(gb|WP_010955089)
      2 VFG014455(gb|WP_011534906)
      1 VFG014591(gb|WP_003155638)
      2 VFG014602(gb|WP_017243981)
      1 VFG014690(gb|WP_011058929)
      2 VFG014847(gb|WP_011266795)
      1 VFG014850(gb|WP_012053676)
      2 VFG014851(gb|WP_011535591)
      1 VFG014853(gb|WP_011332552)
      2 VFG014854(gb|WP_011921099)
      1 VFG014902(gb|WP_011064224)
      4 VFG014961(gb|WP_003245464)
      1 VFG014987(gb|WP_003377590)
      5 VFG015068(gb|WP_003156446)
     14 VFG015071(gb|WP_011268595)
      1 VFG015072(gb|WP_011169248)
      5 VFG015076(gb|WP_011062714)
     16 VFG015077(gb|WP_041475601)
      2 VFG015235(gb|WP_004666085)
      5 VFG015494(gb|WP_011167352)
      1 VFG015495(gb|WP_049586082)
      1 VFG015498(gb|WP_012018669)
      8 VFG015676(gb|WP_012273513)
      4 VFG015677(gb|WP_012315528)
      2 VFG015753(gb|WP_012312809)
      1 VFG015759(gb|WP_012312806)
      2 VFG015783(gb|WP_012313127)
      2 VFG015805(gb|WP_012272402)
      3 VFG016166(gb|WP_003372869)
      3 VFG016184(gb|WP_005762826)
      4 VFG016377(gb|WP_000286451)
      4 VFG016380(gb|WP_000609547)
      1 VFG016381(gb|WP_033685340)
      2 VFG016382(gb|WP_000757832)
      8 VFG016387(gb|WP_000996578)
      7 VFG016391(gb|WP_000276545)
      2 VFG016399(gb|WP_001257886)
      1 VFG016417(gb|WP_000757774)
      1 VFG016432(gb|WP_000059856)
     13 VFG016450(gb|WP_011076982)
     11 VFG016455(gb|WP_041593683)
      1 VFG016470(gb|WP_011290436)
     11 VFG016483(gb|WP_010875022)
     13 VFG016484(gb|WP_009885583)
     57 VFG016485(gb|WP_011113468)
     25 VFG016489(gb|WP_011264744)
     30 VFG016490(gb|NP_975163)
     66 VFG016491(gb|WP_011076858)
     19 VFG016492(gb|WP_010925206)
     93 VFG016493(gb|WP_011283803)
     48 VFG016494(gb|WP_004024476)
      6 VFG016495(gb|WP_011166362)
      1 VFG016532(gb|NP_975942)
      1 VFG016767(gb|WP_005767758)
      1 VFG016860(gb|WP_010230254)
      1 VFG016866(gb|WP_011006421)
      5 VFG017753(gb|WP_011990756)
      5 VFG017974
      1 VFG018002(gb|WP_002866149)
    243 VFG018652(gb|WP_006154814)
      4 VFG018661(gb|WP_011999924)
      3 VFG018662(gb|WP_012130507)
      9 VFG018664(gb|WP_012000426)
      2 VFG018674(gb|WP_008809635)
      4 VFG018675(gb|WP_041789920)
      1 VFG019077(gb|WP_000260685)
      1 VFG019078(gb|WP_000260667)
      1 VFG019116(gb|WP_000358336)
      3 VFG019118(gb|WP_000861662)
      7 VFG019132(gb|WP_012343546)
     40 VFG019134(gb|WP_012422966)
      3 VFG019140(gb|WP_012423869)
      1 VFG019760(gb|WP_012722471)
      1 VFG019824(gb|WP_015885197)
      1 VFG021794(gb|WP_013240890)
      1 VFG022358(gb|YP_001704810)
      3 VFG022670(gb|WP_013831099)
      2 VFG022786(gb|WP_013828471)
      7 VFG022866(gb|WP_013829374)
      1 VFG023546(gb|YP_001703132)
      5 VFG023552(gb|WP_193374428)
      1 VFG023641(gb|WP_005160385)
      6 VFG025294(gb|WP_009896189)
      3 VFG025654(gb|WP_009893444)
      6 VFG026291(gb|WP_011694187)
      2 VFG027180(gb|WP_198345124)
      2 VFG029496(gb|WP_011777879)
      1 VFG030679(gb|WP_011730288)
      1 VFG030681(gb|WP_011561359)
      1 VFG030684(gb|WP_011781637)
      6 VFG030692(gb|WP_013828150)
      1 VFG030694(gb|WP_013471930)
      1 VFG030724(gb|WP_015308640)
      1 VFG030989(gb|WP_011892407)
      1 VFG031037(gb|WP_010908991)
      3 VFG031061(gb|WP_009952664)
      1 VFG031084(gb|WP_041312930)
      2 VFG031364(gb|WP_081465670)
      4 VFG031404(gb|WP_085981087)
      1 VFG031409
      1 VFG031466(gb|WP_041309748)
      3 VFG031744(gb|WP_013827421)
      4 VFG031961(gb|WP_012985768)
      2 VFG032954(gb|WP_003730391)
      1 VFG032991(gb|WP_010990928)
      2 VFG033900(gb|WP_001519143)
      4 VFG034098(gb|WP_000623046)
      2 VFG034686(gb|WP_000556298)
      2 VFG035102(gb|WP_001350147)
      2 VFG035296(gb|WP_000484008)
      4 VFG035940(gb|WP_001033292)
      6 VFG036031(gb|WP_000554183)
      1 VFG036493(gb|WP_015815701)
      2 VFG037041(gb|WP_014581728)
      4 VFG037726(gb|WP_001027059)
      5 VFG037890(gb|WP_001165098)
      1 VFG037895(gb|WP_001175098)
      1 VFG037897(gb|WP_001165095)
      1 VFG037903(gb|WP_001175102)
      1 VFG037905(gb|WP_000102101)
      2 VFG037910(gb|WP_000085124)
      1 VFG037923(gb|WP_000699387)
      3 VFG037938(gb|WP_000104825)
      3 VFG037990(gb|WP_000705810)
      2 VFG038016(gb|WP_001083066)
      2 VFG038396(gb|WP_005310704)
      2 VFG038397(gb|WP_011705722)
      1 VFG038466(gb|WP_005340354)
      1 VFG038535(gb|WP_013723952)
      1 VFG038591(gb|WP_005348611)
      2 VFG038681(gb|WP_005334720)
      1 VFG038685(gb|WP_013723549)
      2 VFG038712(gb|WP_005319287)
