      3 VFG000079(gb|NP_463763)
      4 VFG000332(gb|WP_005632797)
      2 VFG001269(gb|WP_010929996)
      1 VFG001317(gb|WP_001041586)
      5 VFG001348(gb|WP_000659580)
      1 VFG001373(gb|WP_000758382)
      1 VFG001376(gb|WP_000695335)
      3 VFG001967(gb|YP_002344822)
     13 VFG002084(gb|WP_000619136)
      1 VFG002182(gb|WP_002376666)
      2 VFG002965(gb|WP_011302064)
      2 VFG002966(gb|WP_011274717)
      2 VFG005065
      1 VFG005186(gb|YP_001198858)
      2 VFG005198(gb|WP_011836787)
      2 VFG005242(gb|WP_011837269)
      6 VFG005324(gb|WP_082302295)
     15 VFG005352(gb|WP_002986042)
      2 VFG005353(gb|WP_000260656)
     15 VFG005359(gb|WP_002899102)
      1 VFG005360(gb|WP_002262489)
      2 VFG005386
      1 VFG005388
      3 VFG005576(gb|WP_000022832)
     11 VFG005582(gb|WP_002897814)
      1 VFG005862(gb|WP_009659423)
      3 VFG005868(gb|WP_011681166)
      1 VFG005886(gb|WP_009443641)
      2 VFG005892(gb|WP_011681167)
      2 VFG005898(gb|WP_002904719)
      2 VFG005916(gb|WP_011681169)
      1 VFG005926(gb|WP_011227240)
      4 VFG005928(gb|WP_202964935)
      6 VFG005940(gb|WP_011681171)
      4 VFG005952(gb|WP_011681172)
      7 VFG005992(gb|WP_000685095)
      3 VFG005997(gb|WP_002263084)
      3 VFG006004(gb|WP_001819836)
      2 VFG006040(gb|WP_011226046)
      1 VFG006041(gb|WP_011681286)
      2 VFG006048(gb|WP_011681434)
      4 VFG006062(gb|WP_002947383)
      2 VFG006067(gb|WP_011681438)
      2 VFG006077(gb|WP_011227431)
      4 VFG006083(gb|WP_011681443)
      2 VFG006087(gb|WP_011681445)
      2 VFG006089(gb|WP_011681446)
      2 VFG006720(gb|WP_011702434)
     12 VFG006828(gb|WP_003719652)
      1 VFG007656(gb|WP_011078838)
      1 VFG007658(gb|WP_011149273)
     19 VFG007659(gb|WP_011261022)
      1 VFG007793(gb|WP_014000413)
      1 VFG007813(gb|WP_015309406)
      1 VFG008277(gb|WP_011777397)
      2 VFG009228(gb|WP_011729234)
      2 VFG009408(gb|WP_011780782)
      1 VFG009479(gb|WP_011781012)
      7 VFG009718(gb|WP_011728563)
      1 VFG009720(gb|WP_011779686)
      1 VFG009818(gb|WP_014878477)
      2 VFG009924(gb|WP_003877578)
      1 VFG011124
      8 VFG011169(gb|WP_012415800)
      1 VFG011933(gb|WP_011731940)
      6 VFG012095(gb|WP_003435012)
      5 VFG012096(gb|WP_011722916)
      3 VFG012101(gb|WP_010965990)
      3 VFG012102(gb|WP_011967678)
     15 VFG012103(gb|WP_003514589)
      1 VFG013240(gb|WP_010944364)
      3 VFG013260(gb|WP_010868968)
      2 VFG013368(gb|WP_005693225)
      2 VFG013464(gb|WP_011609611)
      1 VFG013672(gb|WP_010934130)
      1 VFG013733(gb|WP_003854229)
      6 VFG013734(gb|WP_011013698)
      5 VFG013774(gb|WP_033998207)
      1 VFG013901(gb|WP_004654396)
      1 VFG013993(gb|WP_026006503)
      4 VFG014129(gb|WP_003150889)
      2 VFG014366(gb|WP_003222863)
     17 VFG014600(gb|WP_011333069)
      1 VFG014851(gb|WP_011535591)
      1 VFG014905(gb|WP_196240458)
      1 VFG014956(gb|WP_049587369)
      1 VFG014957(gb|WP_012053604)
      4 VFG014987(gb|WP_003377590)
      1 VFG014992(gb|WP_011535570)
      5 VFG014993(gb|WP_011059287)
      1 VFG014994(gb|WP_011332484)
      1 VFG015068(gb|WP_003156446)
