      3 VFG000077(gb|NP_465991)
     15 VFG000079(gb|NP_463763)
     11 VFG000080(gb|NP_464522)
      2 VFG000431(gb|WP_000466893)
      2 VFG001248(gb|NP_249788)
      6 VFG001269(gb|WP_010929996)
      2 VFG001373(gb|WP_000758382)
      4 VFG001374(gb|WP_000077424)
      1 VFG001375(gb|WP_000594468)
     13 VFG001969(gb|YP_002344824)
      1 VFG002280(gb|WP_011010361)
      5 VFG002377(gb|WP_005167721)
     21 VFG005020(gb|WP_011274718)
      4 VFG005042(gb|WP_011274720)
      1 VFG005087(gb|WP_011302071)
      2 VFG005359(gb|WP_002899102)
      3 VFG005360(gb|WP_002262489)
      2 VFG005486(gb|WP_000417180)
      3 VFG005940(gb|WP_011681171)
      2 VFG005952(gb|WP_011681172)
     43 VFG005992(gb|WP_000685095)
      5 VFG005997(gb|WP_002263084)
      1 VFG005999(gb|WP_011226042)
      3 VFG006472(gb|WP_000724295)
      1 VFG006475(gb|WP_011578336)
      4 VFG006720(gb|WP_011702434)
      1 VFG007639(gb|WP_043920918)
      7 VFG007657(gb|WP_043877045)
      6 VFG007658(gb|WP_011149273)
      4 VFG007661(gb|WP_011261023)
      1 VFG007663(gb|WP_011149276)
      1 VFG007793(gb|WP_014000413)
      1 VFG009303(gb|WP_011782503)
      6 VFG009718(gb|WP_011728563)
      3 VFG009720(gb|WP_011779686)
      1 VFG009820(gb|WP_036377494)
      5 VFG009865(gb|WP_041307013)
      1 VFG009926(gb|WP_010907754)
      1 VFG009933(gb|WP_085975473)
      2 VFG011124
      1 VFG011813(gb|WP_002850283)
      2 VFG011937(gb|WP_002849696)
      2 VFG012066(gb|WP_002867208)
      3 VFG012095(gb|WP_003435012)
     11 VFG012096(gb|WP_011722916)
      7 VFG012097(gb|WP_003462314)
      2 VFG012098(gb|WP_003454479)
      1 VFG012099(gb|WP_011100542)
     16 VFG012101(gb|WP_010965990)
      3 VFG012102(gb|WP_011967678)
     34 VFG012103(gb|WP_003514589)
      2 VFG012113(gb|WP_003520265)
      3 VFG013260(gb|WP_010868968)
      2 VFG013261(gb|WP_011271948)
      1 VFG013779(gb|WP_011335979)
      1 VFG013985(gb|WP_012077306)
      1 VFG014129(gb|WP_003150889)
      4 VFG014135(gb|WP_025297832)
      1 VFG014137(gb|WP_003138472)
      1 VFG014364(gb|WP_011534913)
      4 VFG014368(gb|WP_014597048)
      1 VFG014439(gb|WP_011169091)
      4 VFG014602(gb|WP_017243981)
     28 VFG014847(gb|WP_011266795)
      4 VFG014851(gb|WP_011535591)
      2 VFG014952(gb|WP_003140933)
      5 VFG014955(gb|WP_011169354)
      1 VFG014961(gb|WP_003245464)
      1 VFG014962(gb|WP_011912408)
      1 VFG014984(gb|NP_253136)
      1 VFG014995(gb|WP_011921011)
     18 VFG015068(gb|WP_003156446)
     37 VFG015076(gb|WP_011062714)
      9 VFG015077(gb|WP_041475601)
      1 VFG015235(gb|WP_004666085)
      1 VFG015491(gb|WP_011979138)
      1 VFG015497(gb|WP_011064261)
      1 VFG015680(gb|WP_012273511)
      1 VFG015783(gb|WP_012313127)
      1 VFG015806(gb|WP_012314365)
      1 VFG016119(gb|WP_011061772)
      1 VFG016377(gb|WP_000286451)
      2 VFG016390(gb|WP_001109538)
      2 VFG016391(gb|WP_000276545)
      1 VFG016394(gb|WP_000608671)
      7 VFG016455(gb|WP_041593683)
      4 VFG016470(gb|WP_011290436)
      8 VFG016483(gb|WP_010875022)
     14 VFG016484(gb|WP_009885583)
     41 VFG016485(gb|WP_011113468)
      9 VFG016489(gb|WP_011264744)
     16 VFG016490(gb|NP_975163)
     27 VFG016491(gb|WP_011076858)
     10 VFG016492(gb|WP_010925206)
     41 VFG016493(gb|WP_011283803)
     33 VFG016494(gb|WP_004024476)
      1 VFG016495(gb|WP_011166362)
      2 VFG016532(gb|NP_975942)
      1 VFG016866(gb|WP_011006421)
      7 VFG017974
      1 VFG017986(gb|WP_012006773)
     29 VFG018001(gb|WP_002866148)
      1 VFG018067(gb|WP_002866272)
     15 VFG018652(gb|WP_006154814)
      1 VFG018662(gb|WP_012130507)
      9 VFG018664(gb|WP_012000426)
      1 VFG019127(gb|WP_000723325)
      2 VFG019132(gb|WP_012343546)
     10 VFG019134(gb|WP_012422966)
      1 VFG019782(gb|WP_003163315)
      2 VFG019942(gb|WP_012724914)
      1 VFG019986(gb|WP_015886547)
      3 VFG020077(gb|WP_015885148)
      1 VFG021855(gb|WP_011726608)
      1 VFG022941(gb|WP_013827874)
     12 VFG023552(gb|WP_193374428)
     10 VFG023786(gb|WP_201773597)
      2 VFG023800(gb|WP_071822701)
      1 VFG024128(gb|WP_026071295)
     16 VFG025294(gb|WP_009896189)
      1 VFG026325(gb|WP_009889299)
      1 VFG026964(gb|WP_015290883)
      9 VFG026985(gb|WP_051073897)
     14 VFG027180(gb|WP_198345124)
      1 VFG029504(gb|WP_013827269)
      2 VFG029506(gb|WP_011891286)
      1 VFG031364(gb|WP_081465670)
