      1 VFG000029(gb|WP_010929608)
     23 VFG000079(gb|NP_463763)
      2 VFG000080(gb|NP_464522)
     18 VFG001269(gb|WP_010929996)
      2 VFG001344(gb|WP_000612460)
      7 VFG001373(gb|WP_000758382)
      1 VFG001374(gb|WP_000077424)
      1 VFG001967(gb|YP_002344822)
      4 VFG001969(gb|YP_002344824)
      5 VFG002084(gb|WP_000619136)
      1 VFG002182(gb|WP_002376666)
      2 VFG002965(gb|WP_011302064)
      4 VFG002966(gb|WP_011274717)
     14 VFG005065
      1 VFG005087(gb|WP_011302071)
      1 VFG005186(gb|YP_001198858)
      2 VFG005191(gb|WP_011681101)
      2 VFG005347(gb|WP_002986042)
      2 VFG005351(gb|WP_002986042)
      1 VFG005353(gb|WP_000260656)
      6 VFG005359(gb|WP_002899102)
      7 VFG005360(gb|WP_002262489)
      1 VFG005361(gb|WP_002352221)
      2 VFG005378(gb|WP_011836996)
      2 VFG005383(gb|WP_011836786)
      2 VFG005384(gb|WP_011836784)
      2 VFG005385(gb|WP_011836785)
      2 VFG005391(gb|WP_002352269)
      4 VFG005392(gb|WP_011836622)
      2 VFG005485(gb|WP_000417171)
      2 VFG005490(gb|WP_000472995)
      2 VFG005513(gb|WP_011836439)
      2 VFG005533(gb|WP_002262650)
      1 VFG005547(gb|WP_000107749)
      2 VFG005550(gb|WP_000116479)
      5 VFG005552(gb|WP_011837486)
      5 VFG005556(gb|WP_011680653)
      2 VFG005579(gb|WP_000022815)
     11 VFG005582(gb|WP_002897814)
      2 VFG005811(gb|WP_002262031)
      2 VFG005862(gb|WP_009659423)
      2 VFG005886(gb|WP_009443641)
      2 VFG005894(gb|WP_000262522)
      4 VFG005898(gb|WP_002904719)
      2 VFG005916(gb|WP_011681169)
      4 VFG005952(gb|WP_011681172)
      2 VFG005964(gb|WP_011681173)
      3 VFG005976(gb|WP_011681174)
      4 VFG005982(gb|WP_033179183)
      1 VFG005988(gb|WP_011681175)
      8 VFG005992(gb|WP_000685095)
      4 VFG005994(gb|WP_011837189)
      7 VFG005997(gb|WP_002263084)
      2 VFG006000(gb|WP_011681176)
      3 VFG006004(gb|WP_001819836)
      2 VFG006015(gb|WP_000676152)
