      4 VFG000079(gb|NP_463763)
      1 VFG000080(gb|NP_464522)
      2 VFG000330(gb|WP_005694491)
      3 VFG000331(gb|WP_005693548)
      2 VFG000332(gb|WP_005632797)
      3 VFG000337(gb|WP_005693332)
      3 VFG000338(gb|WP_005693337)
      1 VFG000339(gb|WP_005693338)
      2 VFG000478(gb|NP_459678)
      6 VFG000694(gb|AAP42187)
      6 VFG000915(gb|WP_001234179)
      3 VFG000923(gb|WP_001034892)
      2 VFG000931(gb|WP_001336900)
      4 VFG000932(gb|WP_000026784)
      2 VFG000934(gb|WP_000348393)
      1 VFG001269(gb|WP_010929996)
      1 VFG001344(gb|WP_000612460)
     10 VFG001348(gb|WP_000659580)
      2 VFG001354(gb|WP_000728269)
     38 VFG001360(gb|WP_001042179)
     12 VFG001362(gb|WP_000088129)
      1 VFG001365(gb|WP_000091082)
      2 VFG001367(gb|WP_000664160)
      9 VFG001368(gb|WP_001142502)
      1 VFG001373(gb|WP_000758382)
      2 VFG001443(gb|AAF37887)
      4 VFG001444(gb|AAG10151)
      4 VFG001731(gb|WP_001223352)
      2 VFG001887(gb|WP_010947186)
     27 VFG001967(gb|YP_002344822)
      2 VFG001969(gb|YP_002344824)
      2 VFG002047(gb|WP_000498818)
      4 VFG002054(gb|WP_000633233)
      5 VFG002172(gb|WP_010710127)
      2 VFG002177(gb|AAM75253)
      6 VFG002179(gb|AAD09858)
      4 VFG002182(gb|WP_002376666)
      1 VFG002365(gb|WP_005167740)
      2 VFG002966(gb|WP_011274717)
      6 VFG005196(gb|WP_000006702)
      2 VFG005323(gb|WP_011225268)
      4 VFG005347(gb|WP_002986042)
      8 VFG005352(gb|WP_002986042)
      3 VFG005359(gb|WP_002899102)
      7 VFG005360(gb|WP_002262489)
      5 VFG005364(gb|WP_000208378)
      2 VFG005372(gb|WP_000731920)
      4 VFG005373(gb|WP_000731916)
      2 VFG005384(gb|WP_011836784)
      6 VFG005388
      1 VFG005389(gb|WP_011836739)
      2 VFG005391(gb|WP_002352269)
      3 VFG005393(gb|WP_002352262)
     10 VFG005485(gb|WP_000417171)
      7 VFG005486(gb|WP_000417180)
      1 VFG005488(gb|WP_011836924)
      9 VFG005489(gb|WP_000473008)
      4 VFG005490(gb|WP_000472995)
      6 VFG005530(gb|WP_000681597)
      1 VFG005556(gb|WP_011680653)
      9 VFG005579(gb|WP_000022815)
      6 VFG005580(gb|WP_000022813)
      2 VFG005582(gb|WP_002897814)
      4 VFG005649(gb|WP_001193721)
      2 VFG005781(gb|WP_000650746)
      2 VFG005812(gb|WP_000858246)
      2 VFG005836(gb|WP_000091085)
      2 VFG005838(gb|WP_011836759)
      1 VFG005850(gb|WP_002990653)
      8 VFG005862(gb|WP_009659423)
      1 VFG005865(gb|WP_002262524)
      1 VFG005896(gb|WP_001142534)
      2 VFG005920(gb|WP_000750328)
      2 VFG005922(gb|WP_011837183)
      6 VFG005952(gb|WP_011681172)
      2 VFG005964(gb|WP_011681173)
      2 VFG005976(gb|WP_011681174)
      2 VFG005990(gb|WP_000659582)
     18 VFG005992(gb|WP_000685095)
      4 VFG006022(gb|WP_002947383)
      1 VFG006030(gb|WP_041827043)
      3 VFG006031(gb|WP_011226045)
      2 VFG006040(gb|WP_011226046)
      2 VFG006052(gb|WP_011226150)
      1 VFG006054(gb|WP_041827753)
      2 VFG006067(gb|WP_011681438)
      2 VFG006071(gb|WP_011681439)
      2 VFG006078(gb|WP_002948022)
      4 VFG006079(gb|WP_011681442)
      6 VFG006082(gb|WP_011226326)
      2 VFG006083(gb|WP_011681443)
      1 VFG006084(gb|WP_002948020)
      2 VFG006086(gb|WP_011226328)
      2 VFG006087(gb|WP_011681445)
      3 VFG006089(gb|WP_011681446)
      1 VFG006090(gb|WP_011226330)
      1 VFG006091(gb|WP_011226331)
      1 VFG006334(gb|WP_002236579)
     18 VFG006496(gb|WP_011115254)
      1 VFG006520(gb|WP_011116204)
      3 VFG006610(gb|WP_138091884)
      1 VFG006719(gb|WP_003762516)
      3 VFG006884(gb|WP_000591846)
     18 VFG007373(gb|WP_011078343)
      1 VFG007433(gb|WP_011079841)
      7 VFG007456(gb|WP_005457757)
     24 VFG007457(gb|WP_026130674)
      2 VFG007458(gb|WP_043877279)
      9 VFG007489(gb|WP_011262361)
      1 VFG007498(gb|WP_005481102)
     25 VFG007499(gb|WP_011079830)
      1 VFG007532(gb|WP_000290371)
     17 VFG007552(gb|WP_005479477)
      1 VFG007639(gb|WP_043920918)
      1 VFG007657(gb|WP_043877045)
      1 VFG007658(gb|WP_011149273)
      2 VFG007661(gb|WP_011261023)
      1 VFG007793(gb|WP_014000413)
      1 VFG007911(gb|WP_010908851)
      1 VFG007914(gb|WP_011780329)
      2 VFG009161(gb|WP_005067995)
      1 VFG009244(gb|WP_011893656)
      2 VFG009718(gb|WP_011728563)
      1 VFG009720(gb|WP_011779686)
      1 VFG009864(gb|WP_041787729)
      1 VFG009930(gb|WP_011779804)
      1 VFG010758(gb|WP_025520099)
      6 VFG011933(gb|WP_011731940)
      7 VFG012095(gb|WP_003435012)
      6 VFG012096(gb|WP_011722916)
      1 VFG012099(gb|WP_011100542)
     22 VFG012101(gb|WP_010965990)
      3 VFG012102(gb|WP_011967678)
     20 VFG012103(gb|WP_003514589)
      4 VFG012513(gb|WP_001221122)
      4 VFG012865
      2 VFG012900(gb|WP_001173438)
      4 VFG012971(gb|WP_011378643)
      2 VFG013097(gb|WP_012054948)
      5 VFG013101(gb|WP_011271972)
      4 VFG013106(gb|WP_005694369)
     13 VFG013108(gb|WP_005686722)
      2 VFG013109(gb|WP_012054946)
      2 VFG013118(gb|WP_005693728)
      5 VFG013119(gb|WP_011272046)
      2 VFG013121(gb|WP_012055031)
      1 VFG013217(gb|WP_041174700)
      2 VFG013237(gb|WP_005663240)
      1 VFG013238(gb|WP_005687509)
      4 VFG013242(gb|WP_005693863)
      5 VFG013248(gb|WP_010868928)
      1 VFG013250(gb|WP_005687513)
      3 VFG013251(gb|WP_012054790)
      1 VFG013260(gb|WP_010868968)
      4 VFG013281(gb|WP_005694030)
      4 VFG013282(gb|WP_011271959)
      1 VFG013283(gb|WP_005686700)
      9 VFG013284(gb|WP_012054932)
      2 VFG013286(gb|WP_005694325)
      6 VFG013287(gb|WP_005688951)
      2 VFG013300(gb|WP_038440548)
      2 VFG013301(gb|WP_012055077)
      2 VFG013310(gb|WP_011272146)
      2 VFG013312(gb|WP_012055150)
      4 VFG013315(gb|WP_005694490)
      2 VFG013316(gb|WP_011272147)
      2 VFG013318(gb|WP_012055151)
     10 VFG013329(gb|WP_005685920)
      1 VFG013335
      1 VFG013342(gb|WP_010869051)
      1 VFG013352(gb|WP_005693216)
      1 VFG013353(gb|WP_012054573)
      2 VFG013368(gb|WP_005693225)
      1 VFG013369(gb|WP_011272256)
      2 VFG013380(gb|WP_005693345)
      1 VFG013382(gb|WP_041174828)
      2 VFG013384(gb|WP_010869121)
      6 VFG013385(gb|WP_011272365)
      4 VFG013387(gb|WP_012055378)
     14 VFG013391(gb|WP_011272366)
      4 VFG013400(gb|WP_005693429)
      2 VFG013403
      2 VFG013408
      1 VFG013409(gb|WP_012055407)
      2 VFG013413(gb|WP_011272400)
      4 VFG013421(gb|WP_005630454)
      1 VFG013431(gb|WP_005656815)
    103 VFG013434(gb|WP_010945082)
      1 VFG013436(gb|WP_005693550)
      2 VFG013437(gb|WP_005656817)
      1 VFG013438(gb|WP_011962020)
      1 VFG013464(gb|WP_011609611)
      1 VFG013479(gb|WP_110426417)
      3 VFG013489(gb|WP_005658221)
      2 VFG013497(gb|WP_011272754)
      4 VFG013498(gb|WP_011961862)
      1 VFG013500(gb|WP_010869274)
      4 VFG013505(gb|WP_005658235)
      2 VFG013513(gb|WP_005694655)
      4 VFG013514(gb|WP_011272587)
     10 VFG013530(gb|WP_010869249)
      2 VFG013531(gb|WP_011272485)
     12 VFG013532(gb|WP_012054417)
      5 VFG013533(gb|WP_011961981)
      5 VFG013534(gb|WP_010944436)
      1 VFG013549(gb|WP_012054537)
      4 VFG013575(gb|WP_011272338)
      2 VFG013576(gb|WP_012054534)
      3 VFG013614(gb|WP_005693475)
      2 VFG013616(gb|WP_012054467)
      2 VFG013626(gb|WP_011272071)
      1 VFG013774(gb|WP_033998207)
      3 VFG013901(gb|WP_004654396)
      1 VFG013905(gb|WP_011064011)
      1 VFG013993(gb|WP_026006503)
      1 VFG014120(gb|WP_042169654)
     11 VFG014129(gb|WP_003150889)
      2 VFG014135(gb|WP_025297832)
      1 VFG014360(gb|WP_003316803)
      1 VFG014363(gb|WP_003254443)
      1 VFG014364(gb|WP_011534913)
      1 VFG014366(gb|WP_003222863)
      1 VFG014440(gb|WP_010955089)
      1 VFG014456(gb|WP_011059977)
      3 VFG014854(gb|WP_011921099)
      1 VFG014905(gb|WP_196240458)
      1 VFG014953(gb|WP_005764764)
      2 VFG014956(gb|WP_049587369)
      1 VFG014961(gb|WP_003245464)
      1 VFG014984(gb|NP_253136)
      4 VFG014985(gb|WP_012077206)
      1 VFG014987(gb|WP_003377590)
      2 VFG014993(gb|WP_011059287)
      1 VFG015076(gb|WP_011062714)
      2 VFG015077(gb|WP_041475601)
      1 VFG015491(gb|WP_011979138)
      2 VFG015494(gb|WP_011167352)
      1 VFG015496(gb|WP_012052412)
      1 VFG015497(gb|WP_011064261)
      1 VFG015498(gb|WP_012018669)
      5 VFG015711(gb|WP_012315508)
      1 VFG015806(gb|WP_012314365)
      1 VFG015908(gb|WP_164920478)
      1 VFG016166(gb|WP_003372869)
      1 VFG016186(gb|WP_005762824)
      1 VFG016380(gb|WP_000609547)
      8 VFG016387(gb|WP_000996578)
      1 VFG016391(gb|WP_000276545)
      1 VFG016401(gb|WP_000122128)
      2 VFG016455(gb|WP_041593683)
     14 VFG016483(gb|WP_010875022)
      8 VFG016484(gb|WP_009885583)
    144 VFG016485(gb|WP_011113468)
      8 VFG016489(gb|WP_011264744)
      5 VFG016490(gb|NP_975163)
     19 VFG016491(gb|WP_011076858)
      5 VFG016492(gb|WP_010925206)
     16 VFG016493(gb|WP_011283803)
     41 VFG016494(gb|WP_004024476)
      1 VFG016495(gb|WP_011166362)
      2 VFG016784(gb|WP_005767817)
      4 VFG016861(gb|WP_010882971)
      1 VFG016865(gb|WP_011097078)
      2 VFG016866(gb|WP_011006421)
      1 VFG017803(gb|WP_041176580)
      1 VFG017832
      2 VFG018001(gb|WP_002866148)
     15 VFG018652(gb|WP_006154814)
      1 VFG018654(gb|WP_011999748)
     24 VFG018662(gb|WP_012130507)
      2 VFG018663(gb|WP_012130837)
      6 VFG018664(gb|WP_012000426)
      6 VFG018666(gb|WP_012000428)
      4 VFG019051
      3 VFG019053(gb|WP_000744526)
     10 VFG019069(gb|WP_000728266)
      1 VFG019072(gb|WP_000405234)
     18 VFG019077(gb|WP_000260685)
      4 VFG019079(gb|WP_000731906)
      2 VFG019080(gb|WP_000731918)
     12 VFG019083(gb|WP_000417124)
      9 VFG019084(gb|WP_000417149)
     14 VFG019085(gb|WP_000472977)
      2 VFG019090(gb|WP_000681598)
      9 VFG019091(gb|WP_000116474)
      8 VFG019095(gb|WP_001193722)
      2 VFG019096(gb|WP_001193716)
      1 VFG019101(gb|WP_000733058)
      2 VFG019102(gb|WP_000733056)
      1 VFG019103(gb|WP_000858260)
      6 VFG019107(gb|WP_000091050)
